Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1200
Conversion Gain:	1024
Coarse Gain:	64
Fine Gain:	1.09
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	97.64
Elapsed Live Time:	95.62
Start Time:	February 09, 2016, 02:33:22
End Time:	February 09, 2016, 02:34:59
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	473	538	34295	17728	40	505

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		2
12		1
13		1
14		0
15		4
16		34
17		44
18		45
19		41
20		48
21		70
22		63
23		50
24		73
25		60
26		90
27		83
28		94
29		112
30		143
31		206
32		261
33		406
34		528
35		739
36		965
37		1410
38		1717
39		2319
40		2877
41		3384
42		3817
43		4207
44		4350
45		4392
46		4328
47		4187
48		3694
49		3349
50		2995
51		2440
52		2021
53		1615
54		1258
55		1037
56		776
57		563
58		442
59		334
60		261
61		186
62		169
63		125
64		118
65		124
66		99
67		116
68		132
69		135
70		141
71		159
72		158
73		175
74		190
75		206
76		193
77		180
78		178
79		185
80		174
81		189
82		170
83		167
84		129
85		146
86		123
87		112
88		135
89		102
90		123
91		126
92		110
93		136
94		129
95		125
96		132
97		134
98		162
99		160
100		182
101		210
102		228
103		273
104		297
105		372
106		389
107		458
108		551
109		605
110		697
111		720
112		902
113		936
114		1049
115		1165
116		1215
117		1291
118		1313
119		1360
120		1331
121		1402
122		1354
123		1256
124		1221
125		1130
126		951
127		897
128		774
129		665
130		607
131		461
132		382
133		337
134		310
135		245
136		184
137		139
138		117
139		89
140		58
141		65
142		53
143		53
144		32
145		30
146		34
147		44
148		43
149		41
150		45
151		42
152		42
153		49
154		33
155		45
156		42
157		34
158		46
159		46
160		40
161		56
162		44
163		43
164		71
165		60
166		56
167		51
168		52
169		49
170		47
171		62
172		56
173		54
174		56
175		50
176		46
177		58
178		61
179		59
180		45
181		46
182		41
183		37
184		36
185		54
186		44
187		33
188		44
189		54
190		32
191		39
192		46
193		41
194		34
195		57
196		44
197		52
198		47
199		47
200		43
201		41
202		54
203		55
204		55
205		55
206		52
207		52
208		64
209		43
210		52
211		60
212		49
213		54
214		49
215		52
216		57
217		44
218		59
219		49
220		71
221		64
222		71
223		59
224		60
225		75
226		71
227		75
228		75
229		86
230		81
231		51
232		90
233		81
234		69
235		72
236		67
237		74
238		70
239		78
240		65
241		61
242		57
243		62
244		57
245		52
246		69
247		62
248		46
249		68
250		62
251		66
252		69
253		56
254		58
255		60
256		58
257		50
258		66
259		41
260		47
261		48
262		66
263		54
264		49
265		59
266		53
267		57
268		55
269		56
270		63
271		54
272		51
273		58
274		58
275		56
276		50
277		55
278		50
279		52
280		44
281		50
282		51
283		48
284		52
285		58
286		56
287		49
288		51
289		47
290		45
291		64
292		48
293		40
294		49
295		49
296		60
297		56
298		55
299		38
300		42
301		45
302		33
303		45
304		41
305		40
306		39
307		51
308		52
309		46
310		33
311		62
312		42
313		37
314		47
315		54
316		39
317		41
318		54
319		45
320		38
321		47
322		49
323		41
324		43
325		43
326		52
327		43
328		53
329		46
330		39
331		49
332		41
333		32
334		39
335		40
336		27
337		34
338		40
339		44
340		36
341		43
342		31
343		49
344		42
345		44
346		36
347		35
348		45
349		45
350		32
351		33
352		53
353		35
354		47
355		40
356		46
357		38
358		48
359		38
360		61
361		51
362		51
363		59
364		54
365		69
366		59
367		56
368		78
369		72
370		78
371		69
372		76
373		87
374		92
375		101
376		86
377		92
378		90
379		126
380		117
381		126
382		131
383		140
384		136
385		121
386		155
387		148
388		129
389		142
390		173
391		154
392		181
393		150
394		159
395		157
396		179
397		160
398		163
399		174
400		156
401		185
402		180
403		202
404		181
405		190
406		202
407		210
408		224
409		215
410		218
411		230
412		252
413		236
414		237
415		233
416		242
417		251
418		257
419		235
420		289
421		262
422		247
423		261
424		261
425		270
426		280
427		251
428		289
429		299
430		303
431		295
432		286
433		264
434		268
435		287
436		285
437		254
438		243
439		265
440		262
441		259
442		236
443		222
444		230
445		218
446		244
447		213
448		192
449		178
450		164
451		168
452		200
453		191
454		152
455		164
456		152
457		140
