Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1200
Conversion Gain:	1024
Coarse Gain:	64
Fine Gain:	1.09
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	89.3
Elapsed Live Time:	85.52
Start Time:	February 09, 2016, 02:17:14
End Time:	February 09, 2016, 02:18:44
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	463	531	15631	898	3	497
2	103	131	8831	1755	15	116
3	866	976	131923	90186	58	921

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		1
8		2
9		2
10		0
11		6
12		12
13		2
14		6
15		10
16		70
17		106
18		143
19		127
20		162
21		155
22		156
23		158
24		174
25		193
26		183
27		182
28		176
29		168
30		188
31		193
32		179
33		230
34		204
35		238
36		307
37		356
38		450
39		485
40		623
41		752
42		851
43		978
44		1000
45		1128
46		1175
47		1245
48		1200
49		1125
50		1007
51		890
52		838
53		772
54		667
55		579
56		470
57		439
58		370
59		335
60		251
61		260
62		220
63		223
64		212
65		198
66		215
67		210
68		167
69		181
70		159
71		166
72		193
73		179
74		154
75		169
76		180
77		156
78		187
79		183
80		173
81		155
82		168
83		187
84		173
85		176
86		165
87		162
88		194
89		144
90		171
91		177
92		188
93		193
94		217
95		196
96		166
97		194
98		200
99		225
100		240
101		236
102		262
103		255
104		299
105		302
106		291
107		307
108		339
109		372
110		342
111		381
112		386
113		367
114		364
115		383
116		340
117		332
118		304
119		341
120		315
121		301
122		274
123		232
124		260
125		277
126		251
127		285
128		231
129		249
130		237
131		214
132		199
133		211
134		176
135		210
136		189
137		188
138		177
139		179
140		187
141		148
142		173
143		174
144		168
145		166
146		177
147		164
148		174
149		170
150		156
151		153
152		159
153		131
154		166
155		157
156		168
157		145
158		168
159		157
160		162
161		153
162		165
163		143
164		159
165		171
166		152
167		160
168		165
169		156
170		158
171		155
172		162
173		164
174		131
175		176
176		166
177		167
178		159
179		174
180		173
181		181
182		165
183		183
184		181
185		184
186		170
187		169
188		178
189		157
190		167
191		168
192		177
193		176
194		167
195		157
196		147
197		168
198		172
199		181
200		176
201		194
202		164
203		179
204		178
205		181
206		179
207		184
208		203
209		186
210		173
211		182
212		185
213		173
214		189
215		188
216		182
217		167
218		185
219		197
220		172
221		146
222		187
223		188
224		198
225		175
226		191
227		187
228		201
229		154
230		185
231		211
232		167
233		173
234		202
235		189
236		197
237		194
238		177
239		206
240		177
241		215
242		193
243		171
244		189
245		211
246		207
247		186
248		196
249		194
250		202
251		185
252		173
253		205
254		193
255		194
256		210
257		203
258		196
259		221
260		200
261		206
262		212
263		228
264		215
265		244
266		230
267		227
268		235
269		225
270		229
271		246
272		243
273		220
274		238
275		234
276		233
277		223
278		214
279		249
280		258
281		222
282		250
283		233
284		242
285		240
286		245
287		239
288		236
289		239
290		238
291		234
292		222
293		251
294		232
295		239
296		243
297		220
298		239
299		247
300		224
301		243
302		231
303		248
304		223
305		225
306		213
307		226
308		234
309		224
310		238
311		225
312		239
313		241
314		223
315		247
316		257
317		228
318		225
319		245
320		216
321		213
322		240
323		223
324		206
325		213
326		209
327		210
328		193
329		209
330		207
331		217
332		216
333		193
334		215
335		231
336		205
337		207
338		215
339		231
340		218
341		203
342		215
343		213
344		220
345		186
346		195
347		224
348		214
349		205
350		184
351		186
352		192
353		232
354		196
355		204
356		207
357		216
358		208
359		195
360		238
361		193
362		204
363		202
364		199
365		219
366		214
367		235
368		195
369		202
370		209
371		206
372		219
373		212
374		221
375		209
376		240
377		244
378		223
379		234
380		191
381		197
382		218
383		211
384		218
385		209
386		238
387		216
388		206
389		245
390		232
391		233
392		222
393		193
394		207
395		215
396		219
397		218
398		237
399		219
400		226
401		238
402		213
403		213
404		254
405		227
406		235
407		217
408		229
409		221
410		221
411		213
412		230
413		203
414		219
415		235
416		204
417		227
418		236
419		204
420		211
421		213
422		222
423		196
424		225
425		223
426		222
427		212
428		229
429		224
430		222
431		222
432		230
433		209
434		201
435		203
436		219
437		227
438		215
439		209
440		187
441		197
442		244
443		216
444		197
445		265
446		243
447		220
448		208
449		220
450		227
451		231
452		182
453		249
454		230
455		230
456		220
