Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1200
Conversion Gain:	1024
Coarse Gain:	64
Fine Gain:	1.09
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	204.2
Elapsed Live Time:	199.13
Start Time:	February 11, 2016, 01:42:26
End Time:	February 11, 2016, 01:45:50
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	467	534	88074	47953	37	499
2	96	136	72033	56878	19	117

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		1
9		0
10		0
11		2
12		9
13		2
14		2
15		9
16		78
17		118
18		130
19		125
20		152
21		157
22		187
23		179
24		192
25		192
26		243
27		236
28		293
29		379
30		445
31		574
32		797
33		1154
34		1571
35		2247
36		2999
37		4067
38		5295
39		6715
40		8014
41		9190
42		10313
43		10798
44		11319
45		11221
46		10715
47		10095
48		8896
49		7987
50		6612
51		5441
52		4292
53		3483
54		2724
55		2071
56		1605
57		1168
58		917
59		622
60		480
61		397
62		323
63		319
64		278
65		282
66		316
67		335
68		355
69		373
70		372
71		427
72		444
73		443
74		490
75		511
76		531
77		540
78		526
79		518
80		431
81		449
82		453
83		417
84		386
85		326
86		365
87		355
88		335
89		326
90		322
91		305
92		301
93		357
94		367
95		362
96		423
97		461
98		473
99		534
100		562
101		694
102		729
103		869
104		967
105		1127
106		1277
107		1467
108		1677
109		1997
110		2063
111		2426
112		2583
113		2760
114		3075
115		3131
116		3412
117		3513
118		3449
119		3530
120		3402
121		3288
122		3100
123		2839
124		2651
125		2362
126		2097
127		1751
128		1585
129		1283
130		1104
131		895
132		738
133		572
134		458
135		366
136		343
137		268
138		202
139		164
140		141
141		130
142		100
143		122
144		99
145		104
146		97
147		108
148		96
149		113
150		122
151		104
152		105
153		111
154		136
155		135
156		134
157		119
158		146
159		129
160		139
161		157
162		164
163		138
164		159
165		170
166		184
167		157
168		166
169		152
170		187
171		159
172		156
173		166
174		166
175		148
176		145
177		147
178		125
179		128
180		122
181		124
182		98
183		102
184		100
185		97
186		104
187		90
188		108
189		102
190		100
191		91
192		97
193		108
194		95
195		96
196		113
197		123
198		117
199		111
200		118
201		115
202		126
203		136
204		130
205		143
206		126
207		141
208		123
209		138
210		156
211		166
212		135
213		146
214		153
215		159
216		155
217		164
218		181
219		196
220		172
221		169
222		157
223		194
224		181
225		185
226		177
227		213
228		208
229		171
230		194
231		162
232		184
233		156
234		192
235		180
236		158
237		166
238		178
239		156
240		162
241		193
242		147
243		154
244		172
245		160
246		174
247		142
248		157
249		153
250		166
251		138
252		155
253		160
254		170
255		134
256		155
257		128
258		142
259		141
260		134
261		137
262		137
263		147
264		140
265		131
266		141
267		136
268		148
269		126
270		140
271		150
272		136
273		136
274		133
275		154
276		129
277		141
278		144
279		120
280		133
281		158
282		132
283		138
284		147
285		128
286		140
287		135
288		114
289		131
290		125
291		141
292		110
293		96
294		122
295		139
296		139
297		124
298		125
299		134
300		119
301		127
302		128
303		123
304		110
305		108
306		142
307		133
308		145
309		122
310		136
311		118
312		124
313		136
314		138
315		117
316		113
317		115
318		120
319		125
320		128
321		102
322		115
323		117
324		103
325		102
326		114
327		109
328		101
329		107
330		110
331		106
332		108
333		96
334		94
335		93
336		109
337		106
338		101
339		120
340		105
341		111
342		109
343		95
344		120
345		98
346		111
347		103
348		116
349		113
350		122
351		120
352		121
353		126
354		127
355		117
356		126
357		123
358		128
359		153
360		165
361		169
362		168
363		164
364		184
365		209
366		190
367		228
368		234
369		219
370		237
371		247
372		276
373		278
374		281
375		277
376		323
377		334
378		301
379		317
380		330
381		353
382		325
383		343
384		360
385		395
386		400
387		418
388		401
389		379
390		418
391		453
392		444
393		503
394		479
395		416
396		473
397		470
398		486
399		512
400		485
401		468
402		564
403		511
404		572
405		534
406		575
407		576
408		568
409		596
410		618
411		592
412		579
413		634
414		743
415		676
416		673
417		708
418		660
419		669
420		676
421		733
422		777
423		689
424		719
425		771
426		754
427		730
428		701
429		758
430		720
431		671
432		654
433		634
434		612
435		644
436		625
437		538
438		556
439		601
440		518
441		527
442		507
443		465
444		485
445		408
446		432
447		417
448		372
