Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1200
Conversion Gain:	1024
Coarse Gain:	64
Fine Gain:	1.09
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	127.94
Elapsed Live Time:	124.14
Start Time:	February 11, 2016, 03:09:18
End Time:	February 11, 2016, 03:11:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	611	720	1045	-331	7	635

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		1
12		3
13		1
14		2
15		5
16		58
17		68
18		87
19		108
20		97
21		121
22		134
23		125
24		137
25		163
26		185
27		186
28		232
29		275
30		311
31		462
32		594
33		793
34		1157
35		1655
36		2162
37		3078
38		3925
39		4986
40		6165
41		7276
42		8192
43		8641
44		8912
45		9016
46		8553
47		7878
48		7000
49		5952
50		5014
51		3952
52		3288
53		2518
54		1937
55		1464
56		1085
57		770
58		596
59		422
60		331
61		272
62		220
63		258
64		240
65		238
66		244
67		275
68		293
69		295
70		302
71		318
72		349
73		385
74		410
75		402
76		393
77		411
78		378
79		396
80		379
81		366
82		332
83		331
84		298
85		282
86		299
87		258
88		288
89		255
90		244
91		270
92		285
93		313
94		318
95		311
96		311
97		378
98		355
99		446
100		475
101		527
102		636
103		658
104		788
105		909
106		984
107		1135
108		1345
109		1478
110		1702
111		1865
112		2038
113		2320
114		2557
115		2571
116		2742
117		2712
118		2828
119		2693
120		2633
121		2559
122		2422
123		2327
124		2092
125		1793
126		1540
127		1390
128		1141
129		987
130		812
131		654
132		522
133		397
134		288
135		251
136		220
137		165
138		134
139		125
140		88
141		112
142		87
143		66
144		88
145		69
146		90
147		64
148		72
149		85
150		101
151		105
152		99
153		92
154		87
155		100
156		87
157		111
158		116
159		108
160		147
161		127
162		119
163		129
164		139
165		130
166		139
167		131
168		127
169		133
170		146
171		145
172		122
173		115
174		132
175		132
176		94
177		122
178		117
179		102
180		100
181		90
182		77
183		90
184		90
185		87
186		75
187		90
188		94
189		91
190		83
191		90
192		93
193		83
194		97
195		96
196		80
197		98
198		89
199		89
200		99
201		95
202		102
203		87
204		103
205		108
206		119
207		117
208		111
209		122
210		130
211		134
212		131
213		126
214		119
215		135
216		130
217		126
218		137
219		129
220		148
221		151
222		142
223		147
224		155
225		144
226		140
227		143
228		148
229		151
230		142
231		165
232		160
233		152
234		134
235		127
236		138
237		142
238		141
239		140
240		113
241		114
242		113
243		141
244		121
245		120
246		119
247		126
248		129
249		90
250		118
251		128
252		122
253		131
254		140
255		125
256		125
257		107
258		127
259		118
260		107
261		127
262		113
263		126
264		119
265		133
266		134
267		121
268		113
269		119
270		117
271		110
272		114
273		115
274		121
275		106
276		107
277		106
278		109
279		109
280		116
281		118
282		114
283		107
284		94
285		86
286		106
287		80
288		114
289		107
290		116
291		84
292		80
293		121
294		114
295		91
296		106
297		98
298		90
299		88
300		103
301		94
302		93
303		90
304		70
305		89
306		97
307		90
308		87
309		87
310		93
311		87
312		99
313		93
314		85
315		110
316		101
317		86
318		95
319		86
320		99
321		102
322		85
323		96
324		75
325		97
326		89
327		77
328		79
329		90
330		77
331		68
332		84
333		81
334		83
335		80
336		94
337		84
338		61
339		62
340		72
341		70
342		91
343		90
344		96
345		68
346		77
347		84
348		84
349		79
350		91
351		76
352		87
353		76
354		104
355		98
356		104
357		139
358		119
359		124
360		125
361		133
362		123
363		154
364		138
365		147
366		151
367		161
368		156
369		203
370		194
371		205
372		169
373		209
374		235
375		219
376		237
377		233
378		256
379		262
380		227
381		292
382		302
383		291
384		318
385		273
386		313
387		311
388		305
389		319
390		316
391		286
392		322
393		366
394		337
395		354
396		333
397		374
398		365
399		404
400		408
401		384
402		380
403		441
404		441
405		397
406		440
407		418
408		440
409		458
410		476
411		479
412		507
413		513
414		500
415		517
416		575
417		511
418		542
419		552
420		529
421		560
422		531
423		513
424		537
425		548
426		568
427		486
428		585
429		486
430		560
431		494
432		509
433		513
434		470
435		465
436		432
437		412
438		401
439		405
440		405
441		385
442		388
443		385
444		324
445		333
446		321
447		314
448		309
449		315
450		296
451		300
452		291
453		274
454		265
