Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1200
Conversion Gain:	1024
Coarse Gain:	64
Fine Gain:	1.09
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	87.86
Elapsed Live Time:	83.6
Start Time:	February 11, 2016, 01:33:38
End Time:	February 11, 2016, 01:35:06
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	850	974	153692	118566	61	909

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		1
8		0
9		0
10		1
11		2
12		16
13		3
14		0
15		4
16		85
17		146
18		165
19		191
20		176
21		180
22		219
23		183
24		200
25		211
26		201
27		193
28		220
29		215
30		236
31		240
32		253
33		276
34		265
35		333
36		355
37		484
38		527
39		691
40		760
41		935
42		1084
43		1314
44		1383
45		1433
46		1467
47		1483
48		1335
49		1299
50		1216
51		1153
52		946
53		857
54		716
55		589
56		503
57		447
58		390
59		377
60		325
61		275
62		245
63		252
64		247
65		220
66		210
67		205
68		214
69		190
70		225
71		209
72		215
73		184
74		212
75		231
76		216
77		193
78		211
79		185
80		210
81		213
82		206
83		206
84		217
85		214
86		185
87		191
88		218
89		218
90		185
91		192
92		230
93		218
94		243
95		234
96		247
97		274
98		269
99		314
100		313
101		344
102		344
103		393
104		379
105		427
106		438
107		430
108		466
109		507
110		508
111		482
112		497
113		448
114		440
115		412
116		430
117		400
118		399
119		370
120		369
121		348
122		345
123		313
124		379
125		300
126		328
127		286
128		267
129		300
130		265
131		246
132		247
133		232
134		236
135		210
136		229
137		248
138		193
139		204
140		203
141		211
142		177
143		220
144		176
145		179
146		195
147		195
148		174
149		193
150		178
151		166
152		203
153		197
154		209
155		183
156		184
157		176
158		189
159		179
160		198
161		177
162		194
163		220
164		195
165		200
166		198
167		171
168		203
169		188
170		196
171		176
172		206
173		185
174		185
175		184
176		207
177		203
178		218
179		203
180		154
181		203
182		185
183		186
184		171
185		208
186		199
187		200
188		160
189		193
190		220
191		239
192		217
193		208
194		197
195		200
196		197
197		192
198		199
199		195
200		199
201		181
202		204
203		198
204		189
205		217
206		203
207		180
208		209
209		198
210		203
211		180
212		207
213		209
214		194
215		196
216		215
217		225
218		208
219		204
220		214
221		222
222		215
223		235
224		201
225		228
226		230
227		226
228		208
229		202
230		199
231		226
232		222
233		203
234		258
235		198
236		195
237		235
238		220
239		196
240		225
241		219
242		206
243		220
244		256
245		243
246		260
247		222
248		239
249		234
250		221
251		238
252		264
253		263
254		232
255		220
256		259
257		259
258		260
259		293
260		257
261		279
262		275
263		278
264		305
265		303
266		276
267		269
268		275
269		286
270		290
271		264
272		289
273		298
274		312
275		255
276		268
277		294
278		259
279		266
280		275
281		284
282		298
283		270
284		277
285		273
286		258
287		284
288		273
289		265
290		251
291		256
292		274
293		275
294		274
295		274
296		288
297		256
298		273
299		243
300		284
301		267
302		263
303		232
304		265
305		267
306		284
307		269
308		252
309		260
310		247
311		271
312		271
313		251
314		244
315		243
316		256
317		267
318		272
319		243
320		259
321		251
322		248
323		232
324		227
325		258
326		252
327		262
328		232
329		269
330		267
331		233
332		255
333		258
334		241
335		241
336		260
337		237
338		236
339		239
340		240
341		226
342		239
343		239
344		233
345		236
346		251
347		256
348		274
349		246
350		250
351		241
352		236
353		280
354		226
355		237
356		252
357		255
358		209
359		248
360		256
361		248
362		231
363		231
364		246
365		232
366		264
367		233
368		241
369		230
370		237
371		229
372		242
373		254
374		226
375		253
376		250
377		223
378		234
379		260
380		251
381		272
382		235
383		277
384		243
385		250
386		272
387		246
388		285
389		257
390		240
391		256
392		263
393		253
394		259
395		251
396		256
397		220
398		233
399		264
400		253
401		259
402		258
403		243
404		268
405		265
406		292
407		255
408		237
409		241
410		269
411		271
412		247
413		260
414		265
415		254
416		265
417		245
418		265
419		250
420		260
421		231
422		260
423		249
424		243
425		265
426		254
427		258
428		262
429		259
430		263
431		299
432		225
433		276
434		254
435		273
436		219
437		260
438		241
439		271
440		241
441		260
442		250
443		259
444		272
445		241
446		257
447		273
448		274
449		278
450		247
451		266
452		256
453		260
454		238
455		269
456		246
457		257
458		246
459		256
460		273
461		251
462		272
463		266
