Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1200
Conversion Gain:	1024
Coarse Gain:	64
Fine Gain:	1.09
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	96.72
Elapsed Live Time:	95.75
Start Time:	February 11, 2016, 03:13:15
End Time:	February 11, 2016, 03:14:52
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	611	720	3716	-958	2	654
2	461	538	4557	188	3	499
3	101	130	2515	699	10	114

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		3
16		25
17		42
18		41
19		49
20		42
21		45
22		42
23		37
24		53
25		47
26		45
27		46
28		49
29		64
30		47
31		44
32		58
33		57
34		65
35		72
36		87
37		85
38		128
39		171
40		210
41		249
42		246
43		291
44		295
45		375
46		363
47		381
48		323
49		302
50		281
51		243
52		210
53		172
54		170
55		129
56		129
57		91
58		92
59		63
60		70
61		61
62		69
63		61
64		62
65		50
66		60
67		52
68		48
69		46
70		59
71		42
72		55
73		53
74		49
75		53
76		52
77		52
78		56
79		40
80		43
81		57
82		57
83		56
84		51
85		47
86		57
87		50
88		51
89		43
90		49
91		51
92		54
93		51
94		56
95		60
96		67
97		57
98		79
99		58
100		62
101		78
102		78
103		100
104		93
105		110
106		92
107		90
108		90
109		104
110		96
111		126
112		79
113		122
114		70
115		86
116		92
117		77
118		84
119		76
120		66
121		82
122		75
123		85
124		65
125		79
126		70
127		70
128		68
129		56
130		56
131		40
132		62
133		45
134		64
135		48
136		59
137		54
138		53
139		54
140		50
141		40
142		45
143		43
144		37
145		54
146		58
147		46
148		42
149		43
150		44
151		57
152		44
153		35
154		37
155		44
156		47
157		48
158		43
159		37
160		51
161		40
162		35
163		50
164		49
165		60
166		53
167		67
168		50
169		43
170		43
171		60
172		46
173		45
174		61
175		37
176		38
177		45
178		45
179		34
180		45
181		43
182		45
183		45
184		45
185		44
186		44
187		47
188		44
189		32
190		47
191		46
192		49
193		50
194		48
195		39
196		53
197		59
198		47
199		47
200		47
201		48
202		30
203		53
204		44
205		60
206		58
207		47
208		44
209		51
210		50
211		57
212		52
213		43
214		39
215		54
216		53
217		50
218		58
219		58
220		48
221		52
222		52
223		59
224		43
225		45
226		45
227		45
228		40
229		64
230		50
231		69
232		42
233		66
234		42
235		34
236		64
237		53
238		51
239		53
240		57
241		65
242		56
243		48
244		73
245		48
246		61
247		52
248		42
249		50
250		59
251		62
252		51
253		57
254		66
255		57
256		59
257		66
258		51
259		65
260		72
261		57
262		48
263		60
264		60
265		67
266		73
267		60
268		55
269		78
270		64
271		77
272		70
273		69
274		76
275		63
276		63
277		89
278		61
279		62
280		64
281		49
282		66
283		70
284		50
285		77
286		76
287		58
288		72
289		61
290		56
291		53
292		63
293		61
294		66
295		73
296		48
297		65
298		68
299		64
300		60
301		63
302		72
303		47
304		91
305		64
306		63
307		62
308		63
309		57
310		63
311		66
312		66
313		63
314		55
315		49
316		66
317		64
318		67
319		56
320		60
321		60
322		58
323		52
324		83
325		51
326		53
327		67
328		67
329		52
330		63
331		67
332		56
333		49
334		55
335		62
336		55
337		50
338		55
339		75
340		59
341		49
342		61
343		52
344		59
345		74
346		51
347		70
348		69
349		53
350		57
351		70
352		60
353		57
354		59
355		63
356		57
357		55
358		64
359		47
360		61
361		63
362		71
363		76
364		58
365		56
366		64
367		61
368		49
369		58
370		66
371		74
372		68
373		57
374		59
375		55
376		59
377		69
378		50
379		61
380		61
381		76
382		63
383		51
384		69
385		46
386		75
387		53
388		59
389		61
390		58
391		56
392		49
393		69
394		50
395		49
396		64
397		72
398		63
399		70
400		73
401		50
402		74
403		61
404		69
405		52
406		49
407		52
408		54
409		63
410		55
411		51
412		70
413		49
414		64
415		57
416		64
417		43
418		51
419		62
420		77
421		55
422		57
423		51
424		69
425		56
426		66
427		37
428		75
429		71
430		64
431		57
432		61
433		61
434		71
435		56
436		76
437		60
438		55
439		54
440		67
441		62
442		70
443		65
444		55
445		60
446		76
447		65
448		64
449		56
450		60
451		64
452		60
453		64
454		55
455		66
456		62
457		46
458		50
