nm,mV,d(mV)
1400,12.25,0.04
1350,12.465,0.045
1300,12.435,0.015
1250,12.385,0.035
1200,11.975,0.035
1190,11.765,0.045
1180,11.56,0.04
1170,11.245,0.025
1160,10.845,0.065
1150,10.095,0.025
1140,9.515,0.025
1130,8.775,0.035
1120,8.145,0.055
1110,7.275,0.065
1100,6.295,0.045
1090,5.18,0.04
1080,3.95,0.03
1070,2.775,0.045
1060,1.85,0.06
1050,1.17,0.02
1040,0.84,0.02
1030,0.71,0.02
1020,0.71,0.02
1010,0.7,0.02
1000,0.705,0.025
950,0.69,0.02
900,0.7,0.02
1350,12.48,0.04
1300,12.465,0.015
1250,12.385,0.035
1200,11.94,0.03
1190,11.75,0.09
