Angle1,Angle2,C1,C2,R1,R2,Co1,Co2,Co Rate,R_e,R_t,Coincidence Rate error
315,315,114397,312085,381.3233333,1040.283333,96,5,0.303333333,0.016666667,0.018247478,0.032659863
45,315,144257,278452,480.8566667,928.1733333,133,6,0.423333333,0.02,0.020530643,0.038441875
135,315,144002,312149,480.0066667,1040.496667,128,10,0.393333333,0.033333333,0.022974485,0.037712362
225,315,143560,328868,478.5333333,1096.226667,119,5,0.38,0.016666667,0.024130726,0.036362374
225,45,128526,331462,428.42,1104.873333,109,5,0.346666667,0.016666667,0.021774092,0.034801022
225,135,132268,331351,440.8933333,1104.503333,147,7,0.466666667,0.023333333,0.022400535,0.040414519
225,225,149206,306238,497.3533333,1020.793333,90,3,0.29,0.01,0.023353968,0.031622777
135,225,147119,281979,490.3966667,939.93,158,6,0.506666667,0.02,0.021203173,0.04189935
45,225,145265,267139,484.2166667,890.4633333,113,8,0.35,0.026666667,0.019834151,0.035433819
315,225,146099,289955,486.9966667,966.5166667,131,12,0.396666667,0.04,0.021651758,0.038151744
315,135,137648,301704,458.8266667,1005.68,128,7,0.403333333,0.023333333,0.021225909,0.037712362
315,45,127500,302375,425,1007.916667,154,6,0.493333333,0.02,0.019704771,0.041365579
135,45,128536,295669,428.4533333,985.5633333,177,6,0.57,0.02,0.019424323,0.044347116
45,45,128052,281482,426.84,938.2733333,151,10,0.47,0.033333333,0.018422659,0.040960686
45,135,136945,285779,456.4833333,952.5966667,242,5,0.79,0.016666667,0.020002847,0.051854497
135,135,137298,298532,457.66,995.1066667,151,7,0.48,0.023333333,0.020949344,0.040960686
