Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	2048
Coarse Gain:	1
Fine Gain:	1.0
Upper Discriminator:	2175
Lower Discriminator:	33
Calibration Coefficients:Elapsed Real Time:	62.47
Elapsed Live Time:	61.93
Start Time:	February 23, 2016, 02:28:51
End Time:	February 23, 2016, 02:29:53
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	469	471	12153	2627	0	469

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		3
35		215
36		541
37		549
38		559
39		534
40		489
41		571
42		509
43		520
44		489
45		553
46		503
47		495
48		513
49		535
50		490
51		516
52		491
53		515
54		458
55		471
56		509
57		510
58		474
59		525
60		471
61		502
62		437
63		486
64		446
65		466
66		441
67		473
68		462
69		509
70		420
71		485
72		470
73		492
74		430
75		484
76		404
77		509
78		439
79		435
80		419
81		460
82		433
83		445
84		468
85		462
86		438
87		462
88		450
89		432
90		403
91		460
92		439
93		455
94		462
95		431
96		421
97		441
98		415
99		419
100		410
101		439
102		428
103		400
104		402
105		439
106		397
107		401
108		431
109		437
110		415
111		432
112		407
113		398
114		365
115		394
116		393
117		433
118		360
119		385
120		391
121		403
122		385
123		430
124		393
125		457
126		447
127		476
128		494
129		543
130		491
131		514
132		526
133		549
134		476
135		507
136		493
137		522
138		468
139		536
140		483
141		494
142		446
143		467
144		448
145		435
146		473
147		451
148		449
149		454
150		427
151		420
152		408
153		458
154		416
155		460
156		396
157		399
158		415
159		333
160		364
161		369
162		375
163		349
164		387
165		381
166		383
167		354
168		354
169		354
170		334
171		366
172		354
173		376
174		361
175		367
176		344
177		375
178		326
179		369
180		339
181		347
182		342
183		343
184		400
185		315
186		340
187		361
188		326
189		309
190		306
191		351
192		314
193		364
194		346
195		317
196		286
197		367
198		317
199		342
200		344
201		348
202		336
203		356
204		312
205		292
206		347
207		325
208		296
209		324
210		308
211		335
212		312
213		322
214		324
215		339
216		287
217		327
218		300
219		335
220		286
221		329
222		276
223		309
224		280
225		334
226		315
227		313
228		305
229		324
230		304
231		337
232		314
233		347
234		293
235		314
236		320
237		336
238		342
239		347
240		323
241		290
242		319
243		316
244		310
245		302
246		288
247		326
248		313
249		311
250		318
251		338
252		294
253		328
254		319
255		326
256		300
257		305
258		287
259		329
260		324
261		305
262		313
263		329
264		330
265		345
266		336
267		312
268		307
269		366
270		311
271		348
272		345
273		338
274		325
275		321
276		357
277		350
278		359
279		350
280		371
281		348
282		376
283		381
284		322
285		363
286		342
287		361
288		352
289		369
290		352
291		401
292		353
293		376
294		366
295		350
296		374
297		393
298		407
299		399
300		418
301		415
302		427
303		393
304		441
305		447
306		402
307		459
308		438
309		432
310		419
311		463
312		450
313		495
314		438
315		499
316		458
317		489
318		447
319		481
320		540
321		527
322		508
323		509
324		574
325		567
326		516
327		624
328		531
329		544
330		546
331		505
332		527
333		521
334		512
335		475
336		467
337		425
338		339
339		319
340		311
341		281
342		200
343		232
344		209
345		225
346		224
347		203
348		188
349		185
350		171
351		176
352		159
353		177
354		171
355		147
356		158
357		167
358		144
359		139
360		136
361		131
362		140
363		152
364		142
365		128
366		118
367		131
368		131
369		123
370		97
371		114
372		97
373		116
374		98
375		108
376		100
377		117
378		86
379		83
380		89
381		91
382		80
383		71
384		67
385		55
386		68
387		50
388		75
389		62
390		52
391		63
392		41
393		64
394		47
395		47
396		46
397		40
398		25
399		33
400		40
401		36
402		38
403		31
404		28
405		21
406		25
407		23
408		28
409		22
410		28
411		18
412		22
413		29
414		27
415		26
416		22
417		18
418		24
419		24
420		27
421		17
422		28
423		15
424		17
425		21
426		14
427		20
428		14
429		15
430		14
431		22
432		15
433		14
434		18
435		25
436		20
437		11
438		16
439		19
440		16
441		18
442		21
443		14
444		23
445		13
446		17
447		13
448		14
449		17
450		17
451		13
452		12
453		22
454		20
455		22
456		17
457		19
458		9
459		24
460		30
461		34
462		33
463		21
464		30
465		43
