Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	2048
Coarse Gain:	1
Fine Gain:	1.0
Upper Discriminator:	2175
Lower Discriminator:	33
Calibration Coefficients:Elapsed Real Time:	166.21
Elapsed Live Time:	150.92
Start Time:	February 23, 2016, 02:35:21
End Time:	February 23, 2016, 02:38:06
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	469	471	2180	46	0	470

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		1
32		1
33		3
34		184
35		3176
36		7288
37		7924
38		7327
39		7520
40		7296
41		7423
42		7146
43		7268
44		6857
45		7241
46		7017
47		7058
48		7037
49		7148
50		6812
51		6887
52		6846
53		7078
54		6684
55		6827
56		6765
57		6783
58		6553
59		6816
60		6618
61		6724
62		6517
63		6800
64		6629
65		6788
66		6431
67		6578
68		6732
69		6817
70		6350
71		6592
72		6625
73		6766
74		6257
75		6708
76		6346
77		6616
78		6338
79		6385
80		6327
81		6666
82		6255
83		6230
84		6227
85		6334
86		6172
87		6236
88		6069
89		6437
90		6075
91		6145
92		6095
93		6329
94		5969
95		6113
96		6094
97		6224
98		5945
99		6047
100		6179
101		6214
102		5910
103		6093
104		6070
105		6252
106		5996
107		6428
108		6435
109		6909
110		7010
111		7591
112		7366
113		7918
114		7345
115		7570
116		7582
117		7735
118		7453
119		7431
120		7298
121		7524
122		6902
123		7208
124		6949
125		6989
126		6776
127		6753
128		6652
129		6665
130		6312
131		6388
132		6545
133		6591
134		6154
135		6426
136		6125
137		6547
138		6187
139		6396
140		5958
141		6408
142		6061
143		6237
144		6070
145		6436
146		5966
147		6194
148		5949
149		6084
150		5885
151		6063
152		5915
153		6074
154		5713
155		6160
156		5719
157		5945
158		5579
159		5833
160		5765
161		6054
162		5525
163		5659
164		5597
165		5993
166		5686
167		5939
168		5862
169		6056
170		5566
171		5886
172		5565
173		5786
174		5441
175		5913
176		5729
177		5793
178		5571
179		5668
180		5739
181		5861
182		5644
183		5921
184		5673
185		6002
186		5759
187		5992
188		5683
189		6013
190		5906
191		6182
192		5907
193		6209
194		5821
195		5900
196		6205
197		6435
198		6092
199		6358
200		6233
201		6553
202		6351
203		6605
204		6403
205		6823
206		6377
207		6666
208		6871
209		7105
210		6623
211		6863
212		7076
213		7489
214		7025
215		7360
216		7324
217		7757
218		7399
219		7752
220		7596
221		7908
222		7670
223		8058
224		7924
225		8324
226		7684
227		7801
228		7937
229		8026
230		7309
231		7020
232		6252
233		5874
234		4940
235		4800
236		4191
237		3950
238		3667
239		3620
240		3520
241		3404
242		3246
243		3133
244		3180
245		3161
246		2843
247		2919
248		2788
249		2839
250		2604
251		2672
252		2555
253		2651
254		2507
255		2557
256		2434
257		2467
258		2430
259		2212
260		2359
261		2448
262		2122
263		2176
264		2109
265		2124
266		1889
267		2008
268		1911
269		1941
270		1763
271		1812
272		1735
273		1772
274		1632
275		1632
276		1585
277		1612
278		1391
279		1505
280		1353
281		1442
282		1276
283		1323
284		1236
285		1233
286		1292
287		1233
288		1192
289		1289
290		1217
291		1197
292		1154
293		1207
294		1071
295		1094
296		1086
297		1173
298		1073
299		1156
300		1035
301		1118
302		1027
303		1059
304		1041
305		1116
306		1049
307		1054
308		1005
309		1052
310		982
311		1042
312		1024
313		1087
314		1012
315		1015
316		1015
317		1061
318		977
319		944
320		929
321		1000
322		964
323		968
324		1019
325		1036
326		985
327		1050
328		949
329		1044
330		958
331		959
332		969
333		1008
334		934
335		963
336		974
337		1035
338		1001
339		1029
340		939
341		1096
342		999
343		1018
344		1057
345		1093
346		1066
347		1211
348		1250
349		1558
350		2505
351		5720
352		13226
353		29622
354		45272
355		53859
356		42324
357		21740
358		6738
359		2124
360		1069
361		892
362		853
363		930
364		756
365		835
366		805
367		812
368		798
369		843
370		743
371		803
372		828
373		897
374		727
375		781
376		743
377		823
378		744
379		837
380		743
381		868
382		738
383		698
384		778
385		764
386		776
387		771
388		791
