Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	Mossbauer Internal
High Voltage:	1220
Conversion Gain:	512
Coarse Gain:	6
Fine Gain:	1
Upper Discriminator:	310
Lower Discriminator:	216
Calibration Coefficients:	3.827506058639514E-8	3.099323970007371E-4	0.03770531336005996
Calibration Channels:	778	922	1669
Calibration Energies:	0.302	0.356	0.6616
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	May 06, 2016, 03:03:25
End Time:	May 06, 2016, 03:32:46
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	1592
1	1.0	1596
2	2.0	1627
3	3.0	1553
4	4.0	1591
5	5.0	1554
6	6.0	1599
7	7.0	1622
8	8.0	1599
9	9.0	1584
10	10.0	1632
11	11.0	1570
12	12.0	1580
13	13.0	1566
14	14.0	1581
15	15.0	1560
16	16.0	1557
17	17.0	1633
18	18.0	1562
19	19.0	1548
20	20.0	1572
21	21.0	1592
22	22.0	1528
23	23.0	1566
24	24.0	1573
25	25.0	1511
26	26.0	1582
27	27.0	1583
28	28.0	1588
29	29.0	1522
30	30.0	1566
31	31.0	1514
32	32.0	1373
33	33.0	1352
34	34.0	946
35	35.0	1001
36	36.0	1435
37	37.0	1478
38	38.0	1601
39	39.0	1536
40	40.0	1655
41	41.0	1595
42	42.0	1554
43	43.0	1567
44	44.0	1534
45	45.0	1577
46	46.0	1515
47	47.0	1562
48	48.0	1539
49	49.0	1589
50	50.0	1596
51	51.0	1565
52	52.0	1623
53	53.0	1601
54	54.0	1576
55	55.0	1650
56	56.0	1597
57	57.0	1545
58	58.0	1602
59	59.0	1586
60	60.0	1554
61	61.0	1557
62	62.0	1665
63	63.0	1533
64	64.0	1627
65	65.0	1634
66	66.0	1611
67	67.0	1586
68	68.0	1576
69	69.0	1566
70	70.0	1560
71	71.0	1667
72	72.0	1556
73	73.0	1640
74	74.0	1586
75	75.0	1625
76	76.0	1587
77	77.0	1639
78	78.0	1570
79	79.0	1647
80	80.0	1590
81	81.0	1604
82	82.0	1540
83	83.0	1557
84	84.0	1715
85	85.0	1588
86	86.0	1576
87	87.0	1571
88	88.0	1579
89	89.0	1538
90	90.0	1645
91	91.0	1538
92	92.0	1586
93	93.0	1636
94	94.0	1586
95	95.0	1654
96	96.0	1649
97	97.0	1562
98	98.0	1650
99	99.0	1626
100	100.0	1575
101	101.0	1506
102	102.0	1539
103	103.0	1568
104	104.0	1510
105	105.0	1586
106	106.0	1553
107	107.0	1567
108	108.0	1574
109	109.0	1526
110	110.0	1720
111	111.0	1577
112	112.0	1643
113	113.0	1573
114	114.0	1595
115	115.0	1530
116	116.0	1574
117	117.0	1589
118	118.0	1564
119	119.0	1545
120	120.0	1574
121	121.0	1578
122	122.0	1568
123	123.0	1630
124	124.0	1570
125	125.0	1598
126	126.0	1534
127	127.0	1573
128	128.0	1621
129	129.0	1628
130	130.0	1568
131	131.0	1593
132	132.0	1601
133	133.0	1623
134	134.0	1596
135	135.0	1517
136	136.0	1601
137	137.0	1519
138	138.0	1603
139	139.0	1568
140	140.0	1566
141	141.0	1636
142	142.0	1635
143	143.0	1662
144	144.0	1547
145	145.0	1496
146	146.0	1509
147	147.0	1526
148	148.0	1596
149	149.0	1589
150	150.0	1511
151	151.0	1544
152	152.0	1501
153	153.0	1577
154	154.0	1546
155	155.0	1597
156	156.0	1607
157	157.0	1516
158	158.0	1562
159	159.0	1584
160	160.0	1574
161	161.0	1599
162	162.0	1551
163	163.0	1575
164	164.0	1477
165	165.0	1608
166	166.0	1528
167	167.0	1586
168	168.0	1603
169	169.0	1588
170	170.0	1553
171	171.0	1600
172	172.0	1488
173	173.0	1611
174	174.0	1554
175	175.0	1529
176	176.0	1571
177	177.0	1607
178	178.0	1546
179	179.0	1568
180	180.0	1594
181	181.0	1579
182	182.0	1612
183	183.0	1645
184	184.0	1684
185	185.0	1602
186	186.0	1580
187	187.0	1553
188	188.0	1518
189	189.0	1567
190	190.0	1588
191	191.0	1581
192	192.0	1627
193	193.0	1582
194	194.0	1595
195	195.0	1541
196	196.0	1566
197	197.0	1637
198	198.0	1513
199	199.0	1646
200	200.0	1473
201	201.0	1497
202	202.0	1523
203	203.0	1585
204	204.0	1545
205	205.0	1538
206	206.0	1543
207	207.0	1534
208	208.0	1564
209	209.0	1551
210	210.0	1483
211	211.0	1533
