Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	Mossbauer Internal
High Voltage:	1220
Conversion Gain:	512
Coarse Gain:	6
Fine Gain:	1
Upper Discriminator:	316
Lower Discriminator:	201
Calibration Coefficients:	3.827506058639514E-8	3.099323970007371E-4	0.03770531336005996
Calibration Channels:	778	922	1669
Calibration Energies:	0.302	0.356	0.6616
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	May 06, 2016, 03:39:09
End Time:	May 06, 2016, 03:58:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	2310
1	1.0	2324
2	2.0	2300
3	3.0	2390
4	4.0	2380
5	5.0	2329
6	6.0	2216
7	7.0	2127
8	8.0	2008
9	9.0	2175
10	10.0	2249
11	11.0	2328
12	12.0	2334
13	13.0	2452
14	14.0	2384
15	15.0	2375
16	16.0	2387
17	17.0	2265
18	18.0	2051
19	19.0	1967
20	20.0	2231
21	21.0	2318
22	22.0	2446
23	23.0	2339
24	24.0	2309
25	25.0	2307
26	26.0	2368
27	27.0	2306
28	28.0	2298
29	29.0	2201
30	30.0	2191
31	31.0	2228
32	32.0	2331
33	33.0	2247
34	34.0	2275
35	35.0	2302
36	36.0	2370
37	37.0	2278
38	38.0	2212
39	39.0	2209
40	40.0	2329
41	41.0	2335
42	42.0	2398
43	43.0	2297
44	44.0	2265
45	45.0	2314
46	46.0	2284
47	47.0	2318
48	48.0	2248
49	49.0	2111
50	50.0	2095
51	51.0	2307
52	52.0	2304
53	53.0	2358
54	54.0	2293
55	55.0	2340
56	56.0	2340
57	57.0	2424
58	58.0	2286
59	59.0	2277
60	60.0	2138
61	61.0	2005
62	62.0	2161
63	63.0	2337
64	64.0	2331
65	65.0	2262
66	66.0	2356
67	67.0	2293
68	68.0	2328
69	69.0	2330
70	70.0	2244
71	71.0	2363
72	72.0	2271
73	73.0	2294
74	74.0	2337
75	75.0	2283
76	76.0	2297
77	77.0	2385
78	78.0	2336
79	79.0	2272
80	80.0	2275
81	81.0	2308
82	82.0	2286
83	83.0	2403
84	84.0	2351
85	85.0	2379
86	86.0	2227
87	87.0	2297
88	88.0	2387
89	89.0	2334
90	90.0	2212
91	91.0	2319
92	92.0	2283
93	93.0	2306
94	94.0	2229
95	95.0	2258
96	96.0	2273
97	97.0	2386
98	98.0	2262
99	99.0	2254
100	100.0	2307
101	101.0	2271
102	102.0	2291
103	103.0	2283
104	104.0	2278
105	105.0	2301
106	106.0	2364
107	107.0	2338
108	108.0	2297
109	109.0	2327
110	110.0	2212
111	111.0	2228
112	112.0	2288
113	113.0	2212
114	114.0	2333
115	115.0	2209
116	116.0	2144
117	117.0	2138
118	118.0	1990
119	119.0	1981
120	120.0	1937
121	121.0	1983
122	122.0	1890
123	123.0	1920
124	124.0	1959
125	125.0	1995
126	126.0	2114
127	127.0	2080
128	128.0	2123
129	129.0	2109
130	130.0	2308
131	131.0	2224
132	132.0	2157
133	133.0	2271
134	134.0	2223
135	135.0	2324
136	136.0	2281
137	137.0	2338
138	138.0	2206
139	139.0	2323
140	140.0	2234
141	141.0	2357
142	142.0	2315
143	143.0	2271
144	144.0	2303
145	145.0	2284
146	146.0	2363
147	147.0	2341
148	148.0	2300
149	149.0	2315
150	150.0	2389
151	151.0	2323
152	152.0	2362
153	153.0	2338
154	154.0	2273
155	155.0	2279
156	156.0	2370
157	157.0	2362
158	158.0	2385
159	159.0	2361
160	160.0	2435
161	161.0	2306
162	162.0	2363
163	163.0	2286
164	164.0	2411
165	165.0	2328
166	166.0	2373
167	167.0	2365
168	168.0	2350
169	169.0	2362
170	170.0	2302
171	171.0	2243
172	172.0	2249
173	173.0	2336
174	174.0	2316
175	175.0	2374
176	176.0	2229
177	177.0	2257
178	178.0	2298
179	179.0	2295
180	180.0	2284
181	181.0	2298
182	182.0	2247
183	183.0	2205
184	184.0	2198
185	185.0	2150
186	186.0	2056
187	187.0	2026
188	188.0	1938
189	189.0	1938
190	190.0	2032
191	191.0	2026
192	192.0	1941
193	193.0	2083
194	194.0	2143
195	195.0	2228
196	196.0	2126
197	197.0	2250
198	198.0	2202
199	199.0	2270
200	200.0	2223
201	201.0	2265
202	202.0	2278
203	203.0	2346
204	204.0	2328
205	205.0	2275
206	206.0	2412
207	207.0	2410
208	208.0	2285
209	209.0	2238
210	210.0	2401
211	211.0	2295
212	212.0	2373
213	213.0	2335
214	214.0	2404
215	215.0	2313
216	216.0	2224
217	217.0	2316
218	218.0	2398
219	219.0	2303
220	220.0	2279
221	221.0	2352
222	222.0	2331
223	223.0	2361
224	224.0	2342
225	225.0	2340
226	226.0	2211
227	227.0	2371
228	228.0	2389
229	229.0	2364
230	230.0	2334
231	231.0	2350
232	232.0	2304
233	233.0	2350
234	234.0	2289
235	235.0	2294
236	236.0	2359
237	237.0	2339
238	238.0	2305
239	239.0	2337
240	240.0	2391
241	241.0	2313
242	242.0	2353
243	243.0	2349
244	244.0	2303
245	245.0	2336
246	246.0	2396
247	247.0	2324
248	248.0	2373
249	249.0	2315
250	250.0	2279
251	251.0	2259
252	252.0	2297
253	253.0	2238
254	254.0	2358
255	255.0	2296
256	256.0	2149
257	257.0	2164
258	258.0	2144
259	259.0	2111
260	260.0	2161
261	261.0	2180
262	262.0	2185
263	263.0	2146
264	264.0	2229
265	265.0	2245
266	266.0	2305
267	267.0	2262
268	268.0	2372
269	269.0	2273
270	270.0	2354
271	271.0	2228
272	272.0	2243
273	273.0	2257
274	274.0	2244
275	275.0	2272
276	276.0	2247
277	277.0	2275
278	278.0	2220
279	279.0	2366
280	280.0	2282
281	281.0	2299
282	282.0	2317
283	283.0	2255
284	284.0	2315
