Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	1220
Conversion Gain:	512
Coarse Gain:	6
Fine Gain:	1
Upper Discriminator:	524
Lower Discriminator:	42
Calibration Coefficients:	3.827506058639514E-8	3.099323970007371E-4	0.03770531336005996
Calibration Channels:	778	922	1669
Calibration Energies:	0.302	0.356	0.6616
Elapsed Real Time:	30.2
Elapsed Live Time:	28.2
Start Time:	May 06, 2016, 02:43:36
End Time:	May 06, 2016, 02:44:07
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	0
9	9.0	0
10	10.0	0
11	11.0	0
12	12.0	0
13	13.0	0
14	14.0	0
15	15.0	0
16	16.0	0
17	17.0	0
18	18.0	0
19	19.0	0
20	20.0	0
21	21.0	0
22	22.0	0
23	23.0	1
24	24.0	0
25	25.0	0
26	26.0	0
27	27.0	0
28	28.0	0
29	29.0	0
30	30.0	0
31	31.0	0
32	32.0	0
33	33.0	0
34	34.0	0
35	35.0	0
36	36.0	0
37	37.0	0
38	38.0	12
39	39.0	22
40	40.0	45
41	41.0	49
42	42.0	42
43	43.0	37
44	44.0	25
45	45.0	33
46	46.0	28
47	47.0	39
48	48.0	37
49	49.0	33
50	50.0	39
51	51.0	38
52	52.0	37
53	53.0	38
54	54.0	46
55	55.0	52
56	56.0	43
57	57.0	63
58	58.0	57
59	59.0	60
60	60.0	64
61	61.0	84
62	62.0	112
63	63.0	79
64	64.0	95
65	65.0	92
66	66.0	100
67	67.0	121
68	68.0	130
69	69.0	142
70	70.0	163
71	71.0	187
72	72.0	226
73	73.0	206
74	74.0	241
75	75.0	292
76	76.0	312
77	77.0	316
78	78.0	334
79	79.0	437
80	80.0	399
81	81.0	523
82	82.0	520
83	83.0	556
84	84.0	703
85	85.0	746
86	86.0	795
87	87.0	945
88	88.0	1106
89	89.0	1223
90	90.0	1344
91	91.0	1518
92	92.0	1691
93	93.0	1839
94	94.0	2012
95	95.0	2202
96	96.0	2263
97	97.0	2356
98	98.0	2589
99	99.0	2626
100	100.0	2622
101	101.0	2778
102	102.0	2775
103	103.0	2718
104	104.0	2669
105	105.0	2593
106	106.0	2510
107	107.0	2482
108	108.0	2174
109	109.0	2031
110	110.0	1859
111	111.0	1805
112	112.0	1573
113	113.0	1530
114	114.0	1293
115	115.0	1161
116	116.0	1087
117	117.0	932
118	118.0	772
119	119.0	763
120	120.0	651
121	121.0	525
122	122.0	489
123	123.0	429
124	124.0	365
125	125.0	304
126	126.0	267
127	127.0	251
128	128.0	188
129	129.0	181
130	130.0	140
131	131.0	136
132	132.0	121
133	133.0	104
134	134.0	84
135	135.0	91
136	136.0	82
137	137.0	52
138	138.0	45
139	139.0	49
140	140.0	51
141	141.0	57
142	142.0	43
143	143.0	32
144	144.0	43
145	145.0	38
146	146.0	33
147	147.0	36
148	148.0	38
149	149.0	34
150	150.0	41
151	151.0	38
152	152.0	31
153	153.0	29
154	154.0	45
155	155.0	41
156	156.0	38
157	157.0	42
158	158.0	42
159	159.0	49
160	160.0	53
161	161.0	47
162	162.0	48
163	163.0	48
164	164.0	39
165	165.0	57
166	166.0	40
167	167.0	38
168	168.0	48
169	169.0	44
170	170.0	42
171	171.0	37
172	172.0	40
173	173.0	39
174	174.0	60
175	175.0	47
176	176.0	57
177	177.0	48
178	178.0	47
179	179.0	36
180	180.0	40
181	181.0	46
182	182.0	41
183	183.0	39
184	184.0	47
185	185.0	50
186	186.0	40
187	187.0	42
188	188.0	44
189	189.0	40
190	190.0	38
191	191.0	46
192	192.0	42
193	193.0	40
194	194.0	44
195	195.0	48
196	196.0	46
197	197.0	42
198	198.0	44
199	199.0	45
200	200.0	60
201	201.0	50
202	202.0	56
203	203.0	67
204	204.0	57
205	205.0	64
206	206.0	57
207	207.0	65
208	208.0	73
209	209.0	74
210	210.0	71
211	211.0	80
212	212.0	101
213	213.0	87
214	214.0	113
215	215.0	95
216	216.0	114
217	217.0	134
218	218.0	125
219	219.0	122
220	220.0	153
221	221.0	137
222	222.0	185
223	223.0	196
224	224.0	224
225	225.0	236
226	226.0	248
227	227.0	277
228	228.0	294
229	229.0	329
230	230.0	377
231	231.0	380
232	232.0	414
233	233.0	448
234	234.0	479
235	235.0	514
236	236.0	545
237	237.0	608
238	238.0	634
239	239.0	647
240	240.0	660
241	241.0	774
242	242.0	764
243	243.0	815
244	244.0	845
245	245.0	878
246	246.0	911
247	247.0	945
248	248.0	968
249	249.0	947
250	250.0	1047
251	251.0	963
252	252.0	1006
253	253.0	1068
254	254.0	1095
255	255.0	1023
256	256.0	1023
257	257.0	1059
258	258.0	1000
259	259.0	1073
260	260.0	1004
261	261.0	953
262	262.0	950
263	263.0	950
264	264.0	916
265	265.0	895
266	266.0	847
267	267.0	807
268	268.0	817
269	269.0	705
270	270.0	699
271	271.0	678
272	272.0	601
273	273.0	575
274	274.0	565
275	275.0	543
276	276.0	462
277	277.0	467
278	278.0	420
279	279.0	417
280	280.0	333
281	281.0	320
282	282.0	299
283	283.0	274
284	284.0	225
285	285.0	218
286	286.0	177
287	287.0	188
288	288.0	139
289	289.0	157
290	290.0	134
291	291.0	120
292	292.0	98
293	293.0	78
294	294.0	90
295	295.0	86
296	296.0	65
297	297.0	68
298	298.0	59
299	299.0	58
300	300.0	37
301	301.0	48
302	302.0	37
303	303.0	48
304	304.0	32
305	305.0	30
306	306.0	34
307	307.0	36
308	308.0	33
309	309.0	28
310	310.0	39
311	311.0	37
312	312.0	30
313	313.0	29
314	314.0	35
315	315.0	44
316	316.0	33
317	317.0	43
318	318.0	37
319	319.0	46
320	320.0	44
321	321.0	52
322	322.0	45
323	323.0	40
324	324.0	45
325	325.0	43
326	326.0	47
327	327.0	48
328	328.0	55
329	329.0	52
330	330.0	52
331	331.0	58
332	332.0	54
333	333.0	58
334	334.0	60
335	335.0	68
336	336.0	65
337	337.0	65
338	338.0	77
339	339.0	68
340	340.0	68
341	341.0	71
342	342.0	77
343	343.0	75
344	344.0	73
345	345.0	77
346	346.0	84
347	347.0	71
348	348.0	70
349	349.0	80
350	350.0	83
351	351.0	93
352	352.0	101
353	353.0	93
354	354.0	90
355	355.0	105
356	356.0	101
357	357.0	83
358	358.0	86
359	359.0	121
360	360.0	86
361	361.0	97
362	362.0	91
363	363.0	99
364	364.0	106
365	365.0	89
366	366.0	116
367	367.0	83
368	368.0	87
369	369.0	101
370	370.0	82
371	371.0	92
372	372.0	93
373	373.0	96
374	374.0	92
375	375.0	92
376	376.0	88
377	377.0	82
378	378.0	68
379	379.0	68
380	380.0	78
381	381.0	69
382	382.0	70
383	383.0	80
384	384.0	68
385	385.0	71
386	386.0	60
387	387.0	54
388	388.0	73
389	389.0	73
390	390.0	53
391	391.0	61
392	392.0	52
393	393.0	63
394	394.0	50
395	395.0	51
396	396.0	52
397	397.0	45
398	398.0	38
399	399.0	53
400	400.0	26
401	401.0	53
402	402.0	46
403	403.0	43
404	404.0	38
405	405.0	41
406	406.0	42
407	407.0	49
408	408.0	46
409	409.0	34
410	410.0	42
411	411.0	35
412	412.0	33
413	413.0	37
414	414.0	37
415	415.0	37
416	416.0	38
417	417.0	35
418	418.0	38
419	419.0	35
420	420.0	32
421	421.0	33
422	422.0	27
423	423.0	36
424	424.0	24
425	425.0	17
426	426.0	37
427	427.0	28
428	428.0	31
429	429.0	31
430	430.0	37
431	431.0	26
432	432.0	27
433	433.0	31
434	434.0	30
435	435.0	25
436	436.0	25
437	437.0	27
438	438.0	26
439	439.0	31
440	440.0	18
441	441.0	22
442	442.0	21
443	443.0	24
444	444.0	26
445	445.0	21
446	446.0	23
447	447.0	19
448	448.0	30
449	449.0	25
450	450.0	25
451	451.0	26
452	452.0	20
453	453.0	21
454	454.0	16
455	455.0	26
456	456.0	20
457	457.0	22
458	458.0	31
459	459.0	17
460	460.0	28
461	461.0	21
462	462.0	19
463	463.0	15
464	464.0	17
465	465.0	24
466	466.0	15
467	467.0	21
468	468.0	28
469	469.0	27
470	470.0	16
471	471.0	20
472	472.0	15
473	473.0	25
474	474.0	13
475	475.0	23
476	476.0	14
477	477.0	19
478	478.0	17
479	479.0	15
480	480.0	21
481	481.0	23
482	482.0	17
483	483.0	15
484	484.0	23
485	485.0	15
486	486.0	24
487	487.0	28
488	488.0	19
489	489.0	24
490	490.0	22
491	491.0	19
492	492.0	21
493	493.0	19
494	494.0	22
495	495.0	21
496	496.0	21
497	497.0	29
498	498.0	23
499	499.0	19
500	500.0	18
501	501.0	24
502	502.0	20
503	503.0	20
504	504.0	19
505	505.0	22
506	506.0	23
507	507.0	21
508	508.0	16
509	509.0	19
510	510.0	17
511	511.0	17
