Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	Mossbauer Internal
High Voltage:	1220
Conversion Gain:	512
Coarse Gain:	6
Fine Gain:	1
Upper Discriminator:	316
Lower Discriminator:	201
Calibration Coefficients:	3.827506058639514E-8	3.099323970007371E-4	0.03770531336005996
Calibration Channels:	778	922	1669
Calibration Energies:	0.302	0.356	0.6616
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	May 06, 2016, 04:10:13
End Time:	May 06, 2016, 04:35:34
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	2935
1	1.0	3115
2	2.0	3018
3	3.0	2951
4	4.0	3001
5	5.0	3022
6	6.0	3052
7	7.0	2967
8	8.0	3035
9	9.0	3050
10	10.0	2988
11	11.0	2978
12	12.0	3025
13	13.0	3027
14	14.0	2981
15	15.0	3066
16	16.0	3028
17	17.0	3015
18	18.0	3023
19	19.0	3043
20	20.0	2957
21	21.0	3032
22	22.0	3033
23	23.0	2903
24	24.0	3044
25	25.0	2953
26	26.0	3064
27	27.0	2948
28	28.0	2936
29	29.0	3013
30	30.0	2782
31	31.0	2750
32	32.0	2831
33	33.0	2941
34	34.0	2968
35	35.0	2941
36	36.0	2973
37	37.0	3009
38	38.0	2988
39	39.0	2745
40	40.0	2793
41	41.0	3005
42	42.0	2904
43	43.0	2886
44	44.0	3031
45	45.0	2944
46	46.0	3005
47	47.0	3047
48	48.0	3057
49	49.0	2970
50	50.0	2919
51	51.0	3121
52	52.0	2927
53	53.0	2927
54	54.0	3049
55	55.0	3013
56	56.0	3003
57	57.0	3019
58	58.0	2964
59	59.0	2951
60	60.0	3000
61	61.0	2991
62	62.0	2979
63	63.0	2970
64	64.0	2967
65	65.0	2952
66	66.0	3098
67	67.0	2848
68	68.0	2941
69	69.0	2962
70	70.0	2919
71	71.0	2948
72	72.0	3018
73	73.0	2982
74	74.0	3013
75	75.0	2981
76	76.0	3026
77	77.0	2939
78	78.0	3010
79	79.0	2950
80	80.0	2983
81	81.0	2960
82	82.0	2945
83	83.0	2960
84	84.0	2969
85	85.0	2995
86	86.0	2907
87	87.0	3005
88	88.0	3105
89	89.0	3018
90	90.0	2954
91	91.0	2991
92	92.0	3014
93	93.0	3111
94	94.0	3071
95	95.0	2988
96	96.0	3072
97	97.0	3000
98	98.0	2992
99	99.0	2979
100	100.0	3023
101	101.0	2883
102	102.0	2975
103	103.0	3035
104	104.0	3051
105	105.0	2930
106	106.0	3111
107	107.0	2977
