Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	Mossbauer Internal
High Voltage:	1220
Conversion Gain:	512
Coarse Gain:	6
Fine Gain:	1
Upper Discriminator:	524
Lower Discriminator:	7
Calibration Coefficients:	3.827506058639514E-8	3.099323970007371E-4	0.03770531336005996
Calibration Channels:	778	922	1669
Calibration Energies:	0.302	0.356	0.6616
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	May 06, 2016, 04:07:44
End Time:	May 06, 2016, 04:08:10
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	743
1	1.0	735
2	2.0	707
3	3.0	686
4	4.0	651
5	5.0	645
6	6.0	608
7	7.0	587
8	8.0	566
9	9.0	540
10	10.0	525
11	11.0	488
12	12.0	467
13	13.0	452
14	14.0	429
15	15.0	409
16	16.0	382
17	17.0	359
18	18.0	339
19	19.0	318
20	20.0	300
21	21.0	267
22	22.0	249
23	23.0	229
24	24.0	201
25	25.0	189
26	26.0	164
27	27.0	145
28	28.0	119
29	29.0	98
30	30.0	62
31	31.0	62
32	32.0	26
33	33.0	10
34	34.0	10
35	35.0	41
36	36.0	53
37	37.0	78
38	38.0	105
39	39.0	117
40	40.0	142
41	41.0	174
42	42.0	182
43	43.0	212
44	44.0	228
45	45.0	261
46	46.0	266
47	47.0	309
48	48.0	318
49	49.0	338
50	50.0	363
51	51.0	372
52	52.0	417
53	53.0	419
54	54.0	448
55	55.0	473
56	56.0	485
57	57.0	519
58	58.0	532
59	59.0	556
60	60.0	576
61	61.0	596
62	62.0	607
63	63.0	630
64	64.0	646
65	65.0	663
66	66.0	653
67	67.0	653
68	68.0	642
69	69.0	656
70	70.0	649
71	71.0	653
72	72.0	662
73	73.0	655
74	74.0	642
75	75.0	651
76	76.0	648
77	77.0	647
78	78.0	652
79	79.0	643
80	80.0	658
81	81.0	652
82	82.0	644
83	83.0	648
84	84.0	640
85	85.0	657
86	86.0	653
87	87.0	633
88	88.0	634
89	89.0	658
90	90.0	636
91	91.0	649
92	92.0	635
93	93.0	638
94	94.0	648
95	95.0	650
96	96.0	639
97	97.0	648
98	98.0	647
99	99.0	627
100	100.0	641
101	101.0	644
102	102.0	630
103	103.0	642
104	104.0	640
105	105.0	628
106	106.0	635
107	107.0	634
108	108.0	620
109	109.0	636
110	110.0	618
111	111.0	628
112	112.0	630
113	113.0	603
114	114.0	627
115	115.0	605
116	116.0	620
117	117.0	601
118	118.0	597
119	119.0	604
120	120.0	590
