Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	Mossbauer Internal
High Voltage:	1220
Conversion Gain:	512
Coarse Gain:	6
Fine Gain:	1
Upper Discriminator:	524
Lower Discriminator:	7
Calibration Coefficients:	3.827506058639514E-8	3.099323970007371E-4	0.03770531336005996
Calibration Channels:	778	922	1669
Calibration Energies:	0.302	0.356	0.6616
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	May 06, 2016, 04:37:20
End Time:	May 06, 2016, 04:37:56
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	901
1	1.0	892
2	2.0	856
3	3.0	834
4	4.0	804
5	5.0	779
6	6.0	751
7	7.0	721
8	8.0	695
9	9.0	659
10	10.0	627
11	11.0	610
12	12.0	591
13	13.0	545
14	14.0	528
15	15.0	495
16	16.0	475
17	17.0	449
18	18.0	416
19	19.0	388
20	20.0	362
21	21.0	335
22	22.0	300
23	23.0	282
24	24.0	249
25	25.0	221
26	26.0	199
27	27.0	174
28	28.0	147
29	29.0	122
30	30.0	94
31	31.0	60
32	32.0	39
33	33.0	11
34	34.0	12
35	35.0	43
36	36.0	74
37	37.0	90
38	38.0	126
39	39.0	153
40	40.0	173
41	41.0	204
42	42.0	231
43	43.0	251
44	44.0	283
45	45.0	309
46	46.0	334
47	47.0	358
48	48.0	392
49	49.0	413
50	50.0	444
51	51.0	465
52	52.0	498
53	53.0	517
54	54.0	550
55	55.0	573
56	56.0	602
57	57.0	632
58	58.0	656
59	59.0	675
60	60.0	701
61	61.0	726
62	62.0	754
63	63.0	789
64	64.0	783
65	65.0	809
66	66.0	793
67	67.0	803
68	68.0	807
69	69.0	815
70	70.0	793
71	71.0	804
72	72.0	787
73	73.0	801
74	74.0	803
75	75.0	804
76	76.0	801
77	77.0	792
78	78.0	789
79	79.0	803
80	80.0	806
81	81.0	795
82	82.0	792
83	83.0	792
84	84.0	797
85	85.0	810
86	86.0	789
87	87.0	792
88	88.0	795
89	89.0	806
90	90.0	785
91	91.0	780
92	92.0	795
93	93.0	807
94	94.0	787
95	95.0	783
96	96.0	795
97	97.0	791
98	98.0	782
99	99.0	779
100	100.0	796
101	101.0	787
102	102.0	777
103	103.0	791
104	104.0	777
105	105.0	765
106	106.0	787
107	107.0	774
108	108.0	771
109	109.0	774
110	110.0	764
111	111.0	770
112	112.0	757
113	113.0	761
114	114.0	748
115	115.0	756
116	116.0	742
117	117.0	749
118	118.0	735
119	119.0	727
120	120.0	734
121	121.0	726
122	122.0	724
123	123.0	714
124	124.0	715
125	125.0	711
126	126.0	708
127	127.0	699
128	128.0	695
129	129.0	689
130	130.0	683
131	131.0	682
132	132.0	684
133	133.0	668
134	134.0	670
135	135.0	661
136	136.0	656
137	137.0	664
138	138.0	665
139	139.0	646
140	140.0	649
141	141.0	652
142	142.0	630
143	143.0	645
144	144.0	622
145	145.0	622
146	146.0	612
147	147.0	615
148	148.0	601
149	149.0	625
150	150.0	597
151	151.0	595
152	152.0	604
153	153.0	590
154	154.0	582
155	155.0	577
156	156.0	582
157	157.0	569
158	158.0	567
159	159.0	567
160	160.0	561
161	161.0	560
162	162.0	551
163	163.0	542
164	164.0	537
165	165.0	529
166	166.0	524
167	167.0	531
168	168.0	532
169	169.0	516
170	170.0	506
171	171.0	519
172	172.0	510
173	173.0	497
174	174.0	502
175	175.0	486
176	176.0	492
177	177.0	477
178	178.0	487
179	179.0	472
180	180.0	476
181	181.0	465
182	182.0	458
183	183.0	459
184	184.0	451
185	185.0	450
186	186.0	445
187	187.0	442
188	188.0	440
189	189.0	430
190	190.0	426
191	191.0	422
192	192.0	421
193	193.0	420
194	194.0	409
195	195.0	407
196	196.0	407
197	197.0	393
198	198.0	387
199	199.0	399
200	200.0	383
201	201.0	382
202	202.0	369
203	203.0	381
204	204.0	370
205	205.0	362
206	206.0	370
207	207.0	343
208	208.0	357
209	209.0	336
210	210.0	347
211	211.0	329
212	212.0	333
213	213.0	334
214	214.0	315
215	215.0	321
216	216.0	317
217	217.0	308
218	218.0	300
219	219.0	306
220	220.0	294
221	221.0	294
222	222.0	287
223	223.0	286
224	224.0	277
225	225.0	273
226	226.0	272
227	227.0	260
228	228.0	262
229	229.0	257
230	230.0	257
231	231.0	253
232	232.0	242
233	233.0	234
234	234.0	242
235	235.0	229
236	236.0	221
237	237.0	234
238	238.0	217
239	239.0	215
240	240.0	214
241	241.0	209
242	242.0	203
243	243.0	199
244	244.0	194
245	245.0	191
246	246.0	187
247	247.0	177
248	248.0	176
249	249.0	176
250	250.0	162
251	251.0	154
252	252.0	167
253	253.0	156
254	254.0	151
255	255.0	142
256	256.0	143
257	257.0	133
258	258.0	128
259	259.0	125
260	260.0	125
261	261.0	108
262	262.0	118
263	263.0	105
264	264.0	115
265	265.0	99
266	266.0	94
267	267.0	95
268	268.0	86
269	269.0	87
270	270.0	85
271	271.0	70
272	272.0	76
273	273.0	60
274	274.0	71
275	275.0	58
276	276.0	55
277	277.0	50
278	278.0	43
279	279.0	46
280	280.0	41
281	281.0	38
282	282.0	20
283	283.0	31
284	284.0	22
285	285.0	14
286	286.0	13
287	287.0	10
288	288.0	4
289	289.0	0
290	290.0	1
291	291.0	8
292	292.0	15
293	293.0	13
294	294.0	14
295	295.0	28
296	296.0	25
297	297.0	38
298	298.0	35
299	299.0	41
300	300.0	43
301	301.0	52
302	302.0	54
303	303.0	60
304	304.0	61
305	305.0	69
306	306.0	71
307	307.0	77
308	308.0	82
309	309.0	83
310	310.0	85
311	311.0	95
312	312.0	94
313	313.0	104
314	314.0	103
315	315.0	111
316	316.0	114
317	317.0	123
318	318.0	119
319	319.0	126
320	320.0	133
321	321.0	129
322	322.0	139
323	323.0	145
324	324.0	152
325	325.0	153
326	326.0	153
327	327.0	156
328	328.0	172
329	329.0	163
330	330.0	176
331	331.0	180
332	332.0	188
333	333.0	182
334	334.0	190
335	335.0	195
336	336.0	198
337	337.0	201
338	338.0	205
339	339.0	213
340	340.0	211
341	341.0	221
342	342.0	217
343	343.0	229
344	344.0	234
345	345.0	231
346	346.0	244
347	347.0	246
348	348.0	249
349	349.0	253
350	350.0	252
351	351.0	259
352	352.0	270
353	353.0	269
354	354.0	274
355	355.0	278
356	356.0	282
357	357.0	287
358	358.0	290
359	359.0	298
360	360.0	301
361	361.0	303
362	362.0	302
363	363.0	310
364	364.0	319
365	365.0	322
366	366.0	319
367	367.0	324
368	368.0	335
369	369.0	327
370	370.0	344
371	371.0	332
372	372.0	356
373	373.0	347
374	374.0	360
375	375.0	357
376	376.0	367
377	377.0	371
378	378.0	359
379	379.0	381
380	380.0	388
381	381.0	379
382	382.0	387
383	383.0	389
384	384.0	401
385	385.0	411
386	386.0	412
387	387.0	403
388	388.0	413
389	389.0	416
390	390.0	421
391	391.0	430
392	392.0	431
393	393.0	433
394	394.0	437
395	395.0	439
396	396.0	447
397	397.0	454
398	398.0	447
399	399.0	462
400	400.0	463
401	401.0	460
402	402.0	479
403	403.0	469
404	404.0	484
405	405.0	482
406	406.0	492
407	407.0	489
408	408.0	502
409	409.0	498
410	410.0	503
411	411.0	512
412	412.0	511
413	413.0	513
414	414.0	521
415	415.0	525
416	416.0	524
417	417.0	531
418	418.0	533
419	419.0	545
420	420.0	549
421	421.0	550
422	422.0	554
423	423.0	556
424	424.0	566
425	425.0	561
426	426.0	567
427	427.0	570
428	428.0	578
429	429.0	583
430	430.0	585
431	431.0	584
432	432.0	591
433	433.0	603
434	434.0	595
435	435.0	596
436	436.0	604
437	437.0	598
438	438.0	628
439	439.0	618
440	440.0	631
441	441.0	625
442	442.0	633
443	443.0	627
444	444.0	638
445	445.0	640
446	446.0	649
447	447.0	653
448	448.0	660
449	449.0	654
450	450.0	661
451	451.0	663
452	452.0	674
453	453.0	676
454	454.0	673
455	455.0	677
456	456.0	686
457	457.0	687
458	458.0	694
459	459.0	701
460	460.0	697
461	461.0	712
462	462.0	711
463	463.0	719
464	464.0	714
465	465.0	721
466	466.0	729
467	467.0	722
468	468.0	736
469	469.0	753
470	470.0	734
471	471.0	745
472	472.0	747
473	473.0	743
474	474.0	758
475	475.0	750
476	476.0	771
477	477.0	775
478	478.0	768
479	479.0	769
480	480.0	773
481	481.0	791
482	482.0	789
483	483.0	797
484	484.0	789
485	485.0	807
486	486.0	806
487	487.0	815
488	488.0	809
489	489.0	813
490	490.0	826
491	491.0	835
492	492.0	841
493	493.0	833
494	494.0	833
495	495.0	843
496	496.0	850
497	497.0	847
498	498.0	852
499	499.0	862
500	500.0	861
501	501.0	862
502	502.0	867
503	503.0	870
504	504.0	875
505	505.0	878
506	506.0	881
507	507.0	885
508	508.0	897
509	509.0	899
510	510.0	906
511	511.0	906
