Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	Mossbauer Internal
High Voltage:	1220
Conversion Gain:	512
Coarse Gain:	6
Fine Gain:	1
Upper Discriminator:	524
Lower Discriminator:	7
Calibration Coefficients:	3.827506058639514E-8	3.099323970007371E-4	0.03770531336005996
Calibration Channels:	778	922	1669
Calibration Energies:	0.302	0.356	0.6616
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	May 06, 2016, 03:36:18
End Time:	May 06, 2016, 03:36:54
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	1152
1	1.0	1143
2	2.0	1096
3	3.0	1063
4	4.0	1026
5	5.0	1002
6	6.0	954
7	7.0	920
8	8.0	885
9	9.0	853
10	10.0	818
11	11.0	782
12	12.0	737
13	13.0	711
14	14.0	678
15	15.0	642
16	16.0	610
17	17.0	563
18	18.0	535
19	19.0	498
20	20.0	457
21	21.0	436
22	22.0	406
23	23.0	362
24	24.0	318
25	25.0	282
26	26.0	261
27	27.0	215
28	28.0	186
29	29.0	155
30	30.0	111
31	31.0	82
32	32.0	47
33	33.0	14
34	34.0	15
35	35.0	62
36	36.0	82
37	37.0	128
38	38.0	162
39	39.0	192
40	40.0	222
41	41.0	264
42	42.0	291
43	43.0	326
44	44.0	366
45	45.0	403
46	46.0	434
47	47.0	473
48	48.0	500
49	49.0	536
50	50.0	570
51	51.0	594
52	52.0	638
53	53.0	676
54	54.0	698
55	55.0	736
56	56.0	774
57	57.0	814
58	58.0	829
59	59.0	869
60	60.0	906
61	61.0	941
62	62.0	974
63	63.0	1004
64	64.0	1014
65	65.0	1034
66	66.0	1017
67	67.0	1040
68	68.0	1023
69	69.0	1030
70	70.0	1022
71	71.0	1030
72	72.0	1015
73	73.0	1036
74	74.0	1020
75	75.0	1028
76	76.0	1024
77	77.0	1019
78	78.0	1016
79	79.0	1025
80	80.0	1016
81	81.0	1024
82	82.0	1015
83	83.0	1011
84	84.0	1017
85	85.0	1021
86	86.0	1021
87	87.0	1012
88	88.0	1016
89	89.0	1018
90	90.0	1016
91	91.0	1023
92	92.0	1017
93	93.0	1007
94	94.0	1019
95	95.0	1012
96	96.0	1007
97	97.0	1013
98	98.0	1017
99	99.0	1007
100	100.0	1010
101	101.0	988
102	102.0	1010
103	103.0	997
104	104.0	988
105	105.0	1011
106	106.0	988
107	107.0	994
108	108.0	988
109	109.0	986
110	110.0	996
111	111.0	974
112	112.0	992
113	113.0	967
114	114.0	971
115	115.0	962
116	116.0	960
117	117.0	952
118	118.0	943
119	119.0	936
120	120.0	931
121	121.0	925
122	122.0	930
123	123.0	912
124	124.0	904
125	125.0	903
126	126.0	902
127	127.0	896
128	128.0	891
129	129.0	886
130	130.0	881
131	131.0	871
132	132.0	862
133	133.0	864
134	134.0	864
135	135.0	859
136	136.0	851
137	137.0	835
138	138.0	831
139	139.0	837
140	140.0	831
141	141.0	821
142	142.0	810
143	143.0	810
144	144.0	804
145	145.0	794
146	146.0	791
147	147.0	787
148	148.0	774
149	149.0	767
150	150.0	774
151	151.0	773
152	152.0	753
153	153.0	761
154	154.0	738
155	155.0	745
156	156.0	735
157	157.0	727
158	158.0	730
159	159.0	717
160	160.0	700
161	161.0	702
162	162.0	702
163	163.0	688
164	164.0	697
165	165.0	678
166	166.0	666
167	167.0	673
168	168.0	668
169	169.0	653
170	170.0	657
171	171.0	657
172	172.0	641
173	173.0	640
174	174.0	634
175	175.0	628
176	176.0	612
177	177.0	606
178	178.0	603
179	179.0	605
180	180.0	599
181	181.0	590
182	182.0	587
183	183.0	581
184	184.0	579
185	185.0	568
186	186.0	567
187	187.0	553
188	188.0	546
189	189.0	550
190	190.0	542
191	191.0	534
192	192.0	528
193	193.0	528
194	194.0	514
195	195.0	504
196	196.0	513
197	197.0	517
198	198.0	488
199	199.0	506
200	200.0	485
201	201.0	480
202	202.0	472
203	203.0	480
204	204.0	465
205	205.0	463
206	206.0	458
207	207.0	446
208	208.0	446
209	209.0	445
210	210.0	430
211	211.0	426
212	212.0	428
213	213.0	412
214	214.0	416
215	215.0	404
216	216.0	394
217	217.0	394
218	218.0	391
219	219.0	387
220	220.0	365
221	221.0	370
222	222.0	362
223	223.0	362
224	224.0	360
225	225.0	349
226	226.0	344
227	227.0	336
228	228.0	325
229	229.0	337
230	230.0	317
231	231.0	312
232	232.0	308
233	233.0	309
234	234.0	293
235	235.0	298
236	236.0	290
237	237.0	279
238	238.0	280
239	239.0	270
240	240.0	268
241	241.0	261
242	242.0	250
243	243.0	254
244	244.0	250
245	245.0	232
246	246.0	242
247	247.0	236
248	248.0	218
249	249.0	221
250	250.0	212
251	251.0	204
252	252.0	202
253	253.0	195
254	254.0	187
255	255.0	183
256	256.0	178
257	257.0	168
258	258.0	167
259	259.0	167
260	260.0	155
261	261.0	145
262	262.0	144
263	263.0	143
264	264.0	129
265	265.0	128
266	266.0	123
267	267.0	120
268	268.0	106
269	269.0	110
270	270.0	101
271	271.0	91
272	272.0	98
273	273.0	80
274	274.0	85
275	275.0	72
276	276.0	74
277	277.0	66
278	278.0	45
279	279.0	61
280	280.0	48
281	281.0	44
282	282.0	26
283	283.0	36
284	284.0	41
285	285.0	20
286	286.0	13
287	287.0	8
288	288.0	4
289	289.0	4
290	290.0	6
291	291.0	13
292	292.0	14
293	293.0	25
294	294.0	21
295	295.0	32
296	296.0	35
297	297.0	50
298	298.0	49
299	299.0	49
300	300.0	68
301	301.0	62
302	302.0	62
303	303.0	88
304	304.0	72
305	305.0	93
306	306.0	83
307	307.0	107
308	308.0	95
309	309.0	115
310	310.0	107
311	311.0	126
312	312.0	126
313	313.0	128
314	314.0	128
315	315.0	146
316	316.0	148
317	317.0	151
318	318.0	156
319	319.0	163
320	320.0	172
321	321.0	173
322	322.0	180
323	323.0	184
324	324.0	189
325	325.0	197
326	326.0	190
327	327.0	209
328	328.0	202
329	329.0	218
330	330.0	224
331	331.0	219
332	332.0	222
333	333.0	239
334	334.0	257
335	335.0	229
336	336.0	268
337	337.0	246
338	338.0	274
339	339.0	262
340	340.0	281
341	341.0	272
342	342.0	291
343	343.0	285
344	344.0	293
345	345.0	307
346	346.0	304
347	347.0	309
348	348.0	315
349	349.0	323
350	350.0	329
351	351.0	339
352	352.0	338
353	353.0	337
354	354.0	347
355	355.0	352
356	356.0	364
357	357.0	371
358	358.0	375
359	359.0	381
360	360.0	369
361	361.0	386
362	362.0	385
363	363.0	411
364	364.0	395
365	365.0	407
366	366.0	416
367	367.0	419
368	368.0	420
369	369.0	436
370	370.0	428
371	371.0	447
372	372.0	435
373	373.0	456
374	374.0	448
375	375.0	464
376	376.0	473
377	377.0	461
378	378.0	483
379	379.0	478
380	380.0	483
381	381.0	483
382	382.0	505
383	383.0	501
384	384.0	504
385	385.0	512
386	386.0	528
387	387.0	506
388	388.0	517
389	389.0	531
390	390.0	533
391	391.0	544
392	392.0	547
393	393.0	552
394	394.0	554
395	395.0	571
396	396.0	566
397	397.0	579
398	398.0	580
399	399.0	581
400	400.0	592
401	401.0	598
402	402.0	596
403	403.0	608
404	404.0	612
405	405.0	616
406	406.0	626
407	407.0	621
408	408.0	633
409	409.0	650
410	410.0	644
411	411.0	632
412	412.0	657
413	413.0	665
414	414.0	663
415	415.0	670
416	416.0	678
417	417.0	682
418	418.0	688
419	419.0	688
420	420.0	692
421	421.0	703
422	422.0	707
423	423.0	707
424	424.0	719
425	425.0	724
426	426.0	725
427	427.0	731
428	428.0	736
429	429.0	740
430	430.0	756
431	431.0	755
432	432.0	746
433	433.0	760
434	434.0	785
435	435.0	754
436	436.0	790
437	437.0	772
438	438.0	789
439	439.0	793
440	440.0	792
441	441.0	804
442	442.0	806
443	443.0	811
444	444.0	817
445	445.0	825
446	446.0	825
447	447.0	828
448	448.0	839
449	449.0	843
450	450.0	847
451	451.0	858
452	452.0	861
453	453.0	862
454	454.0	867
455	455.0	878
456	456.0	875
457	457.0	878
458	458.0	889
459	459.0	894
460	460.0	909
461	461.0	901
462	462.0	914
463	463.0	904
464	464.0	914
465	465.0	930
466	466.0	933
467	467.0	920
468	468.0	943
469	469.0	944
470	470.0	948
471	471.0	962
472	472.0	950
473	473.0	978
474	474.0	957
475	475.0	977
476	476.0	965
477	477.0	993
478	478.0	980
479	479.0	1002
480	480.0	1007
481	481.0	1000
482	482.0	1015
483	483.0	1029
484	484.0	1022
485	485.0	1027
486	486.0	1015
487	487.0	1044
488	488.0	1052
489	489.0	1061
490	490.0	1048
491	491.0	1051
492	492.0	1052
493	493.0	1059
494	494.0	1071
495	495.0	1082
496	496.0	1079
497	497.0	1089
498	498.0	1099
499	499.0	1093
500	500.0	1107
501	501.0	1106
502	502.0	1116
503	503.0	1113
504	504.0	1123
505	505.0	1130
506	506.0	1128
507	507.0	1139
508	508.0	1138
509	509.0	1155
510	510.0	1143
511	511.0	1143
