Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	1220
Conversion Gain:	512
Coarse Gain:	6
Fine Gain:	1
Upper Discriminator:	524
Lower Discriminator:	42
Calibration Coefficients:	3.827506058639514E-8	3.099323970007371E-4	0.03770531336005996
Calibration Channels:	778	922	1669
Calibration Energies:	0.302	0.356	0.6616
Elapsed Real Time:	40.45
Elapsed Live Time:	39.04
Start Time:	May 06, 2016, 02:44:52
End Time:	May 06, 2016, 02:45:32
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	0
9	9.0	0
10	10.0	0
11	11.0	0
12	12.0	0
13	13.0	0
14	14.0	0
15	15.0	0
16	16.0	0
17	17.0	0
18	18.0	0
19	19.0	0
20	20.0	0
21	21.0	0
22	22.0	0
23	23.0	0
24	24.0	0
25	25.0	0
26	26.0	0
27	27.0	0
28	28.0	0
29	29.0	0
30	30.0	0
31	31.0	0
32	32.0	0
33	33.0	0
34	34.0	0
35	35.0	0
36	36.0	0
37	37.0	0
38	38.0	10
39	39.0	14
40	40.0	29
41	41.0	19
42	42.0	23
43	43.0	20
44	44.0	29
45	45.0	19
46	46.0	17
47	47.0	20
48	48.0	25
49	49.0	15
50	50.0	23
51	51.0	17
52	52.0	16
53	53.0	18
54	54.0	22
55	55.0	17
56	56.0	20
57	57.0	25
58	58.0	21
59	59.0	22
60	60.0	17
61	61.0	13
62	62.0	22
63	63.0	27
64	64.0	28
65	65.0	18
66	66.0	18
67	67.0	20
68	68.0	18
69	69.0	18
70	70.0	30
71	71.0	28
72	72.0	43
73	73.0	31
74	74.0	43
75	75.0	31
76	76.0	28
77	77.0	36
78	78.0	43
79	79.0	35
80	80.0	34
81	81.0	43
82	82.0	34
83	83.0	50
84	84.0	47
85	85.0	44
86	86.0	55
87	87.0	52
88	88.0	49
89	89.0	52
90	90.0	44
91	91.0	52
92	92.0	57
93	93.0	46
94	94.0	54
95	95.0	62
96	96.0	64
97	97.0	73
98	98.0	75
99	99.0	71
100	100.0	89
101	101.0	80
102	102.0	65
103	103.0	59
104	104.0	85
105	105.0	102
106	106.0	86
107	107.0	78
108	108.0	82
109	109.0	86
110	110.0	75
111	111.0	87
112	112.0	73
113	113.0	80
114	114.0	67
115	115.0	83
116	116.0	87
117	117.0	80
118	118.0	75
119	119.0	75
120	120.0	65
121	121.0	64
122	122.0	64
123	123.0	51
124	124.0	67
125	125.0	46
126	126.0	55
127	127.0	64
128	128.0	48
129	129.0	61
130	130.0	44
131	131.0	57
132	132.0	50
133	133.0	55
134	134.0	48
135	135.0	34
136	136.0	47
137	137.0	46
138	138.0	55
139	139.0	46
140	140.0	40
141	141.0	40
142	142.0	39
143	143.0	44
144	144.0	35
145	145.0	45
146	146.0	35
147	147.0	46
148	148.0	30
149	149.0	33
150	150.0	42
151	151.0	39
152	152.0	37
153	153.0	36
154	154.0	37
155	155.0	45
156	156.0	38
157	157.0	38
158	158.0	33
159	159.0	36
160	160.0	44
161	161.0	41
162	162.0	40
163	163.0	40
164	164.0	42
165	165.0	40
166	166.0	42
167	167.0	48
168	168.0	30
169	169.0	50
170	170.0	47
171	171.0	39
172	172.0	49
173	173.0	57
174	174.0	32
175	175.0	43
176	176.0	44
177	177.0	51
178	178.0	48
179	179.0	62
180	180.0	58
181	181.0	69
182	182.0	49
183	183.0	55
184	184.0	40
185	185.0	50
186	186.0	52
187	187.0	47
188	188.0	39
189	189.0	66
190	190.0	52
191	191.0	62
192	192.0	50
193	193.0	45
194	194.0	47
195	195.0	51
196	196.0	46
197	197.0	46
198	198.0	51
199	199.0	43
200	200.0	56
201	201.0	39
202	202.0	47
203	203.0	49
204	204.0	54
205	205.0	57
206	206.0	64
207	207.0	64
208	208.0	63
209	209.0	51
210	210.0	59
211	211.0	70
212	212.0	61
213	213.0	84
214	214.0	63
215	215.0	77
216	216.0	90
217	217.0	66
218	218.0	94
219	219.0	115
220	220.0	124
221	221.0	128
222	222.0	105
223	223.0	142
224	224.0	146
225	225.0	142
226	226.0	159
227	227.0	179
228	228.0	210
229	229.0	224
230	230.0	246
231	231.0	245
232	232.0	270
233	233.0	298
234	234.0	320
235	235.0	352
236	236.0	368
237	237.0	400
238	238.0	490
239	239.0	490
240	240.0	495
241	241.0	537
242	242.0	606
243	243.0	610
244	244.0	705
245	245.0	696
246	246.0	754
247	247.0	790
248	248.0	809
249	249.0	819
250	250.0	871
251	251.0	888
252	252.0	910
253	253.0	906
254	254.0	931
255	255.0	968
256	256.0	952
257	257.0	950
258	258.0	1028
259	259.0	992
260	260.0	952
261	261.0	993
262	262.0	986
263	263.0	939
264	264.0	932
265	265.0	934
266	266.0	875
267	267.0	839
268	268.0	842
269	269.0	774
270	270.0	743
271	271.0	784
272	272.0	741
273	273.0	658
274	274.0	630
275	275.0	643
276	276.0	595
277	277.0	566
278	278.0	519
279	279.0	468
280	280.0	442
281	281.0	425
282	282.0	374
283	283.0	335
284	284.0	341
285	285.0	310
286	286.0	279
287	287.0	278
288	288.0	216
289	289.0	203
290	290.0	185
291	291.0	172
292	292.0	139
293	293.0	157
294	294.0	144
295	295.0	99
296	296.0	92
297	297.0	85
298	298.0	91
299	299.0	62
300	300.0	77
301	301.0	60
302	302.0	56
303	303.0	54
304	304.0	44
305	305.0	36
306	306.0	50
307	307.0	48
308	308.0	27
309	309.0	40
310	310.0	33
311	311.0	46
312	312.0	41
313	313.0	37
314	314.0	32
315	315.0	46
316	316.0	32
317	317.0	43
318	318.0	42
319	319.0	33
320	320.0	38
321	321.0	34
322	322.0	33
323	323.0	47
324	324.0	35
325	325.0	44
326	326.0	42
327	327.0	49
328	328.0	60
329	329.0	43
330	330.0	47
331	331.0	62
332	332.0	60
333	333.0	45
334	334.0	51
335	335.0	64
336	336.0	57
337	337.0	68
338	338.0	68
339	339.0	62
340	340.0	67
341	341.0	74
342	342.0	79
343	343.0	81
344	344.0	82
345	345.0	71
346	346.0	78
347	347.0	101
348	348.0	81
349	349.0	103
350	350.0	75
351	351.0	73
352	352.0	105
353	353.0	104
354	354.0	106
355	355.0	96
356	356.0	106
357	357.0	118
358	358.0	93
359	359.0	117
360	360.0	98
361	361.0	106
362	362.0	110
363	363.0	100
364	364.0	104
365	365.0	120
366	366.0	108
367	367.0	114
368	368.0	97
369	369.0	100
370	370.0	119
371	371.0	112
372	372.0	108
373	373.0	101
374	374.0	105
375	375.0	117
376	376.0	108
377	377.0	98
378	378.0	101
379	379.0	90
380	380.0	108
381	381.0	99
382	382.0	104
383	383.0	77
384	384.0	97
385	385.0	117
386	386.0	99
387	387.0	92
388	388.0	86
389	389.0	97
390	390.0	90
391	391.0	79
392	392.0	82
393	393.0	71
394	394.0	84
395	395.0	81
396	396.0	66
397	397.0	74
398	398.0	72
399	399.0	74
400	400.0	65
401	401.0	53
402	402.0	73
403	403.0	66
404	404.0	70
405	405.0	73
406	406.0	52
407	407.0	48
408	408.0	71
409	409.0	52
410	410.0	73
411	411.0	55
412	412.0	59
413	413.0	51
414	414.0	40
415	415.0	43
416	416.0	57
417	417.0	42
418	418.0	44
419	419.0	35
420	420.0	44
421	421.0	37
422	422.0	44
423	423.0	45
424	424.0	42
425	425.0	54
426	426.0	38
427	427.0	49
428	428.0	37
429	429.0	37
430	430.0	38
431	431.0	39
432	432.0	50
433	433.0	44
434	434.0	38
435	435.0	32
436	436.0	39
437	437.0	35
438	438.0	44
439	439.0	29
440	440.0	35
441	441.0	35
442	442.0	39
443	443.0	32
444	444.0	37
445	445.0	29
446	446.0	37
447	447.0	30
448	448.0	25
449	449.0	28
450	450.0	24
451	451.0	27
452	452.0	30
453	453.0	38
454	454.0	31
455	455.0	23
456	456.0	25
457	457.0	30
458	458.0	29
459	459.0	30
460	460.0	32
461	461.0	28
462	462.0	29
463	463.0	25
464	464.0	25
465	465.0	24
466	466.0	24
467	467.0	29
468	468.0	21
469	469.0	27
470	470.0	23
471	471.0	18
472	472.0	22
473	473.0	24
474	474.0	35
475	475.0	40
476	476.0	21
477	477.0	26
478	478.0	27
479	479.0	22
480	480.0	19
481	481.0	26
482	482.0	30
483	483.0	28
484	484.0	28
485	485.0	20
486	486.0	28
487	487.0	16
488	488.0	19
489	489.0	26
490	490.0	29
491	491.0	29
492	492.0	17
493	493.0	31
494	494.0	27
495	495.0	21
496	496.0	19
497	497.0	24
498	498.0	27
499	499.0	23
500	500.0	24
501	501.0	19
502	502.0	21
503	503.0	21
504	504.0	25
505	505.0	18
506	506.0	30
507	507.0	29
508	508.0	28
509	509.0	20
510	510.0	24
511	511.0	24
