Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	2048
Coarse Gain:	64
Fine Gain:	1.68
Upper Discriminator:	2175
Lower Discriminator:	93
Calibration Coefficients:Elapsed Real Time:	247.64
Elapsed Live Time:	127.89
Start Time:	February 18, 2016, 01:51:13
End Time:	February 18, 2016, 01:55:20
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	794	2012	20156	-15197	5	1144

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		1
13		0
14		1
15		1
16		1
17		1
18		0
19		2
20		3
21		5
22		82
23		525
24		1176
25		2581
26		33721
27		268078
28		475994
29		559629
30		663477
31		738401
32		658476
33		591537
34		494693
35		442732
36		381191
37		341536
38		282585
39		248972
40		210909
41		185398
42		151473
43		133768
44		109994
45		97049
46		78861
47		68043
48		56808
49		48869
50		39309
51		33425
52		27920
53		24264
54		19592
55		16676
56		13860
57		12049
58		9860
59		8550
60		7035
61		6309
62		5321
63		4739
64		4170
65		3799
66		3188
67		3062
68		2774
69		2594
70		2291
71		2163
72		2027
73		1994
74		1799
75		1795
76		1692
77		1709
78		1623
79		1558
80		1422
81		1482
82		1350
83		1362
84		1317
85		1385
86		1226
87		1251
88		1234
89		1272
90		1135
91		1171
92		1139
93		1070
94		1051
95		1072
96		1081
97		1026
98		962
99		980
100		991
101		1005
102		944
103		948
104		952
105		938
106		881
107		930
108		899
109		836
110		890
111		835
112		851
113		774
114		797
115		753
116		783
117		766
118		714
119		764
120		767
121		736
122		688
123		667
124		696
125		746
126		646
127		635
128		723
129		698
130		707
131		625
132		653
133		662
134		608
135		586
136		595
137		667
138		562
139		576
140		585
141		620
142		584
143		562
144		548
145		598
146		517
147		561
148		533
149		575
150		521
151		528
152		487
153		512
154		488
155		509
156		482
157		481
158		453
159		489
160		487
161		504
162		467
163		468
164		491
165		487
166		417
167		442
168		432
169		430
170		429
171		455
172		412
173		420
174		409
175		373
176		388
177		457
178		401
179		381
180		418
181		408
182		416
183		388
184		363
185		351
186		350
187		348
188		330
189		366
190		349
191		369
192		391
193		374
194		376
195		359
196		385
197		380
198		338
199		348
200		366
201		371
202		310
203		344
204		336
205		357
206		313
207		338
208		293
209		300
210		310
211		374
212		330
213		308
214		318
215		312
216		286
217		320
218		281
219		310
220		314
221		284
222		286
223		296
224		288
225		321
226		280
227		260
228		294
229		291
230		293
231		313
232		261
233		262
234		280
235		277
236		277
237		311
238		262
239		220
240		266
241		259
242		286
243		263
244		230
245		287
246		227
247		256
248		247
249		263
250		252
251		253
252		287
253		268
254		251
255		256
256		262
257		259
258		261
259		240
260		246
261		231
262		247
263		227
264		231
265		244
266		254
267		201
268		199
269		256
270		245
271		267
272		246
273		207
274		209
275		250
276		204
277		204
278		198
279		263
280		211
281		207
282		198
283		258
284		235
285		212
286		224
287		222
288		214
289		224
290		191
291		213
292		229
293		231
294		211
295		230
296		197
297		204
298		208
299		205
300		196
301		199
302		201
303		218
304		180
305		211
306		204
307		179
308		189
309		218
310		182
311		163
312		165
313		219
314		185
315		185
316		198
317		184
318		186
319		190
320		176
321		180
322		187
323		190
324		180
325		199
326		165
327		174
328		195
329		192
330		158
331		187
332		180
333		201
334		166
335		207
336		174
337		189
338		138
339		165
340		174
341		169
342		190
343		175
344		176
345		169
346		184
347		156
348		174
349		154
350		173
351		171
352		169
353		174
354		157
355		152
356		178
357		162
358		168
359		176
360		163
361		158
362		170
363		189
364		142
365		150
366		141
367		159
368		142
369		165
370		153
371		142
372		133
373		133
374		161
375		154
376		153
377		161
378		153
379		145
380		137
381		144
382		149
383		153
384		139
385		168
386		162
387		145
388		172
389		160
390		133
391		135
392		116
393		161
394		140
395		158
396		127
397		146
398		118
399		143
400		139
401		148
402		139
403		116
404		140
405		113
406		125
407		153
408		132
409		146
410		163
411		126
412		135
413		126
414		135
415		143
416		118
417		140
418		127
419		130
420		146
421		165
422		128
423		134
424		135
425		144
426		108
427		160
428		141
429		145
430		127
431		116
432		125
433		138
434		120
435		126
436		111
437		128
438		124
439		137
440		120
441		131
442		124
443		111
444		114
445		158
446		118
