Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	2048
Coarse Gain:	64
Fine Gain:	1.68
Upper Discriminator:	2175
Lower Discriminator:	93
Calibration Coefficients:Elapsed Real Time:	595.07
Elapsed Live Time:	583.79
Start Time:	February 18, 2016, 03:46:00
End Time:	February 18, 2016, 03:55:55
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	794	2012	40187	-21374	3	1145

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		1
84		0
85		2
86		10
87		17
88		65
89		536
90		1588
91		2469
92		2642
93		2650
94		2590
95		2472
96		2529
97		2502
98		2370
99		2281
100		2493
101		2336
102		2177
103		2210
104		2221
105		2241
106		2049
107		2074
108		1998
109		2032
110		1928
111		1913
112		2041
113		1956
114		1863
115		1813
116		1876
117		1805
118		1801
119		1741
120		1720
121		1702
122		1694
123		1700
124		1602
125		1699
126		1537
127		1559
128		1623
129		1572
130		1471
131		1419
132		1434
133		1494
134		1491
135		1425
136		1402
137		1442
138		1404
139		1388
140		1291
141		1307
142		1363
143		1324
144		1259
145		1262
146		1280
147		1241
148		1218
149		1174
150		1178
151		1163
152		1141
153		1225
154		1101
155		1167
156		1100
157		1092
158		1075
159		1054
160		999
161		1073
162		1039
163		1061
164		1067
165		998
166		981
167		1005
168		1033
169		996
170		987
171		942
172		913
173		954
174		962
175		910
176		931
177		973
178		854
179		852
180		876
181		929
182		846
183		823
184		840
185		824
186		838
187		776
188		817
189		865
190		791
191		769
192		752
193		799
194		815
195		782
196		749
197		792
198		763
199		721
200		756
201		778
202		742
203		776
204		693
205		735
206		706
207		668
208		782
209		701
210		685
211		664
212		664
213		707
214		707
215		717
216		664
217		649
218		643
219		676
220		662
221		642
222		634
223		670
224		646
225		646
226		668
227		588
228		655
229		647
230		606
231		591
232		634
233		627
234		584
235		628
236		583
237		541
238		552
239		569
240		538
241		556
242		560
243		564
244		613
245		534
246		544
247		586
248		563
249		542
250		558
251		513
252		515
253		518
254		548
255		484
256		544
257		520
258		500
259		500
260		520
261		541
262		516
263		499
264		474
265		511
266		498
267		535
268		472
269		520
270		463
271		493
272		472
273		491
274		490
275		503
276		466
277		531
278		519
279		447
280		482
281		486
282		453
283		487
284		446
285		470
286		443
287		424
288		452
289		461
290		447
291		424
292		427
293		448
294		467
295		443
296		423
297		406
298		426
299		469
300		408
301		413
302		439
303		407
304		422
305		408
306		408
307		423
308		392
309		412
310		404
311		395
312		421
313		428
314		427
315		407
316		380
317		368
318		396
319		400
320		416
321		446
322		345
323		377
324		396
325		401
326		369
327		382
328		377
329		396
330		371
331		398
332		405
333		352
334		354
335		370
336		330
337		367
338		378
339		368
340		387
341		379
342		334
343		347
344		351
345		391
346		375
347		368
348		378
349		340
350		354
351		330
352		366
353		363
354		348
355		352
356		355
357		367
358		353
359		380
360		323
361		365
362		340
363		324
364		331
365		355
366		328
367		341
368		331
369		334
370		351
371		315
372		336
373		329
374		328
375		356
376		320
377		378
378		324
379		331
380		313
381		353
382		313
383		289
384		339
385		332
386		308
387		330
388		316
389		315
390		284
391		318
392		302
393		336
394		301
395		306
396		280
397		278
398		299
399		305
400		317
401		311
402		273
403		288
404		297
405		300
406		289
407		283
408		297
409		293
410		304
411		291
412		300
413		298
414		263
415		300
416		270
417		306
418		259
419		290
420		274
421		299
422		318
423		254
424		317
425		334
426		285
427		293
428		252
429		296
430		225
431		262
432		300
433		285
434		223
435		274
436		269
437		272
438		268
439		276
440		289
441		300
442		271
443		243
444		246
445		283
