Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	2048
Coarse Gain:	64
Fine Gain:	1.68
Upper Discriminator:	2175
Lower Discriminator:	93
Calibration Coefficients:Elapsed Real Time:	610.02
Elapsed Live Time:	597.33
Start Time:	February 18, 2016, 04:24:38
End Time:	February 18, 2016, 04:34:47
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	794	2012	32687	-24606	2	1133

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		1
82		0
83		0
84		0
85		2
86		4
87		14
88		85
89		515
90		1494
91		2339
92		2545
93		2599
94		2449
95		2416
96		2472
97		2352
98		2280
99		2267
100		2183
101		2208
102		2066
103		2060
104		2071
105		2147
106		2005
107		2039
108		1943
109		1938
110		1803
111		1857
112		1818
113		1917
114		1821
115		1718
116		1788
117		1705
118		1675
119		1615
120		1631
121		1630
122		1552
123		1490
124		1519
125		1613
126		1510
127		1423
128		1430
129		1474
130		1423
131		1369
132		1399
133		1371
134		1302
135		1403
136		1251
137		1328
138		1317
139		1323
140		1204
141		1251
142		1216
143		1183
144		1248
145		1180
146		1138
147		1178
148		1148
149		1148
150		1117
151		1128
152		1067
153		1064
154		1041
155		1001
156		1010
157		1034
158		948
159		1017
160		994
161		999
162		1004
163		926
164		960
165		981
166		886
167		912
168		936
169		900
170		852
171		866
172		847
173		833
174		858
175		898
176		835
177		835
178		831
179		764
180		792
181		746
182		819
183		821
184		810
185		739
186		730
187		756
188		709
189		721
190		787
191		699
192		729
193		741
194		686
195		691
196		735
197		715
198		661
199		665
200		659
201		693
202		675
203		672
204		646
205		647
206		626
207		648
208		642
209		645
210		614
211		593
212		634
213		596
214		589
215		564
216		591
217		551
218		594
219		558
220		596
221		568
222		577
223		538
224		531
225		548
226		603
227		557
228		533
229		561
230		523
231		522
232		519
233		534
234		524
235		516
236		524
237		510
238		514
239		508
240		494
241		510
242		527
243		500
244		528
245		508
246		457
247		434
248		483
249		477
250		453
251		511
252		450
253		501
254		472
255		433
256		430
257		455
258		457
259		471
260		428
261		427
262		462
263		466
264		433
265		456
266		425
267		463
268		405
269		439
270		437
271		396
272		436
273		423
274		414
275		421
276		373
277		390
278		435
279		400
280		410
281		447
282		390
283		427
284		387
285		390
286		382
287		406
288		416
289		404
290		392
291		366
292		394
293		388
294		360
295		407
296		353
297		336
298		363
299		392
300		394
301		365
302		319
303		363
304		354
305		345
306		355
307		321
308		383
309		379
310		377
311		348
312		306
313		366
314		340
315		357
316		358
317		334
318		317
319		372
320		337
321		303
322		295
323		323
324		354
325		347
326		357
327		300
328		337
329		345
330		329
331		341
332		306
333		336
334		316
335		308
336		310
337		317
338		328
339		323
340		341
341		324
342		309
343		302
344		331
345		309
346		291
347		317
348		297
349		290
350		330
351		292
352		308
353		286
354		287
355		273
356		291
357		317
358		301
359		306
360		291
361		288
362		283
363		329
364		242
365		295
366		293
367		271
368		321
369		286
370		308
371		246
372		283
373		275
374		270
375		276
376		264
377		276
378		272
379		268
380		306
381		284
382		291
383		274
384		279
385		292
386		282
387		242
388		260
389		293
390		252
391		251
392		284
393		289
394		275
395		292
396		256
397		275
398		259
399		252
400		251
401		283
402		287
403		257
404		229
405		269
406		244
407		237
408		241
409		274
410		248
411		264
412		248
413		263
414		240
415		260
416		226
417		264
418		239
419		239
420		270
421		250
422		254
423		247
424		261
425		250
426		228
427		251
428		281
429		266
430		215
431		248
432		220
433		233
434		238
435		233
436		228
437		209
438		203
439		223
440		234
441		235
442		200
443		222
444		204
445		213
446		221
447		215
