Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	2048
Coarse Gain:	64
Fine Gain:	1.68
Upper Discriminator:	2175
Lower Discriminator:	93
Calibration Coefficients:Elapsed Real Time:	714.65
Elapsed Live Time:	701.49
Start Time:	February 18, 2016, 02:23:19
End Time:	February 18, 2016, 02:23:51
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	794	2012	29061	-21524	2	1138

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		1
85		0
86		6
87		12
88		32
89		333
90		1255
91		2429
92		2897
93		2984
94		2815
95		2824
96		2817
97		2691
98		2658
99		2497
100		2477
101		2522
102		2409
103		2441
104		2354
105		2336
106		2232
107		2215
108		2227
109		2215
110		2142
111		1991
112		2193
113		2078
114		1939
115		1964
116		1952
117		1928
118		1911
119		1835
120		1870
121		1821
122		1863
123		1727
124		1674
125		1718
126		1652
127		1635
128		1627
129		1601
130		1577
131		1558
132		1535
133		1552
134		1527
135		1459
136		1390
137		1468
138		1383
139		1397
140		1335
141		1342
142		1329
143		1287
144		1390
145		1338
146		1286
147		1251
148		1156
149		1264
150		1262
151		1146
152		1143
153		1162
154		1054
155		1138
156		1019
157		1081
158		1076
159		1041
160		1052
161		1131
162		1040
163		1018
164		1063
165		1061
166		1010
167		952
168		929
169		971
170		959
171		960
172		881
173		949
174		850
175		891
176		849
177		896
178		854
179		838
180		883
181		860
182		794
183		843
184		786
185		869
186		787
187		819
188		771
189		784
190		744
191		774
192		783
193		798
194		814
195		726
196		713
197		705
198		709
199		740
200		667
201		759
202		669
203		729
204		695
205		743
206		646
207		675
208		616
209		714
210		682
211		679
212		650
213		687
214		640
215		645
216		669
217		630
218		620
219		655
220		604
221		630
222		563
223		580
224		607
225		598
226		571
227		558
228		585
229		591
230		575
231		578
232		577
233		562
234		570
235		544
236		517
237		528
238		529
239		524
240		562
241		570
242		501
243		477
244		510
245		568
246		501
247		525
248		501
249		520
250		480
251		509
252		475
253		503
254		464
255		489
256		507
257		470
258		466
259		443
260		466
261		503
262		413
263		477
264		449
265		480
266		432
267		436
268		391
269		459
270		450
271		454
272		435
273		430
274		431
275		442
276		406
277		471
278		407
279		442
280		401
281		421
282		381
283		438
284		413
285		426
286		363
287		402
288		385
289		400
290		395
291		406
292		391
293		409
294		432
295		392
296		389
297		386
298		428
299		361
300		356
301		364
302		405
303		364
304		356
305		375
306		359
307		398
308		401
309		364
310		361
311		378
312		371
313		381
314		337
315		366
316		338
317		382
318		372
319		330
320		379
321		357
322		329
323		328
324		378
325		367
326		319
327		318
328		332
329		340
330		337
331		363
332		323
333		339
334		313
335		330
336		345
337		345
338		315
339		333
340		326
341		323
342		306
343		352
344		341
345		361
346		333
347		298
348		309
349		306
350		319
351		287
352		301
353		312
354		300
355		304
356		303
357		304
358		317
359		305
360		321
361		291
362		302
363		304
364		274
365		289
366		298
367		284
368		294
369		293
370		316
371		293
372		297
373		336
374		266
375		257
376		263
377		316
378		297
379		312
380		284
381		282
382		278
383		277
384		277
385		280
386		261
387		249
388		289
389		260
390		269
391		296
392		279
393		262
394		288
395		289
396		231
397		265
398		249
399		268
400		295
401		248
402		230
403		269
404		254
405		243
406		252
407		271
408		242
409		251
410		270
411		261
412		249
413		263
414		259
415		241
416		242
417		265
418		247
419		248
420		248
421		259
422		249
423		219
424		256
425		258
426		216
427		238
428		250
429		262
430		235
431		246
432		238
433		248
434		237
435		244
436		262
437		221
438		224
439		248
440		220
441		222
442		181
443		243
444		227
445		220
