Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	2048
Coarse Gain:	64
Fine Gain:	1.68
Upper Discriminator:	2175
Lower Discriminator:	33
Calibration Coefficients:Elapsed Real Time:	44.3
Elapsed Live Time:	22.79
Start Time:	February 18, 2016, 01:46:48
End Time:	February 18, 2016, 01:47:32
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		1
22		2
23		25
24		108
25		177
26		977
27		18078
28		64484
29		91068
30		97381
31		122988
32		119131
33		109036
34		91096
35		83339
36		70966
37		64868
38		53305
39		47382
40		40633
41		36153
42		29810
43		26656
44		22428
45		19744
46		16290
47		14595
48		12196
49		10912
50		8981
51		7998
52		6925
53		6141
54		5085
55		4798
56		4021
57		3703
58		3191
59		3048
60		2713
61		2485
62		2325
63		2180
64		2076
65		1990
66		1873
67		1789
68		1795
69		1734
70		1584
71		1548
72		1587
73		1554
74		1455
75		1484
76		1415
77		1519
78		1411
79		1374
80		1455
81		1402
82		1349
83		1388
84		1380
85		1403
86		1344
87		1339
88		1331
89		1407
90		1319
91		1377
92		1269
93		1383
94		1359
95		1324
96		1257
97		1329
98		1274
99		1277
100		1295
101		1278
102		1249
103		1246
104		1232
105		1258
106		1226
107		1237
108		1243
109		1262
110		1265
111		1212
112		1262
113		1222
114		1197
115		1247
116		1233
117		1284
118		1223
119		1237
120		1159
121		1182
122		1151
123		1123
124		1148
125		1210
126		1046
127		1059
128		1079
129		1106
130		1020
131		986
132		1057
133		979
134		936
135		967
136		935
137		978
138		904
139		924
140		862
141		901
142		853
143		821
144		812
145		833
146		731
147		788
148		706
149		745
150		693
151		704
152		691
153		680
154		610
155		648
156		579
157		613
158		589
159		535
160		528
161		540
162		533
163		493
164		487
165		483
166		450
167		477
168		460
169		445
170		410
171		451
172		419
173		408
174		372
175		407
176		362
177		392
178		349
179		379
180		327
181		328
182		317
183		309
184		331
185		289
186		305
187		293
188		228
189		294
190		275
191		237
192		236
193		231
194		240
195		235
196		231
197		239
198		213
199		223
200		213
201		220
202		190
203		210
204		221
205		191
206		207
207		205
208		211
209		186
210		213
211		185
212		180
213		158
214		175
215		161
216		179
217		164
218		175
219		167
220		163
221		169
222		145
223		162
224		139
225		152
226		138
227		146
228		156
229		163
230		145
231		152
232		133
233		145
234		142
235		140
236		157
237		160
238		128
239		161
240		129
241		134
242		145
243		133
244		140
245		136
246		123
247		150
248		157
249		132
250		130
251		161
252		137
253		147
254		146
255		128
256		156
257		148
258		115
259		129
260		124
261		130
262		125
263		129
264		126
265		141
266		130
267		122
268		132
269		118
270		124
271		144
272		128
273		123
274		121
275		123
276		117
277		142
278		134
279		131
280		112
281		134
282		113
283		137
284		122
285		110
286		125
287		136
288		136
289		125
290		129
291		142
292		140
293		144
294		148
295		126
296		120
297		140
298		117
299		162
300		131
301		117
302		128
303		127
304		142
305		138
306		148
307		157
308		124
309		149
310		143
311		147
312		142
313		135
314		128
315		175
316		142
317		145
318		145
319		122
320		160
321		151
322		121
323		139
324		153
325		156
326		132
327		177
328		160
329		151
330		149
331		159
332		136
333		156
334		160
335		150
336		147
337		148
338		160
339		168
340		146
341		170
342		163
343		145
344		152
345		158
346		162
347		158
348		149
349		161
350		139
351		144
352		144
353		162
354		159
355		150
356		163
357		166
358		142
359		171
360		179
361		180
362		164
363		160
364		171
365		166
366		151
367		166
368		196
369		198
370		145
371		172
372		172
373		181
374		168
375		179
376		165
377		183
378		184
379		179
380		158
381		180
382		160
383		163
384		177
385		177
386		188
387		187
388		178
389		166
390		203
391		191
392		156
393		182
394		173
395		150
396		161
397		165
398		179
399		155
400		174
401		169
402		193
403		172
404		172
405		169
406		167
407		145
408		175
409		176
410		153
411		166
412		157
413		139
414		160
415		159
416		163
417		140
418		166
419		161
420		172
421		181
422		143
423		153
424		149
425		131
426		165
427		161
428		153
429		132
430		139
431		141
432		139
433		138
434		136
435		131
436		148
437		153
438		100
439		126
440		124
441		138
442		125
443		138
