Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	2048
Coarse Gain:	64
Fine Gain:	1.68
Upper Discriminator:	2175
Lower Discriminator:	93
Calibration Coefficients:Elapsed Real Time:	474.32
Elapsed Live Time:	465.21
Start Time:	February 18, 2016, 05:20:35
End Time:	February 18, 2016, 05:28:29
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	794	2012	29131	-20852	4	1138

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		1
86		5
87		11
88		67
89		396
90		1320
91		2012
92		2143
93		2125
94		2015
95		1973
96		2113
97		2033
98		1928
99		1956
100		1906
101		1856
102		1845
103		1896
104		1733
105		1832
106		1688
107		1707
108		1708
109		1686
110		1569
111		1565
112		1600
113		1503
114		1554
115		1513
116		1440
117		1499
118		1451
119		1483
120		1394
121		1427
122		1302
123		1333
124		1291
125		1392
126		1255
127		1195
128		1282
129		1275
130		1150
131		1216
132		1285
133		1171
134		1140
135		1213
136		1172
137		1157
138		1039
139		1092
140		1105
141		1063
142		1009
143		1022
144		1045
145		1049
146		1015
147		992
148		978
149		1003
150		956
151		868
152		954
153		884
154		864
155		916
156		864
157		888
158		805
159		848
160		888
161		858
162		841
163		826
164		767
165		893
166		740
167		826
168		777
169		792
170		858
171		769
172		778
173		765
174		703
175		748
176		722
177		729
178		701
179		730
180		691
181		662
182		683
183		692
184		673
185		637
186		707
187		631
188		655
189		631
190		630
191		609
192		644
193		616
194		608
195		597
196		624
197		620
198		614
199		549
200		522
201		612
202		550
203		587
204		552
205		606
206		617
207		521
208		574
209		549
210		535
211		483
212		514
213		550
214		528
215		511
216		528
217		498
218		504
219		496
220		498
221		514
222		493
223		471
224		515
225		502
226		471
227		487
228		467
229		499
230		486
231		451
232		426
233		485
234		437
235		454
236		425
237		452
238		431
239		458
240		427
241		455
242		459
243		384
244		448
245		417
246		413
247		422
248		420
249		437
250		431
251		399
252		380
253		426
254		402
255		370
256		381
257		371
258		386
259		389
260		408
261		385
262		373
263		365
264		378
265		356
266		396
267		390
268		341
269		343
270		387
271		355
272		363
273		419
274		335
275		364
276		378
277		377
278		340
279		371
280		353
281		357
282		376
283		380
284		338
285		337
286		348
287		348
288		329
289		349
290		320
291		301
292		339
293		365
294		352
295		314
296		312
297		332
298		314
299		333
300		316
301		318
302		330
303		297
304		290
305		312
306		343
307		328
308		287
309		326
310		303
311		327
312		301
313		295
314		302
315		303
316		294
317		328
318		292
319		261
320		301
321		294
322		322
323		245
324		320
325		318
326		291
327		297
328		295
329		286
330		271
331		267
332		263
333		293
334		304
335		280
336		284
337		258
338		267
339		279
340		296
341		299
342		250
343		274
344		275
345		266
346		304
347		291
348		247
349		257
350		257
351		230
352		272
353		261
354		266
355		249
356		266
357		293
358		243
359		259
360		247
361		231
362		252
363		253
364		267
365		234
366		230
367		241
368		231
369		243
370		288
371		270
372		244
373		257
374		274
375		285
376		256
377		265
378		244
379		235
380		244
381		239
382		242
383		235
384		239
385		242
386		226
387		233
388		234
389		230
390		228
391		257
392		247
393		266
394		219
395		239
396		219
397		237
398		234
399		226
400		210
401		209
402		225
403		214
404		194
405		234
406		222
407		242
408		233
409		210
410		212
411		223
412		204
413		219
414		197
415		244
416		239
417		206
418		230
419		223
420		227
421		203
422		217
423		204
424		210
425		225
426		203
427		200
428		229
429		225
430		180
431		187
432		216
433		201
434		201
435		198
436		202
437		236
438		190
439		202
440		220
441		195
442		164
443		225
444		184
445		189
446		217
447		196
448		206
449		211
450		202
