Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	2048
Coarse Gain:	64
Fine Gain:	1.68
Upper Discriminator:	2175
Lower Discriminator:	93
Calibration Coefficients:Elapsed Real Time:	475.43
Elapsed Live Time:	466.68
Start Time:	February 18, 2016, 05:29:45
End Time:	February 18, 2016, 05:37:40
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	794	2012	12708	-14721	3	1136

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		5
87		10
88		47
89		273
90		944
91		1593
92		1749
93		1735
94		1668
95		1568
96		1625
97		1578
98		1558
99		1549
100		1544
101		1478
102		1422
103		1449
104		1270
105		1359
106		1275
107		1265
108		1230
109		1262
110		1169
111		1281
112		1217
113		1119
114		1157
115		1099
116		1138
117		1114
118		1100
119		1094
120		1027
121		1041
122		996
123		1056
124		945
125		934
126		971
127		933
128		977
129		871
130		887
131		858
132		875
133		827
134		736
135		840
136		833
137		797
138		805
139		807
140		770
141		768
142		742
143		718
144		664
145		718
146		702
147		740
148		710
149		658
150		685
151		670
152		584
153		573
154		665
155		640
156		606
157		601
158		590
159		596
160		525
161		561
162		563
163		531
164		557
165		588
166		518
167		520
168		492
169		563
170		488
171		510
172		472
173		513
174		518
175		484
176		482
177		494
178		490
179		476
180		458
181		463
182		451
183		432
184		440
185		431
186		400
187		390
188		426
189		403
190		399
191		398
192		396
193		450
194		434
195		383
196		408
197		363
198		380
199		373
200		363
201		371
202		396
203		330
204		337
205		409
206		357
207		352
208		355
209		353
210		325
211		301
212		342
213		339
214		331
215		334
216		290
217		325
218		321
219		342
220		361
221		316
222		332
223		311
224		285
225		306
226		309
227		265
228		332
229		291
230		274
231		330
232		274
233		250
234		273
235		311
236		255
237		306
238		247
239		290
240		259
241		275
242		265
243		243
244		245
245		242
246		250
247		243
248		240
249		262
250		253
251		258
252		256
253		248
254		251
255		269
256		248
257		227
258		222
259		251
260		233
261		235
262		218
263		246
264		247
265		263
266		217
267		250
268		210
269		214
270		222
271		228
272		218
273		236
274		211
275		220
276		233
277		227
278		218
279		191
280		213
281		210
282		226
283		204
284		201
285		205
286		193
287		179
288		184
289		203
290		182
291		181
292		201
293		193
294		201
295		202
296		190
297		189
298		190
299		187
300		191
301		188
302		185
303		196
304		188
305		188
306		172
307		192
308		217
309		191
310		172
311		158
312		182
313		184
314		170
315		155
316		154
317		161
318		165
319		196
320		181
321		176
322		147
323		179
324		144
325		163
326		175
327		144
328		193
329		171
330		167
331		174
332		168
333		182
334		156
335		168
336		153
337		165
338		162
339		165
340		157
341		149
342		148
343		165
344		159
345		170
346		156
347		170
348		138
349		148
350		160
351		146
352		147
353		142
354		166
355		147
356		159
357		167
358		148
359		167
360		159
361		180
362		148
363		150
364		122
365		138
366		156
367		131
368		176
369		150
370		138
371		136
372		157
373		168
374		144
375		167
376		138
377		133
378		149
379		143
380		122
381		149
382		145
383		136
384		126
385		144
386		128
387		115
388		141
389		135
390		128
391		141
392		134
393		142
394		154
395		126
396		121
397		120
398		136
399		114
400		141
401		119
402		110
403		128
404		138
405		145
406		119
407		121
408		126
409		152
410		120
411		127
412		107
413		135
414		120
415		113
416		137
417		135
418		116
419		108
420		137
421		109
422		110
423		133
424		130
425		119
426		128
427		123
428		100
429		99
430		119
431		136
432		127
433		120
434		124
435		100
436		131
437		125
438		100
439		127
440		122
441		129
442		111
443		120
444		129
445		125
446		91
447		123
448		127
449		111
450		117
451		100
452		97
453		101
454		114
455		101
456		92
