Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	24
Upper Discriminator:	1733
Lower Discriminator:	-2
Calibration Coefficients:	-26.31868131868123	1.6791208791208792
Calibration Channels:	320	775
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	546.44
Elapsed Live Time:	447.12
Start Time:	February 16, 2016, 02:29:19
End Time:	February 16, 2016, 02:38:25
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

3	1	3	5012	1123	0	-22

Channel Data:
Channel	Energy	Counts
0	-26.31868131868123	119
1	-24.63956043956035	285
2	-22.96043956043947	551
3	-21.28131868131859	4176
4	-19.60219780219771	2100
5	-17.923076923076835	739
6	-16.243956043955954	639
7	-14.564835164835074	817
8	-12.885714285714196	2227
9	-11.206593406593317	3408
10	-9.527472527472437	4072
11	-7.8483516483515565	4773
12	-6.16923076923068	5572
13	-4.4901098901097996	6663
14	-2.8109890109889193	7526
15	-1.1318681318680426	8374
16	0.5472527472528377	9267
17	2.226373626373718	9341
18	3.9054945054945946	9005
19	5.584615384615475	8716
20	7.263736263736355	8267
21	8.942857142857235	7783
22	10.621978021978116	7157
23	12.301098901098989	6876
24	13.980219780219869	6778
25	15.65934065934075	6602
26	17.33846153846163	6833
27	19.01758241758251	7046
28	20.69670329670339	7456
29	22.375824175824263	7810
30	24.054945054945144	8224
31	25.734065934066024	8477
32	27.413186813186904	8941
33	29.092307692307784	9594
34	30.771428571428665	9790
35	32.450549450549545	10379
36	34.12967032967042	11194
37	35.8087912087913	11340
38	37.48791208791218	12074
39	39.16703296703305	12519
40	40.84615384615394	13176
41	42.52527472527481	13342
42	44.2043956043957	13649
43	45.88351648351657	14233
44	47.56263736263746	14415
45	49.24175824175833	14601
46	50.920879120879206	14569
47	52.600000000000094	14744
48	54.27912087912097	14805
49	55.958241758241854	14981
50	57.63736263736273	14822
51	59.316483516483615	14566
52	60.99560439560449	14705
53	62.67472527472536	14402
54	64.35384615384625	14321
55	66.03296703296712	14070
56	67.71208791208801	13973
57	69.39120879120888	13742
58	71.07032967032976	13548
59	72.74945054945064	13268
60	74.42857142857152	13103
61	76.1076923076924	13127
62	77.78681318681328	12842
63	79.46593406593416	12630
64	81.14505494505504	12856
65	82.82417582417591	12438
66	84.5032967032968	12453
67	86.18241758241767	12108
68	87.86153846153856	12008
69	89.54065934065943	12021
70	91.21978021978032	12126
71	92.89890109890119	11871
72	94.57802197802206	11591
73	96.25714285714295	11749
74	97.93626373626383	11483
75	99.61538461538471	11521
76	101.29450549450559	11497
77	102.97362637362647	11311
78	104.65274725274733	11136
79	106.33186813186822	11072
80	108.0109890109891	11123
81	109.69010989011	10951
82	111.36923076923085	10631
83	113.04835164835174	10788
84	114.72747252747263	10681
85	116.40659340659349	10565
86	118.08571428571437	10483
87	119.76483516483526	10430
88	121.44395604395615	10129
89	123.12307692307701	10108
