Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	24
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	146.49
Elapsed Live Time:	107.95
Start Time:	February 16, 2016, 03:10:29
End Time:	February 16, 2016, 03:13:21
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		49
1		178
2		429
3		3098
4		2699
5		635
6		569
7		667
8		1264
9		1687
10		1801
11		2079
12		2250
13		2444
14		2561
15		2729
16		2811
17		2983
18		2960
19		2841
20		2809
21		3006
22		3030
23		3141
24		3274
25		3410
26		3590
27		3887
28		4115
29		4305
30		4430
31		4796
32		4883
33		5380
34		5521
35		5882
36		6073
37		6481
38		6903
39		7152
40		7398
41		7989
42		7962
43		8263
44		8480
45		8644
46		8954
47		8936
48		8883
49		9135
50		9220
51		9154
52		9153
53		8964
54		8811
55		8860
56		8874
57		8754
58		8859
59		8791
60		8588
61		8780
62		8712
63		8365
64		8498
65		8612
66		8506
67		8432
68		8553
69		8517
70		8505
71		8390
72		8338
73		8281
74		8208
75		8181
76		8152
77		8096
78		8150
79		8003
80		8013
81		7987
82		7815
83		7984
84		7653
85		7679
86		7905
87		7459
88		7685
89		7286
90		7438
91		7561
92		7286
93		7172
94		7112
95		7078
96		7000
97		6843
98		6851
99		6823
100		6733
101		6632
102		6436
103		6533
104		6545
105		6488
106		6434
107		6437
108		6362
109		6277
110		6158
111		6115
112		5995
113		6065
114		5969
115		5929
116		5964
117		5864
118		5903
119		5663
120		5584
121		5748
122		5738
123		5513
124		5360
125		5575
126		5485
127		5308
128		5425
129		5256
130		5244
131		5251
132		5164
133		5167
134		5077
135		5040
136		5022
137		5067
138		5009
139		5023
140		4917
141		4900
142		4816
143		4820
144		4874
145		4737
146		4762
147		4731
148		4798
149		4642
150		4555
151		4566
152		4480
153		4345
154		4540
155		4468
156		4526
157		4354
158		4182
159		4253
160		4211
161		4214
162		4062
163		4132
164		4197
165		4072
166		3972
167		3987
168		3920
169		3822
170		3962
171		3804
172		3799
173		3913
174		3815
175		3727
176		3683
177		3695
178		3710
179		3654
180		3697
181		3665
182		3540
183		3570
184		3525
185		3574
186		3562
187		3422
188		3468
189		3523
190		3361
191		3451
192		3195
193		3249
194		3330
195		3343
196		3292
197		3338
198		3216
199		3237
200		3255
201		3240
202		3128
203		3088
204		3023
205		3138
206		3096
207		3095
208		3078
209		3094
210		3050
211		3032
212		2925
213		2988
214		2954
215		3001
216		2943
217		2930
218		2896
219		2796
220		2905
221		2951
222		2872
223		2860
224		2825
225		2775
226		2683
227		2763
228		2744
229		2761
230		2781
231		2677
232		2681
233		2625
234		2724
235		2683
236		2576
237		2634
238		2574
239		2563
240		2477
241		2501
242		2498
243		2469
244		2458
245		2530
246		2392
247		2449
248		2444
249		2393
250		2466
251		2476
252		2375
253		2313
254		2385
255		2292
256		2321
257		2366
258		2316
259		2290
260		2351
261		2345
262		2240
263		2218
264		2190
265		2270
266		2304
267		2239
268		2227
269		2225
270		2113
271		2211
272		2157
273		2154
274		2185
275		2164
276		2169
277		2172
278		2165
279		2164
280		2021
281		2190
282		2158
283		2114
284		2114
285		2099
286		2192
287		2096
288		2202
289		2106
290		2064
291		2155
292		2194
293		2150
294		2192
295		2165
296		2125
297		2194
298		2207
299		2101
300		2198
301		2199
302		2181
303		2243
304		2226
305		2257
306		2171
