Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	0
Upper Discriminator:	3560
Lower Discriminator:	164
Calibration Coefficients:	1.666666666666515	3.3955555555555557
Calibration Channels:	150	375
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	350.1
Elapsed Live Time:	336.23
Start Time:	February 18, 2016, 02:57:53
End Time:	February 18, 2016, 03:03:43
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	150	151	6221	62	0	512

Channel Data:
Channel	Energy	Counts
0	1.666666666666515	0
1	5.06222222222207	0
2	8.457777777777626	0
3	11.853333333333183	0
4	15.248888888888738	0
5	18.644444444444293	0
6	22.03999999999985	0
7	25.435555555555403	0
8	28.83111111111096	0
9	32.22666666666652	0
10	35.62222222222207	1
11	39.017777777777624	0
12	42.413333333333185	0
13	45.80888888888874	1
14	49.20444444444429	2
15	52.59999999999985	2
16	55.995555555555406	6
17	59.39111111111096	1
18	62.78666666666652	9
19	66.18222222222207	8
20	69.57777777777763	8
21	72.97333333333319	15
22	76.36888888888873	3
23	79.7644444444443	6
24	83.15999999999985	5
25	86.5555555555554	8
26	89.95111111111096	7
27	93.34666666666652	2
28	96.74222222222207	5
29	100.13777777777763	5
30	103.53333333333319	5
31	106.92888888888874	6
32	110.3244444444443	7
33	113.71999999999986	9
34	117.1155555555554	7
35	120.51111111111096	6
36	123.90666666666652	9
37	127.30222222222207	10
38	130.69777777777762	11
39	134.0933333333332	12
40	137.48888888888874	13
41	140.88444444444428	15
42	144.27999999999986	501
43	147.6755555555554	13144
44	151.07111111111095	13971
45	154.46666666666653	13594
46	157.86222222222207	13231
47	161.25777777777762	12693
48	164.6533333333332	12295
49	168.04888888888874	12120
50	171.4444444444443	11819
51	174.83999999999986	11599
52	178.2355555555554	11585
53	181.63111111111095	11367
54	185.02666666666653	11166
55	188.42222222222208	11171
56	191.81777777777762	10912
57	195.2133333333332	10706
58	198.60888888888874	10483
59	202.0044444444443	10107
60	205.39999999999986	9932
61	208.7955555555554	9748
62	212.19111111111096	9206
63	215.58666666666653	9057
64	218.98222222222208	8979
65	222.37777777777762	8638
66	225.7733333333332	8361
67	229.16888888888874	8121
68	232.5644444444443	7978
69	235.95999999999987	7811
70	239.3555555555554	7592
71	242.75111111111096	7395
72	246.14666666666653	7134
73	249.54222222222208	6920
74	252.93777777777763	6846
75	256.3333333333332	6635
76	259.7288888888887	6432
77	263.1244444444443	6292
78	266.51999999999987	6177
79	269.9155555555554	5993
80	273.31111111111096	5773
81	276.70666666666654	5838
82	280.10222222222205	5773
83	283.4977777777776	5604
84	286.8933333333332	5327
