Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	0
Upper Discriminator:	1048
Lower Discriminator:	48
Calibration Coefficients:Elapsed Real Time:	115.39
Elapsed Live Time:	103.69
Start Time:	February 18, 2016, 02:25:27
End Time:	February 18, 2016, 02:27:23
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		1
11		0
12		0
13		0
14		3
15		1
16		1
17		1
18		3
19		0
20		1
21		1
22		0
23		3
24		3
25		2
26		3
27		3
28		5
29		9
30		7
31		6
32		7
33		8
34		9
35		15
36		16
37		16
38		13
39		23
40		12
41		14
42		414
43		5602
44		6223
45		6137
46		6067
47		5959
48		6066
49		5908
50		5992
51		5901
52		5898
53		6122
54		5931
55		5828
56		5773
57		5656
58		5695
59		5429
60		5405
61		5241
62		5334
63		5024
64		5037
65		5016
66		4968
67		4842
68		4775
69		4762
70		4654
71		4646
72		4532
73		4381
74		4417
75		4319
76		4163
77		4162
78		4199
79		4122
80		4166
81		3941
82		3936
83		3979
84		3911
85		3947
86		3941
87		3903
88		3813
89		3826
90		3895
91		3804
92		3641
93		3723
94		3699
95		3509
96		3472
97		3389
98		3394
99		3253
100		3190
101		2997
102		2955
103		2846
104		2852
105		2711
106		2698
107		2724
108		2519
109		2446
110		2464
111		2424
112		2413
113		2431
114		2399
115		2284
116		2254
117		2306
118		2257
119		2309
120		2298
121		2361
122		2455
123		2364
124		2356
125		2359
126		2444
127		2489
128		2644
129		2730
130		3032
131		3252
132		3545
133		3992
134		4348
135		4906
136		5548
137		6314
138		7281
139		8146
140		9059
141		10189
142		11052
143		12072
144		13210
145		14119
146		14870
147		15629
148		16296
149		16708
150		16799
151		16743
152		16703
153		16364
154		15789
155		15010
156		14155
157		13080
158		12213
159		11126
160		9933
161		8808
162		7696
163		6715
164		5777
165		4911
166		4318
167		3648
168		3053
169		2705
170		2266
171		1963
172		1780
173		1610
174		1482
175		1326
176		1260
177		1175
178		1157
179		1124
180		1125
181		1120
182		1067
183		1065
184		1031
185		946
186		1036
187		1015
188		973
189		1016
190		962
191		966
192		1033
193		976
194		983
195		1006
196		991
197		981
198		943
199		961
200		913
201		924
202		878
203		884
204		872
205		909
206		909
207		879
208		904
209		930
210		902
211		935
212		924
213		891
214		848
215		882
216		884
217		852
218		870
219		854
220		831
221		820
222		874
223		803
224		815
225		807
226		816
227		866
228		813
229		816
230		810
231		836
232		824
233		827
234		855
235		803
236		759
237		827
238		814
239		818
240		753
241		773
242		763
243		805
244		800
245		788
246		800
247		781
248		814
249		762
250		713
251		796
252		772
253		794
254		765
255		763
256		795
257		724
258		766
259		768
260		763
261		760
262		797
263		740
264		800
265		741
266		771
267		753
268		785
269		727
270		722
271		709
272		743
273		735
274		764
275		742
276		720
277		761
278		703
279		699
280		725
281		743
282		744
283		703
284		731
285		725
286		766
287		755
288		771
289		728
290		702
291		708
292		767
293		730
294		717
295		694
296		746
297		675
298		770
299		752
300		713
301		693
302		680
303		674
304		679
305		618
306		673
307		607
308		607
309		639
310		646
311		608
312		557
313		562
314		584
315		568
316		588
317		568
318		529
319		513
320		504
321		514
322		489
323		453
324		517
325		460
326		459
327		445
328		445
329		507
330		518
331		456
332		467
333		462
334		492
335		499
336		572
337		559
338		519
339		572
340		654
341		665
342		672
343		726
344		736
345		789
346		815
347		918
348		936
349		1070
350		1092
351		1197
352		1250
353		1322
354		1370
355		1545
356		1552
357		1672
358		1743
359		1862
360		1873
361		2083
362		2022
363		2205
364		2272
365		2296
366		2390
367		2550
368		2604
369		2524
370		2657
371		2707
372		2669
373		2743
374		2800
375		2798
376		2794
377		2749
378		2659
379		2669
380		2667
381		2635
382		2549
383		2471
384		2421
385		2362
386		2347
387		2151
388		2020
389		1990
390		1884
391		1701
392		1691
393		1596
394		1527
395		1405
396		1391
397		1188
398		1122
399		1004
400		954
401		884
402		830
403		826
404		709
405		671
406		636
407		551
408		526
409		463
410		452
411		448
412		347
413		336
414		309
415		295
416		296
417		250
418		250
419		244
420		245
