Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	0
Upper Discriminator:	3560
Lower Discriminator:	164
Calibration Coefficients:	1.666666666666515	3.3955555555555557
Calibration Channels:	150	375
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	360.86
Elapsed Live Time:	306.09
Start Time:	February 18, 2016, 02:34:51
End Time:	February 18, 2016, 02:40:52
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	150	151	24492	32	0	512

Channel Data:
Channel	Energy	Counts
0	1.666666666666515	0
1	5.06222222222207	0
2	8.457777777777626	0
3	11.853333333333183	0
4	15.248888888888738	0
5	18.644444444444293	0
6	22.03999999999985	0
7	25.435555555555403	0
8	28.83111111111096	0
9	32.22666666666652	1
10	35.62222222222207	1
11	39.017777777777624	9
12	42.413333333333185	16
13	45.80888888888874	10
14	49.20444444444429	8
15	52.59999999999985	18
16	55.995555555555406	16
17	59.39111111111096	23
18	62.78666666666652	52
19	66.18222222222207	27
20	69.57777777777763	24
21	72.97333333333319	19
22	76.36888888888873	11
23	79.7644444444443	26
24	83.15999999999985	13
25	86.5555555555554	13
26	89.95111111111096	18
27	93.34666666666652	25
28	96.74222222222207	39
29	100.13777777777763	59
30	103.53333333333319	58
31	106.92888888888874	58
32	110.3244444444443	67
33	113.71999999999986	82
34	117.1155555555554	89
35	120.51111111111096	113
36	123.90666666666652	119
37	127.30222222222207	126
38	130.69777777777762	127
39	134.0933333333332	153
40	137.48888888888874	153
41	140.88444444444428	164
42	144.27999999999986	3225
43	147.6755555555554	36033
44	151.07111111111095	39176
45	154.46666666666653	38593
46	157.86222222222207	37902
47	161.25777777777762	37109
48	164.6533333333332	36277
49	168.04888888888874	35531
50	171.4444444444443	34853
51	174.83999999999986	34312
52	178.2355555555554	33584
53	181.63111111111095	32820
54	185.02666666666653	32276
55	188.42222222222208	31941
56	191.81777777777762	31375
57	195.2133333333332	30885
58	198.60888888888874	30485
59	202.0044444444443	29720
60	205.39999999999986	29536
61	208.7955555555554	28865
62	212.19111111111096	28446
63	215.58666666666653	28179
64	218.98222222222208	27620
65	222.37777777777762	27345
66	225.7733333333332	26083
67	229.16888888888874	26209
68	232.5644444444443	26020
69	235.95999999999987	25323
70	239.3555555555554	24990
71	242.75111111111096	24584
72	246.14666666666653	24268
73	249.54222222222208	24048
74	252.93777777777763	23416
75	256.3333333333332	23086
76	259.7288888888887	22642
77	263.1244444444443	22412
78	266.51999999999987	21961
79	269.9155555555554	21762
80	273.31111111111096	21327
81	276.70666666666654	21241
82	280.10222222222205	21146
83	283.4977777777776	20496
84	286.8933333333332	20237
