Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	0
Upper Discriminator:	3560
Lower Discriminator:	164
Calibration Coefficients:	1.666666666666515	3.3955555555555557
Calibration Channels:	150	375
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	403.67
Elapsed Live Time:	316.25
Start Time:	February 18, 2016, 02:42:08
End Time:	February 18, 2016, 02:48:52
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	150	151	45151	291	0	512

Channel Data:
Channel	Energy	Counts
0	1.666666666666515	0
1	5.06222222222207	0
2	8.457777777777626	0
3	11.853333333333183	0
4	15.248888888888738	0
5	18.644444444444293	0
6	22.03999999999985	0
7	25.435555555555403	0
8	28.83111111111096	0
9	32.22666666666652	2
10	35.62222222222207	3
11	39.017777777777624	7
12	42.413333333333185	4
13	45.80888888888874	8
14	49.20444444444429	9
15	52.59999999999985	17
16	55.995555555555406	19
17	59.39111111111096	16
18	62.78666666666652	66
19	66.18222222222207	52
20	69.57777777777763	24
21	72.97333333333319	17
22	76.36888888888873	21
23	79.7644444444443	24
24	83.15999999999985	15
25	86.5555555555554	22
26	89.95111111111096	29
27	93.34666666666652	43
28	96.74222222222207	44
29	100.13777777777763	67
30	103.53333333333319	100
31	106.92888888888874	124
32	110.3244444444443	139
33	113.71999999999986	148
34	117.1155555555554	196
35	120.51111111111096	216
36	123.90666666666652	264
37	127.30222222222207	263
38	130.69777777777762	273
39	134.0933333333332	282
40	137.48888888888874	247
41	140.88444444444428	402
42	144.27999999999986	4781
43	147.6755555555554	41977
44	151.07111111111095	46976
45	154.46666666666653	46426
46	157.86222222222207	45583
47	161.25777777777762	44840
48	164.6533333333332	44854
49	168.04888888888874	43419
50	171.4444444444443	42965
51	174.83999999999986	42643
52	178.2355555555554	42471
53	181.63111111111095	42189
54	185.02666666666653	41753
55	188.42222222222208	41347
56	191.81777777777762	41235
57	195.2133333333332	40703
58	198.60888888888874	40465
59	202.0044444444443	40069
60	205.39999999999986	39798
61	208.7955555555554	38881
62	212.19111111111096	38686
63	215.58666666666653	37809
64	218.98222222222208	36859
65	222.37777777777762	36133
66	225.7733333333332	35328
67	229.16888888888874	34900
68	232.5644444444443	34111
69	235.95999999999987	33531
70	239.3555555555554	33143
71	242.75111111111096	33068
72	246.14666666666653	32488
73	249.54222222222208	32001
74	252.93777777777763	31665
75	256.3333333333332	31162
76	259.7288888888887	30710
77	263.1244444444443	30723
78	266.51999999999987	30298
79	269.9155555555554	29927
80	273.31111111111096	30007
81	276.70666666666654	29563
82	280.10222222222205	29653
83	283.4977777777776	29166
84	286.8933333333332	29163
