Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	0
Upper Discriminator:	3560
Lower Discriminator:	164
Calibration Coefficients:	1.666666666666515	3.3955555555555557
Calibration Channels:	150	375
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	371.44
Elapsed Live Time:	358.83
Start Time:	February 18, 2016, 03:25:09
End Time:	February 18, 2016, 03:31:20
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	150	151	5362	-13	0	512

Channel Data:
Channel	Energy	Counts
0	1.666666666666515	0
1	5.06222222222207	0
2	8.457777777777626	0
3	11.853333333333183	0
4	15.248888888888738	0
5	18.644444444444293	0
6	22.03999999999985	0
7	25.435555555555403	0
8	28.83111111111096	0
9	32.22666666666652	0
10	35.62222222222207	0
11	39.017777777777624	0
12	42.413333333333185	0
13	45.80888888888874	1
14	49.20444444444429	4
15	52.59999999999985	7
16	55.995555555555406	6
17	59.39111111111096	0
18	62.78666666666652	5
19	66.18222222222207	5
20	69.57777777777763	3
21	72.97333333333319	6
22	76.36888888888873	3
23	79.7644444444443	5
24	83.15999999999985	2
25	86.5555555555554	2
26	89.95111111111096	5
27	93.34666666666652	5
28	96.74222222222207	8
29	100.13777777777763	5
30	103.53333333333319	8
31	106.92888888888874	8
32	110.3244444444443	5
33	113.71999999999986	9
34	117.1155555555554	5
35	120.51111111111096	6
36	123.90666666666652	6
37	127.30222222222207	7
38	130.69777777777762	6
39	134.0933333333332	7
40	137.48888888888874	8
41	140.88444444444428	12
42	144.27999999999986	401
43	147.6755555555554	13007
44	151.07111111111095	14189
45	154.46666666666653	13824
46	157.86222222222207	13436
47	161.25777777777762	12787
48	164.6533333333332	12829
49	168.04888888888874	12512
50	171.4444444444443	11964
51	174.83999999999986	11708
52	178.2355555555554	11264
53	181.63111111111095	11294
54	185.02666666666653	11046
55	188.42222222222208	10708
56	191.81777777777762	10771
57	195.2133333333332	10328
58	198.60888888888874	10190
59	202.0044444444443	9828
60	205.39999999999986	9577
61	208.7955555555554	9562
62	212.19111111111096	9413
63	215.58666666666653	8963
64	218.98222222222208	8664
65	222.37777777777762	8467
66	225.7733333333332	8108
67	229.16888888888874	8085
68	232.5644444444443	8110
69	235.95999999999987	7746
70	239.3555555555554	7396
71	242.75111111111096	7257
72	246.14666666666653	7267
73	249.54222222222208	6920
74	252.93777777777763	7047
75	256.3333333333332	6642
76	259.7288888888887	6520
77	263.1244444444443	6383
78	266.51999999999987	6233
79	269.9155555555554	6066
80	273.31111111111096	5908
81	276.70666666666654	6032
82	280.10222222222205	5857
83	283.4977777777776	5633
84	286.8933333333332	5472
