Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	0
Upper Discriminator:	3560
Lower Discriminator:	164
Calibration Coefficients:	1.666666666666515	3.3955555555555557
Calibration Channels:	150	375
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	835.06
Elapsed Live Time:	806.53
Start Time:	February 18, 2016, 03:06:12
End Time:	February 18, 2016, 03:20:07
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	150	151	12483	119	0	512

Channel Data:
Channel	Energy	Counts
0	1.666666666666515	0
1	5.06222222222207	0
2	8.457777777777626	0
3	11.853333333333183	0
4	15.248888888888738	0
5	18.644444444444293	0
6	22.03999999999985	0
7	25.435555555555403	0
8	28.83111111111096	0
9	32.22666666666652	0
10	35.62222222222207	0
11	39.017777777777624	1
12	42.413333333333185	1
13	45.80888888888874	4
14	49.20444444444429	3
15	52.59999999999985	9
16	55.995555555555406	13
17	59.39111111111096	14
18	62.78666666666652	19
19	66.18222222222207	14
20	69.57777777777763	14
21	72.97333333333319	15
22	76.36888888888873	9
23	79.7644444444443	10
24	83.15999999999985	7
25	86.5555555555554	12
26	89.95111111111096	8
27	93.34666666666652	7
28	96.74222222222207	13
29	100.13777777777763	9
30	103.53333333333319	10
31	106.92888888888874	14
32	110.3244444444443	9
33	113.71999999999986	15
34	117.1155555555554	12
35	120.51111111111096	19
36	123.90666666666652	19
37	127.30222222222207	28
38	130.69777777777762	20
39	134.0933333333332	16
40	137.48888888888874	14
41	140.88444444444428	23
42	144.27999999999986	1047
43	147.6755555555554	29695
44	151.07111111111095	32032
45	154.46666666666653	30491
46	157.86222222222207	30087
47	161.25777777777762	28828
48	164.6533333333332	28416
49	168.04888888888874	27971
50	171.4444444444443	26824
51	174.83999999999986	26523
52	178.2355555555554	26068
53	181.63111111111095	25089
54	185.02666666666653	24870
55	188.42222222222208	24323
56	191.81777777777762	23701
57	195.2133333333332	23166
58	198.60888888888874	22808
59	202.0044444444443	21989
60	205.39999999999986	21643
61	208.7955555555554	21075
62	212.19111111111096	20436
63	215.58666666666653	19920
64	218.98222222222208	19697
65	222.37777777777762	19329
66	225.7733333333332	18501
67	229.16888888888874	18297
68	232.5644444444443	17817
69	235.95999999999987	17395
70	239.3555555555554	16935
71	242.75111111111096	16394
72	246.14666666666653	16249
73	249.54222222222208	15710
74	252.93777777777763	15258
75	256.3333333333332	15135
76	259.7288888888887	14867
77	263.1244444444443	14318
78	266.51999999999987	14260
79	269.9155555555554	13819
80	273.31111111111096	13499
81	276.70666666666654	13277
82	280.10222222222205	12955
83	283.4977777777776	12681
84	286.8933333333332	12384
