Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	24
Upper Discriminator:	1733
Lower Discriminator:	-2
Calibration Coefficients:	-26.31868131868123	1.6791208791208792
Calibration Channels:	320	775
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	502.66
Elapsed Live Time:	417.0
Start Time:	February 16, 2016, 03:52:27
End Time:	February 16, 2016, 04:00:50
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	273	349	115920	8581	38	490

Channel Data:
Channel	Energy	Counts
0	-26.31868131868123	58
1	-24.63956043956035	187
2	-22.96043956043947	328
3	-21.28131868131859	2533
4	-19.60219780219771	2213
5	-17.923076923076835	566
6	-16.243956043955954	523
7	-14.564835164835074	718
8	-12.885714285714196	1966
9	-11.206593406593317	2695
10	-9.527472527472437	3236
11	-7.8483516483515565	3439
12	-6.16923076923068	3917
13	-4.4901098901097996	4317
14	-2.8109890109889193	4445
15	-1.1318681318680426	4901
16	0.5472527472528377	4893
17	2.226373626373718	4910
18	3.9054945054945946	4826
19	5.584615384615475	4484
20	7.263736263736355	4516
21	8.942857142857235	4478
22	10.621978021978116	4519
23	12.301098901098989	4536
24	13.980219780219869	4752
25	15.65934065934075	4880
26	17.33846153846163	5349
27	19.01758241758251	5706
28	20.69670329670339	6154
29	22.375824175824263	6859
30	24.054945054945144	7160
31	25.734065934066024	7707
32	27.413186813186904	8332
33	29.092307692307784	8788
34	30.771428571428665	9203
35	32.450549450549545	9735
36	34.12967032967042	10163
37	35.8087912087913	10725
38	37.48791208791218	11021
39	39.16703296703305	11287
40	40.84615384615394	11480
41	42.52527472527481	11816
42	44.2043956043957	12441
43	45.88351648351657	12408
44	47.56263736263746	12577
45	49.24175824175833	12775
46	50.920879120879206	12855
47	52.600000000000094	12894
48	54.27912087912097	12785
49	55.958241758241854	12782
50	57.63736263736273	12648
51	59.316483516483615	12887
52	60.99560439560449	12564
53	62.67472527472536	12761
54	64.35384615384625	12552
55	66.03296703296712	12196
56	67.71208791208801	12240
57	69.39120879120888	12010
58	71.07032967032976	12159
59	72.74945054945064	12014
60	74.42857142857152	11928
61	76.1076923076924	11934
62	77.78681318681328	11747
63	79.46593406593416	11636
64	81.14505494505504	11548
65	82.82417582417591	11351
66	84.5032967032968	11221
67	86.18241758241767	11108
68	87.86153846153856	11216
69	89.54065934065943	11270
70	91.21978021978032	10937
71	92.89890109890119	10832
72	94.57802197802206	10685
73	96.25714285714295	10872
74	97.93626373626383	10515
75	99.61538461538471	10398
76	101.29450549450559	10425
77	102.97362637362647	10368
78	104.65274725274733	10492
79	106.33186813186822	10270
80	108.0109890109891	10052
81	109.69010989011	9943
82	111.36923076923085	9833
83	113.04835164835174	9718
84	114.72747252747263	9843
85	116.40659340659349	9693
86	118.08571428571437	9414
87	119.76483516483526	9472
88	121.44395604395615	9264
89	123.12307692307701	9180
