Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1080
Conversion Gain:	2048
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	2175
Lower Discriminator:	33
Calibration Coefficients:Elapsed Real Time:	568.62
Elapsed Live Time:	550.38
Start Time:	April 08, 2016, 02:58:34
End Time:	April 08, 2016, 03:08:02
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	878	886	2	2	0	880
2	1031	1042	1	1	0	1039
3	1684	1693	1	1	0	1691

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		106
35		6790
36		23488
37		24979
38		18362
39		15472
40		15425
41		21238
42		28479
43		36314
44		34820
45		32582
46		28509
47		26059
48		21377
49		18033
50		15023
51		14350
52		12742
53		13051
54		15018
55		30071
56		74328
57		162992
58		220322
59		214672
60		122161
61		52120
62		17410
63		9437
64		7781
65		7908
66		7495
67		7644
68		7528
69		8047
70		7287
71		7786
72		7576
73		7987
74		7737
75		8054
76		7477
77		7609
78		7510
79		8622
80		11173
81		17256
82		22337
83		25318
84		20870
85		16207
86		12070
87		10359
88		8016
89		6760
90		5598
91		5629
92		5355
93		5645
94		5303
95		5469
96		5255
97		5693
98		5473
99		5749
100		6236
101		6392
102		5888
103		6071
104		5971
105		6149
106		6161
107		6594
108		6304
109		6373
110		6291
111		6498
112		6477
113		6859
114		6604
115		6993
116		6882
117		7171
118		6844
119		7373
120		7658
121		9122
122		9280
123		8847
124		7547
125		6955
126		6032
127		6119
128		5788
129		5813
130		5552
131		5473
132		5844
133		5515
134		5264
135		5569
136		5234
137		5580
138		5401
139		5657
140		5326
141		5833
142		5342
143		5582
144		5399
145		5694
146		5488
147		5694
148		5655
149		5735
150		5362
151		5710
152		5424
153		5523
154		5163
155		5514
156		5149
157		5343
158		4836
159		4673
160		4355
161		4105
162		3740
163		3496
164		3443
165		3465
166		3119
167		3183
168		3024
169		3081
170		3081
171		3338
172		3509
173		3567
174		3043
175		2889
176		2671
177		2682
178		2430
179		2593
180		2327
181		2406
182		2185
183		2211
184		2048
185		2222
186		1872
187		1869
188		1777
189		1724
190		1587
191		1622
192		1514
193		1549
194		1375
195		1457
196		1502
197		1484
198		1371
199		1335
200		1200
201		1240
202		1181
203		1208
204		1080
205		1127
206		964
207		1008
208		1019
209		1026
210		985
211		1185
212		2038
213		4212
214		6305
215		7273
216		5287
217		3199
218		1470
219		1041
220		815
221		817
222		757
223		763
224		712
225		720
226		632
227		672
228		643
229		659
230		671
231		812
232		1101
233		2980
234		6885
235		12970
236		14978
237		12078
238		6641
239		3342
240		2030
241		1337
242		941
243		818
244		675
245		594
246		442
247		435
248		461
249		465
250		459
251		473
252		530
253		514
254		464
255		453
256		542
257		670
258		1107
259		1832
260		2740
261		2648
262		1936
263		1501
264		1093
265		948
266		620
267		477
268		407
269		436
270		381
271		397
272		423
273		559
274		1188
275		4201
276		12772
277		28920
278		37788
279		36055
280		20029
281		8144
282		2202
283		853
284		560
285		565
286		547
287		501
288		494
289		442
290		399
291		431
292		420
293		457
294		530
295		580
296		592
297		1013
298		2145
299		4651
300		7169
301		8612
302		7797
303		6482
304		4424
305		2871
306		1918
307		1293
308		741
309		408
310		209
311		172
312		135
313		145
314		131
315		155
316		130
317		168
318		189
319		171
320		168
321		210
322		251
323		492
324		733
325		888
326		742
327		706
328		574
329		494
330		375
331		307
332		225
333		198
334		178
335		184
336		148
337		173
338		158
339		278
340		651
341		1538
342		2356
343		2642
344		1752
345		836
346		300
347		95
348		71
349		72
350		67
351		51
352		45
353		57
354		47
355		58
356		59
357		47
358		48
359		60
360		48
361		55
362		56
363		71
364		64
365		110
366		164
367		224
368		168
369		141
370		96
371		62
372		50
373		24
374		23
375		25
376		11
377		20
378		15
379		15
380		16
381		14
382		14
383		22
384		16
385		22
386		14
387		12
388		16
389		16
390		16
391		13
392		14
393		15
394		12
395		14
396		12
397		11
398		10
399		23
400		13
401		16
