Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1080
Conversion Gain:	2048
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	2175
Lower Discriminator:	33
Calibration Coefficients:Elapsed Real Time:	594.46
Elapsed Live Time:	593.39
Start Time:	April 08, 2016, 02:47:22
End Time:	April 08, 2016, 02:57:17
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	878	886	38	2	0	882
2	1031	1042	38	19	4	1037
3	1684	1693	0	0	0	0

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		3
35		102
36		393
37		557
38		542
39		627
40		684
41		812
42		905
43		1005
44		1060
45		1045
46		1047
47		1049
48		1098
49		1173
50		1895
51		4423
52		9073
53		15367
54		17833
55		16769
56		10016
57		4341
58		1357
59		1066
60		1766
61		3485
62		4830
63		4858
64		3413
65		2066
66		983
67		482
68		323
69		247
70		246
71		251
72		226
73		239
74		252
75		244
76		213
77		208
78		209
79		239
80		202
81		207
82		210
83		225
84		217
85		208
86		204
87		214
88		207
89		197
90		207
91		223
92		195
93		205
94		206
95		193
96		196
97		198
98		197
99		202
100		200
101		203
102		189
103		191
104		213
105		210
106		183
107		213
108		208
109		220
110		196
111		190
112		217
113		195
114		181
115		202
116		169
117		206
118		173
119		183
120		195
121		204
122		167
123		187
124		186
125		207
126		165
127		179
128		170
129		192
130		171
131		161
132		179
133		180
134		172
135		199
136		203
137		208
138		214
139		200
140		215
141		212
142		203
143		218
144		171
145		229
146		189
147		207
148		188
149		202
150		198
151		199
152		218
153		207
154		180
155		179
156		187
157		196
158		175
159		174
160		171
161		192
162		194
163		190
164		180
165		209
166		186
167		181
168		198
169		187
170		202
171		181
172		199
173		200
174		149
175		172
176		187
177		180
178		174
179		156
180		160
181		149
182		164
183		187
184		165
185		190
186		170
187		176
188		167
189		178
190		193
191		160
192		170
193		174
194		153
195		170
196		174
197		173
198		169
199		159
200		160
201		173
202		155
203		144
204		145
205		149
206		147
207		153
208		142
209		147
210		144
211		151
212		144
213		162
214		154
215		156
216		152
217		175
218		144
219		159
220		145
221		186
222		160
223		148
224		152
225		158
226		139
227		162
228		136
229		150
230		139
231		143
232		170
233		156
234		158
235		151
236		167
237		163
238		142
239		173
240		148
241		175
242		170
243		152
244		164
245		163
246		165
247		161
248		157
249		157
250		146
251		163
252		155
253		194
254		174
255		162
256		175
257		183
258		146
259		155
260		172
261		195
262		160
263		179
264		158
265		196
266		178
267		195
268		161
269		183
270		155
271		185
272		186
273		205
274		150
275		199
276		182
277		194
278		189
279		199
280		191
281		201
282		158
283		199
284		211
285		185
286		227
287		235
288		185
289		233
290		215
291		223
292		201
293		240
294		198
295		228
296		223
297		216
298		237
299		214
300		216
301		261
302		196
303		221
304		237
305		225
306		215
307		221
308		206
309		193
310		168
311		169
312		145
313		144
314		135
315		126
316		106
317		138
318		119
319		110
320		110
321		114
322		92
323		112
324		98
325		113
326		95
327		104
328		86
329		99
330		93
331		114
332		106
333		78
334		103
335		77
336		94
337		108
338		86
339		79
340		84
341		95
342		85
343		75
344		97
345		99
346		60
347		101
348		74
349		76
350		67
351		86
352		68
353		92
354		71
355		77
356		82
357		76
358		61
359		69
360		81
361		67
362		66
363		64
364		63
365		61
366		49
367		56
368		52
369		48
370		57
371		57
372		66
373		52
374		48
375		52
376		53
377		61
378		43
379		49
380		46
381		51
382		45
383		58
384		45
385		53
386		54
387		44
388		52
389		54
390		43
391		53
392		65
393		52
394		53
395		54
396		32
397		57
398		45
399		57
400		36
401		45
402		45
403		58
404		48
405		44
406		54
407		51
408		48
409		36
410		40
411		54
412		40
413		50
414		44
415		60
416		47
417		49
418		47
419		30
420		46
421		46
422		40
423		36
424		49
425		56
426		46
427		44
428		50
429		37
430		41
431		46
432		52
433		52
434		39
435		44
436		42
437		44
438		42
439		47
440		47
441		47
442		36
443		57
444		56
445		72
446		131
447		370
448		792
449		1295
450		1375
451		1158
