Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1080
Conversion Gain:	2048
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	2175
Lower Discriminator:	33
Calibration Coefficients:Elapsed Real Time:	956.43
Elapsed Live Time:	951.78
Start Time:	April 08, 2016, 04:09:09
End Time:	April 08, 2016, 04:25:06
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	878	886	1231	-36	0	881
2	1031	1042	454	21	3	1036
3	1684	1693	14	13	0	1687

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		7
35		365
36		1220
37		1571
38		1341
39		1377
40		1378
41		1332
42		1238
43		1340
44		1214
45		1219
46		1153
47		1271
48		1262
49		1308
50		1209
51		1262
52		1219
53		1274
54		1250
55		1288
56		1207
57		1264
58		1104
59		1177
60		1235
61		1233
62		1252
63		1188
64		1284
65		1272
66		1216
67		1236
68		1289
69		1273
70		1185
71		1274
72		1147
73		1292
74		1132
75		1197
76		1129
77		1141
78		1097
79		1080
80		1045
81		1129
82		1043
83		988
84		1100
85		1049
86		1002
87		1092
88		1030
89		1118
90		1085
91		1072
92		1015
93		1076
94		1014
95		1088
96		1013
97		1026
98		976
99		1021
100		985
101		1183
102		1410
103		2280
104		3575
105		4443
106		3670
107		2535
108		1449
109		1125
110		948
111		966
112		896
113		892
114		865
115		931
116		879
117		949
118		915
119		893
120		894
121		942
122		901
123		998
124		896
125		989
126		961
127		1025
128		938
129		944
130		920
131		915
132		948
133		927
134		854
135		950
136		946
137		925
138		860
139		869
140		864
141		930
142		903
143		875
144		907
145		896
146		877
147		867
148		838
149		857
150		790
151		821
152		903
153		866
154		816
155		887
156		791
157		901
158		831
159		897
160		812
161		924
162		872
163		923
164		856
165		949
166		858
167		950
168		892
169		907
170		886
171		985
172		888
173		986
174		880
175		912
176		914
177		946
178		897
179		941
180		952
181		924
182		917
183		961
184		886
185		930
186		836
187		930
188		885
189		897
190		926
191		943
192		924
193		901
194		912
195		941
196		966
197		969
198		883
199		898
200		800
201		864
202		756
203		782
204		720
205		757
206		673
207		668
208		658
209		650
210		609
211		730
212		685
213		651
214		650
215		604
216		576
217		609
218		594
219		604
220		593
221		586
222		540
223		553
224		527
225		544
226		501
227		544
228		551
229		549
230		502
231		511
232		526
233		524
234		500
235		537
236		478
237		531
238		551
239		554
240		502
241		511
242		474
243		463
244		475
245		480
246		448
247		480
248		453
249		485
250		412
251		485
252		442
253		437
254		456
255		478
256		413
257		431
258		437
259		433
260		457
261		456
262		394
263		434
264		411
265		411
266		419
267		447
268		479
269		425
270		427
271		407
272		438
273		391
274		437
275		434
276		444
277		516
278		505
279		532
280		463
281		523
282		433
283		416
284		385
285		402
286		404
287		388
288		390
289		413
290		366
291		437
292		426
293		432
294		416
295		424
296		393
297		411
298		411
299		413
300		377
301		448
302		394
303		432
304		396
305		401
306		392
307		429
308		394
309		391
310		390
311		425
312		414
313		396
314		410
315		430
316		367
317		390
318		385
319		410
320		386
321		399
322		430
323		438
324		638
325		1093
326		2037
327		3587
328		3833
329		3357
330		1903
331		1092
332		515
333		404
334		370
335		374
336		343
337		418
338		345
339		377
340		392
341		388
342		356
343		377
344		370
345		393
346		338
347		358
348		352
349		370
350		378
351		361
352		356
353		383
354		341
355		396
356		391
357		387
358		352
359		339
360		339
361		402
362		362
363		397
364		460
365		443
366		389
367		395
368		348
369		352
370		361
371		370
372		396
373		391
374		378
375		333
376		330
377		371
378		361
379		383
380		369
381		379
382		378
383		443
384		393
385		370
386		377
387		357
388		372
389		374
390		376
391		401
392		359
393		376
394		388
395		367
396		344
397		362
398		348
399		372
400		359
401		369
402		332
403		380
404		366
405		429
406		372
407		385
408		364
409		382
410		366
411		348
412		370
413		391
414		364
415		352
416		366
417		374
418		342
419		361
420		342
421		396
422		411
423		371
424		376
425		381
426		326
427		396
428		366
429		383
430		358
431		360
432		389
433		357
434		372
435		365
436		342
437		338
