Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1080
Conversion Gain:	2048
Coarse Gain:	16
Fine Gain:	1.0
Upper Discriminator:	2175
Lower Discriminator:	33
Calibration Coefficients:Elapsed Real Time:	335.45
Elapsed Live Time:	306.52
Start Time:	April 08, 2016, 03:09:06
End Time:	April 08, 2016, 03:14:41
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	878	886	5480	-155	0	881
2	1031	1042	1404	-1	4	1036
3	1684	1693	11	10	5	1688

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		1
33		1
34		161
35		3787
36		10578
37		12013
38		10999
39		11513
40		11192
41		11502
42		10861
43		11388
44		10741
45		11228
46		10652
47		10772
48		10600
49		11028
50		10495
51		10828
52		10389
53		10848
54		10277
55		10771
56		10490
57		10851
58		10029
59		10619
60		10082
61		10682
62		10174
63		10069
64		9947
65		10296
66		9726
67		9854
68		9777
69		10277
70		9700
71		10095
72		9627
73		10220
74		9595
75		10203
76		9724
77		9976
78		9584
79		9666
80		9568
81		9942
82		9491
83		9748
84		9395
85		9961
86		9226
87		9754
88		9493
89		9777
90		9206
91		9623
92		9287
93		9778
94		9196
95		9428
96		9346
97		9786
98		8900
99		9218
100		9174
101		9412
102		8923
103		9140
104		8988
105		9276
106		9141
107		9309
108		9042
109		9165
110		8777
111		9122
112		8984
113		9136
114		9016
115		9021
116		8977
117		9397
118		8977
119		9334
120		9187
121		9842
122		9606
123		10408
124		10464
125		11069
126		10879
127		11291
128		11366
129		11535
130		11124
131		10862
132		11382
133		11347
134		10438
135		10882
136		10378
137		10853
138		10197
139		10779
140		10054
141		10267
142		9850
143		9978
144		9944
145		9999
146		9623
147		9647
148		9509
149		9757
150		9216
151		9349
152		8946
153		9537
154		8853
155		9379
156		9116
157		9599
158		9112
159		9375
160		8951
161		9537
162		9009
163		9074
164		9135
165		9473
166		8751
167		9191
168		8976
169		9194
170		8638
171		9135
172		8729
173		9308
174		8623
175		8885
176		8609
177		9033
178		8606
179		8806
180		8552
181		9011
182		8430
183		8821
184		8643
185		9074
186		8450
187		9051
188		8598
189		9079
190		8637
191		8717
192		8723
193		9054
194		8554
195		8706
196		8817
197		9056
198		8408
199		8883
200		8694
201		9179
202		8530
203		8999
204		8644
205		9108
206		8768
207		9004
208		8792
209		9252
210		8827
211		8950
212		9035
213		9554
214		8960
215		9291
216		9241
217		9542
218		9106
219		9637
220		9338
221		9759
222		9370
223		9692
224		9669
225		9958
226		9512
227		9709
228		9948
229		10300
230		9835
231		10198
232		10272
233		10685
234		10316
235		10766
236		10704
237		11012
238		10781
239		11265
240		11192
241		11602
242		11217
243		11440
244		11673
245		12106
246		11576
247		12257
248		12045
249		12752
250		12089
251		12665
252		12345
253		12887
254		12076
255		11997
256		11594
257		11676
258		10344
259		9716
260		9347
261		8431
262		7146
263		7156
264		6351
265		6323
266		5676
267		5823
268		5280
269		5355
270		5104
271		5091
272		4820
273		5033
274		4605
275		4753
276		4442
277		4623
278		4198
279		4365
280		4172
281		4298
282		3960
283		4124
284		3842
285		4052
286		3713
287		3819
288		3558
289		3806
290		3444
291		3527
292		3359
293		3554
294		3219
295		3383
296		3115
297		3269
298		3073
299		3044
300		2856
301		2973
302		2850
303		2714
304		2716
305		2755
306		2558
307		2547
308		2525
309		2491
310		2258
311		2323
312		2208
313		2271
314		2074
315		2117
316		2034
317		2041
318		1947
319		1918
320		1812
321		1926
322		1769
323		1788
324		1840
325		1912
326		1737
327		1834
328		1656
329		1755
330		1638
331		1728
332		1653
333		1657
334		1576
335		1648
336		1640
337		1672
338		1637
339		1571
340		1538
341		1647
342		1533
343		1628
344		1606
345		1616
346		1573
347		1664
348		1513
349		1618
350		1541
351		1608
352		1483
353		1550
354		1488
355		1535
356		1579
357		1525
358		1468
359		1517
360		1523
361		1517
362		1478
363		1582
364		1458
365		1539
366		1446
367		1489
368		1547
369		1484
370		1447
371		1491
372		1505
