Piezo Voltage	Idler Rate	Coinc 1&2	Coinc 1&3
35.000000	127909.988127	1098.607579	3612.309688
35.300000	128003.175600	1016.740155	3622.630475
35.600000	128158.854376	960.945014	3629.692307
35.900000	128135.171782	892.548928	3605.593686
36.200000	128065.672023	779.677424	3586.736118
36.500000	128126.813220	688.360645	3594.694481
36.800000	128259.555154	621.864417	3616.993034
37.100000	128203.970223	548.913704	3599.934043
37.400000	128306.721328	497.371540	3618.192965
37.700000	128049.179073	421.433765	3565.539620
38.000000	128118.975083	341.646289	3521.346398
38.300000	128095.866637	306.182480	3523.398390
38.600000	128097.070227	274.756805	3486.751837
38.900000	128289.307656	278.584073	3551.896928
39.200000	128153.082988	301.052671	3507.048646
39.500000	128059.978456	316.150297	3521.046445
39.800000	127956.457755	369.078881	3496.399934
40.100000	128045.522324	465.273399	3512.999152
40.400000	128355.555436	472.625697	3514.947404
40.700000	128019.574661	643.663169	3482.300741
41.000000	128001.481800	723.786246	3494.550777
41.300000	128056.178673	829.369612	3509.648237
41.600000	128066.611668	897.248659	3470.301428
41.900000	128144.273636	999.642843	3544.942688
42.200000	128124.325552	1133.135161	3565.395986
42.500000	128089.100182	1206.930939	3547.297022
42.800000	128135.268041	1314.693313	3555.740991
43.100000	128137.161916	1365.021893	3549.096919
43.400000	128035.764592	1438.817739	3596.394384
43.700000	128034.973780	1501.463950	3587.535992
44.000000	128014.774753	1524.812822	3600.094173
44.300000	128221.963080	1520.061026	3622.930427
44.600000	128241.743455	1534.512195	3582.295019
44.900000	128036.361632	1501.714071	3630.192279
45.200000	127924.780085	1463.969845	3628.129610
45.500000	128080.542606	1404.819683	3674.089942
45.800000	128106.911880	1325.924130	3645.191420
46.100000	128055.278724	1202.910944	3633.029013
46.400000	127977.254654	1089.737645	3616.393068
46.700000	128007.081480	963.948501	3624.530349
47.000000	128074.877604	881.561407	3607.032927
47.300000	128074.273684	739.657676	3621.092799
47.600000	128051.878919	637.699776	3588.635990
47.900000	128103.130626	555.968214	3638.691966
48.200000	128202.239296	495.371655	3599.694024
48.500000	128020.880691	416.834468	3593.934986
48.800000	128070.989963	348.480060	3550.096862
49.100000	128156.764736	312.682123	3491.400387
49.400000	128188.764980	284.455280	3506.748693
49.700000	128093.385048	290.883369	3530.798134
50.000000	128120.268899	312.750831	3507.748536
50.300000	128282.259630	375.740929	3534.544323
50.600000	128290.700750	434.875116	3475.001159
50.900000	128093.670421	515.518954	3531.544795
51.200000	128315.079891	588.766311	3543.597234
51.500000	128196.865935	695.660227	3510.199312
51.800000	128260.660866	810.572567	3542.143128
52.100000	128146.913573	897.548685	3521.398672
52.400000	128261.147261	1011.442125	3520.698544
52.700000	128226.568931	1140.720718	3582.336980
53.000000	128010.489891	1227.429766	3565.195998
53.300000	128220.363172	1338.489572	3540.943317
53.600000	128172.387287	1387.220689	3589.494779
53.900000	128210.199832	1448.319975	3575.375131
54.200000	128213.069703	1503.163683	3613.631889
54.500000	128274.879185	1548.456562	3635.028525
54.800000	128164.532339	1533.112348	3626.792646
55.100000	127957.984287	1495.564877	3622.730459
55.400000	128446.627744	1487.814867	3641.391638
55.700000	128253.584752	1426.475739	3667.123480
56.000000	128013.874987	1321.192291	3635.328478
56.300000	128239.056774	1217.230408	3655.291017
56.600000	128122.868751	1100.027061	3665.223778
56.900000	128303.742215	1010.542224	3632.792303
57.200000	128022.729215	909.547955	3631.792187
57.500000	128282.959590	782.077047	3612.532062
57.800000	128388.117806	669.361731	3641.191823
58.100000	128242.738522	572.167260	3591.294504
58.400000	128309.264203	511.419598	3622.030569
58.700000	128288.710616	430.375374	3618.992920
59.000000	128298.864798	343.346038	3560.640390
59.300000	128409.558469	310.351209	3571.438523
59.600000	128276.471292	313.482062	3558.096404
59.900000	128142.373745	303.652276	3525.545906
60.200000	128208.010685	336.180764	3525.698258
60.500000	128520.169291	407.476703	3532.498037
60.800000	128365.860967	431.832110	3500.849620
61.100000	128409.014213	545.968759	3535.397703
61.400000	128399.561076	591.266196	3506.499524
61.700000	128002.275651	652.597403	3516.347184
62.000000	128378.664670	815.553373	3536.597803
62.300000	128451.549943	866.663749	3545.042672
62.600000	128276.059985	1054.234260	3513.547624
62.900000	128361.754622	1134.935113	3583.095145
63.200000	128245.461736	1261.101738	3576.937658
63.500000	128156.366709	1307.125206	3594.894298
63.800000	128429.910619	1396.320169	3584.995036
64.100000	128497.347323	1474.468194	3568.638963
64.400000	128468.923340	1493.514612	3639.991892
64.700000	128294.581511	1519.013081	3637.791844
