-3.726206360658665062e+02 6.539105846145207435e+07 8.314586631388284843e+01 7.027771846866639098e+05 7.027757643391186139e+05 2.980275153376039725e+03
5.390964615858521158e-01 8.314586581712698887e+01 1.038103653262286569e-02 8.965558832652390508e-01 8.906208219002805793e-01 4.089220915239984155e-02
1.024718174161982809e+01 7.027771846866608830e+05 8.965558885157820512e-01 7.552955772586499734e+03 7.552940472039925226e+03 3.202835651935275507e+01
-6.623671580911129064e-01 7.027757643391215242e+05 8.906208270710193053e-01 7.552940472039986162e+03 7.552925242806280039e+03 3.203142727955967217e+01
2.825523873595524037e+03 2.980275153132480682e+03 4.089220915036515663e-02 3.202835651673500195e+01 3.203142727694204694e+01 2.114155428031239570e+00
%	%	%	%	%	%
1.086370631785725038e+02 1.808478161839888617e+07 1.029091815331125872e+02 9.820637518216705648e+05 9.820644544441093458e+05 2.167018286231877937e+03
5.532050375360415551e-01 1.029091835599239459e+02 5.165928633106201331e-03 5.588193874689735274e+00 5.588432005947137071e+00 4.182743378437870502e-02
7.067546490343484145e+00 9.820637518216596218e+05 5.588193764813388142e+00 5.332932589422180172e+04 5.332936404769945511e+04 1.176759203592815055e+02
1.734137556088445775e+00 9.820644544441202888e+05 5.588431896579111324e+00 5.332936404770063382e+04 5.332940220372193289e+04 1.176767109730225371e+02
3.647253219518609512e+03 2.167018292406464298e+03 4.182743372288084266e-02 1.176759206945850167e+02 1.176767113083218419e+02 2.265586721104880130e+00
%	%	%	%	%	%
3.410834240623884517e-01 3.489294371074294077e-01 -1.739413243980534673e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.623197088510490630e+03 -1.739413243980534673e+01 8.932645929365753545e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
%	%	%	%	%	%
5.306285928591721046e-02 1.254510304307034640e-01 -6.253733866970565991e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.826199818044597578e+03 -6.253733866970565991e+00 3.211565196680571717e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
