-4.964633674056765358e+02 5.007063866964278817e+08 9.555932865941272212e+02 1.991982652426999807e+07 1.991982881202834100e+07 3.128159400080236446e+04
5.982174769216717092e-01 9.555941005368084689e+02 2.402425873760915750e-03 3.801682699322576298e+01 3.801683463347585956e+01 3.536097877190622074e-02
2.574782014077591441e+00 1.991982652426797524e+07 3.801679426865405986e+01 7.924793837262293091e+05 7.924794747411367716e+05 1.244489717389521957e+03
2.815300579855817276e+00 1.991982881203035638e+07 3.801680181740415065e+01 7.924794747412974248e+05 7.924795657562307315e+05 1.244489769810109237e+03
9.030137230838447522e+02 3.128157102028656300e+04 3.536081537939465141e-02 1.244488803145527527e+03 1.244488855565690528e+03 6.451790462605274001e+00
%	%	%	%	%	%
-7.916132516823242895e+02 1.386058902538456917e+08 2.630183359288019460e+02 9.994176303337328136e+05 9.994225962812588550e+05 4.462492067478753597e+03
6.017405699986279055e-01 2.630183632027829503e+02 6.081735587361246018e-03 1.896004521261701159e+00 1.896991741172643797e+00 5.808147224351385002e-02
7.177306196045225128e+00 9.994176303333601682e+05 1.896004324557375886e+00 7.206299811060917818e+03 7.206335604654226699e+03 3.217413311805110965e+01
-3.900365577444577347e+00 9.994225962816312676e+05 1.896991544526020146e+00 7.206335604659599994e+03 7.206371425153822202e+03 3.217960528657970798e+01
3.575804518527336313e+03 4.462492215055069209e+03 5.808147215629501370e-02 3.217413418225039834e+01 3.217960635058371821e+01 2.467917933201670078e+00
%	%	%	%	%	%
5.397613921792105973e-01 3.602896187488422997e-01 -1.796043749462978312e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.546535829139867019e+03 -1.796043749462978312e+01 9.223468283413170639e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
%	%	%	%	%	%
7.445869042584264186e+00 2.493208185631782925e+01 -1.242864280537443165e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.034660350471747847e+02 -1.242864280537443165e+03 6.382650353340145375e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
