-9.645580703291501550e+02 4.252963359064687788e+07 2.702919579185260659e+02 2.590721826900294516e+06 2.590720576473833062e+06 7.276927497815019706e+03
5.830063230753177450e-01 2.702919519793841232e+02 2.432764392073669124e-03 1.646502445285148752e+01 1.646500748190683439e+01 6.180849629488481545e-02
2.733397229275612794e+00 2.590721826900284737e+06 1.646502479659888252e+01 1.578155986242740764e+05 1.578155224536380847e+05 4.432791393413243668e+02
6.177117677519609051e-01 2.590720576473878697e+06 1.646500780556104360e+01 1.578155224536415190e+05 1.578154462831396086e+05 4.432786811346114177e+02
2.824131561724101175e+03 7.276927373976145645e+03 6.180849638023126064e-02 4.432791317976000869e+02 4.432786735908769629e+02 1.847341960465497479e+01
%	%	%	%	%	%
1.255576435889834329e+03 9.692062482617614791e+06 5.217800795646010670e+01 2.547660508156608790e+06 2.547660603634224739e+06 2.878805721579753026e+03
5.827131174376378731e-01 5.217800444142008587e+01 1.665989126897258208e-03 1.371552919625426803e+01 1.371553956441892730e+01 3.642864486239881516e-02
8.676671964711097473e+00 2.547660508155940566e+06 1.371553011594590821e+01 6.696793460080263903e+05 6.696793711053053848e+05 7.567244452849699883e+02
8.013051174390818376e-01 2.547660603633549530e+06 1.371554047925061326e+01 6.696793711053035222e+05 6.696793962026042864e+05 7.567245848851089249e+02
3.810150243825996313e+03 2.878805694165684145e+03 3.642864526109353129e-02 7.567244380790684772e+02 7.567245776792173046e+02 2.363974372188342699e+01
%	%	%	%	%	%
4.769774148588631135e+01 4.305222592487754127e+02 -2.152611296243876859e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.441640790586872754e+03 -2.152611296243876859e+04 1.109240600954469759e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
%	%	%	%	%	%
-3.199796457297623320e+01 2.376572980847699341e+02 -1.188286490423849500e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.401208633569600352e+03 -1.188286490423849682e+04 6.123240285154097946e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
