Piezo Voltage	Idler Rate	Coinc 1&2	Coinc 1&3
35.000000	129461.098520	4594.158753	1459.278678
35.300000	129607.090003	4663.867001	1295.296424
35.600000	129545.181679	4671.632687	1223.929966
35.900000	129554.541456	4701.731189	1221.730150
36.200000	129430.600093	4555.683786	1291.496960
36.500000	129864.399163	4510.241922	1400.219879
36.800000	129470.273974	4256.422888	1668.435484
37.100000	129681.079589	4015.870210	1983.986475
37.400000	129390.150245	3921.675600	2149.077029
37.700000	129524.694714	4039.665104	2004.484964
38.000000	129646.678510	3583.694939	2611.450572
38.300000	129554.827682	3165.018896	2982.329350
38.600000	129376.797000	2878.347486	3412.463516
38.900000	129510.752362	2315.467508	4262.156117
39.200000	129434.430725	2350.865594	4183.360826
39.500000	129524.888526	2136.564104	4508.391221
39.800000	129513.538550	2016.884689	4678.032544
40.100000	129390.596211	1511.662347	5357.457737
40.400000	129409.454544	1332.423822	5712.373408
40.700000	129635.434253	1162.233496	5908.861892
41.000000	129497.396274	1087.029156	6037.851058
41.300000	129495.527837	986.243614	6208.445046
41.600000	129357.611555	927.746914	6320.438342
41.900000	129465.798081	905.757603	6327.005311
42.200000	129314.042119	1014.888111	6264.488034
42.500000	129451.492726	1192.312553	6144.034077
42.800000	129488.490609	1244.004426	6129.136419
43.100000	129683.601648	1336.523587	5978.658184
43.400000	129492.290392	1562.754314	5656.510722
43.700000	129552.545175	2239.371862	4799.525369
44.000000	129272.102991	2489.857529	4435.746185
44.300000	129344.898826	2832.954622	4012.069250
44.600000	129413.639966	3109.222237	3691.788930
44.900000	128922.369263	3555.496722	3064.624787
45.200000	129318.600330	3548.042201	3088.014523
45.500000	129213.824378	3979.672471	2457.759483
45.800000	129226.205617	4222.036240	2076.773504
46.100000	129170.708793	4451.200213	1761.623050
46.400000	129003.467221	4615.236134	1546.811564
46.700000	128989.119183	4716.458510	1363.585626
47.000000	129170.843614	4731.129508	1307.625239
47.300000	129207.256936	4706.930667	1244.628782
47.600000	129120.911642	4749.753276	1241.804772
47.900000	129148.647492	4597.436933	1341.723226
48.200000	129107.352212	4300.453926	1641.006101
48.500000	129279.508732	4258.330534	1816.314451
48.800000	128971.625078	4024.069741	2024.384164
49.100000	129039.622447	3831.797773	2329.933815
49.400000	129107.551226	3422.704151	2836.737681
49.700000	129382.985763	3033.926397	3335.309152
50.000000	128941.128078	2709.274066	3796.403155
50.300000	129337.411696	2387.263400	4222.858366
50.600000	129260.194499	2065.181928	4637.834842
50.900000	129075.214257	2002.985104	4707.259957
51.200000	129280.792385	1520.113091	5400.491239
51.500000	129122.511551	1195.812003	5864.178074
51.800000	129303.401200	1072.931321	6079.744184
52.100000	129203.183292	978.844037	6233.043640
52.400000	129299.401429	946.651174	6305.608675
52.700000	129418.609161	949.745655	6344.036991
53.000000	129505.876534	1006.342417	6342.937054
53.300000	129449.692829	1319.092621	6008.755344
53.600000	129556.525443	1383.920877	5924.361288
53.900000	129444.580409	1715.601832	5476.886610
54.200000	129315.306685	1902.800945	5302.266666
54.500000	129502.294293	2398.762742	4646.634117
54.800000	129118.611774	2409.821144	4604.476116
55.100000	129559.492724	2734.170152	4181.042685
55.400000	129399.205355	3218.515835	3517.698716
55.700000	129515.395245	3557.740846	3039.722260
56.000000	129581.004090	3708.787958	2826.438405
56.300000	129414.827906	3956.873586	2447.059978
56.600000	129565.692370	4140.549051	2197.154578
56.900000	129669.565051	4493.642872	1727.001180
57.200000	129587.472025	4557.939410	1606.608146
57.500000	129447.892932	4719.258070	1366.185218
57.800000	129543.993746	4712.559348	1293.696675
58.100000	129600.390386	4718.458196	1252.303121
58.400000	129575.332208	4684.531949	1309.525068
58.700000	129522.295139	4495.043006	1456.016755
59.000000	129660.480768	4372.012662	1610.446816
59.300000	129626.288905	3986.172099	2087.880630
59.600000	129358.208596	3621.892926	2550.754166
59.900000	129658.280894	3154.004149	3189.898506
60.200000	129392.644052	2733.443721	3728.186849
60.500000	129818.725589	2402.262541	4173.061216
60.800000	129667.286561	2544.900029	3940.880629
61.100000	129686.680202	2276.369854	4314.953302
61.400000	129849.269965	1676.836379	5112.696217
61.700000	129781.211565	1463.116350	5508.085087
62.000000	129784.395779	1159.533651	5951.359460
62.300000	129596.190626	1173.015642	5911.770873
62.600000	129764.593946	1008.142314	6217.544229
62.900000	129507.574293	948.445775	6275.741198
63.200000	129733.782760	947.351064	6350.601602
63.500000	129751.757582	1121.135848	6170.146941
63.800000	129687.685395	1283.398233	6032.051682
64.100000	129874.868500	1476.467880	5797.288590
64.400000	129807.978866	1755.099572	5465.887239
64.700000	129622.289134	1833.211795	5379.754232
65.000000	129628.170265	2274.869831	4792.925747
