Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	800
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	61
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	1111.74
Elapsed Live Time:	1107.87
Start Time:	October 09, 2015, 04:19:47
End Time:	October 09, 2015, 04:38:19
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	35	82	23922	9713	15	57
2	141	186	38980	11240	23	162
3	617	732	60527	34540	48	668

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		1
11		0
12		0
13		0
14		1
15		0
16		33
17		181
18		214
19		211
20		230
21		270
22		251
23		269
24		254
25		258
26		261
27		256
28		255
29		225
30		273
31		248
32		249
33		247
34		232
35		270
36		262
37		251
38		289
39		297
40		338
41		326
42		367
43		378
44		452
45		479
46		488
47		563
48		574
49		692
50		732
51		792
52		801
53		854
54		896
55		898
56		891
57		899
58		798
59		784
60		749
61		697
62		656
63		548
64		548
65		470
66		458
67		420
68		423
69		360
70		359
71		337
72		315
73		311
74		316
75		326
76		290
77		320
78		358
79		305
80		312
81		349
82		324
83		345
84		337
85		382
86		391
87		391
88		361
89		388
90		406
91		380
92		407
93		464
94		404
95		446
96		427
97		477
98		454
99		460
100		497
101		451
102		485
103		503
104		504
105		526
106		511
107		549
108		528
109		563
110		543
111		553
112		561
113		632
114		636
115		671
116		682
117		690
118		695
119		713
120		705
121		691
122		761
123		761
124		751
125		819
126		794
127		768
128		774
129		744
130		694
131		749
132		727
133		681
134		656
135		629
136		678
137		646
138		664
139		657
140		655
141		672
142		679
143		675
144		692
145		676
146		797
147		769
148		788
149		845
150		918
151		919
152		911
153		999
154		1029
155		980
156		1120
157		1083
158		1114
159		1135
160		1105
161		1162
162		1138
163		1145
164		1114
165		1107
166		1068
167		1063
168		1008
169		908
170		874
171		853
172		820
173		788
174		732
175		694
176		660
177		654
178		601
179		663
180		622
181		591
182		577
183		593
184		558
185		533
186		548
187		538
188		517
189		558
190		544
191		517
192		552
193		582
194		584
195		590
196		533
197		579
198		551
199		568
200		536
201		579
202		591
203		549
204		546
205		571
206		578
207		507
208		527
209		574
210		584
211		563
212		532
213		522
214		592
215		524
216		542
217		525
218		529
219		543
220		531
221		518
222		520
223		591
224		519
225		559
226		538
227		538
228		535
229		514
230		564
231		556
232		555
233		561
234		532
235		582
236		557
237		578
238		570
239		590
240		526
241		561
242		573
243		594
244		542
245		570
246		535
247		608
248		611
249		592
250		620
251		625
252		602
253		585
254		649
255		579
256		634
257		653
258		665
259		613
260		661
261		690
262		659
263		646
264		708
265		656
266		727
267		688
268		695
269		648
270		682
271		722
272		752
273		734
274		692
275		718
276		754
277		699
278		712
279		798
280		723
281		762
282		764
283		718
284		784
285		732
286		770
287		795
288		791
289		792
290		742
291		812
292		820
293		767
294		762
295		775
296		761
297		778
298		719
299		746
300		709
301		727
302		749
303		656
304		684
305		660
306		658
307		697
308		625
309		627
310		619
311		593
312		548
313		566
314		590
315		567
316		544
317		551
318		517
319		529
320		491
321		487
322		511
323		448
324		502
325		487
326		462
327		470
328		411
329		460
330		466
331		424
332		418
333		425
334		394
335		429
336		440
337		403
338		423
339		396
340		391
341		391
342		369
343		391
344		383
345		361
346		396
347		344
348		393
349		387
350		389
351		339
352		363
353		330
354		339
355		320
356		322
357		354
358		360
359		323
360		331
361		344
362		331
363		323
364		316
365		312
366		324
367		300
368		331
369		306
370		297
371		302
372		292
373		293
374		304
375		286
376		323
377		317
378		281
379		294
380		252
381		327
382		304
383		282
384		296
385		263
386		272
387		276
388		257
389		293
390		282
391		265
392		257
393		246
394		272
395		229
396		273
397		235
398		260
399		234
400		251
401		257
402		270
403		237
404		247
405		251
406		230
407		242
408		238
409		210
410		215
411		269
412		227
413		213
414		225
415		220
416		200
417		232
418		232
419		231
420		232
421		219
422		214
423		236
424		208
425		236
426		246
427		231
428		219
429		219
430		217
431		196
432		217
433		249
434		225
435		236
436		226
437		221
438		224
439		230
440		202
441		231
442		210
443		214
444		171
445		201
446		221
447		212
448		215
449		220
450		193
451		201
452		216
453		203
454		170
