Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	800
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	61
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	312.65
Elapsed Live Time:	307.9
Start Time:	October 09, 2015, 03:17:59
End Time:	October 09, 2015, 03:23:12
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	35	82	176029	159012	14	59
2	141	186	65741	44580	20	162
3	617	732	56261	39788	54	671

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		2
9		3
10		1
11		1
12		0
13		1
14		1
15		2
16		35
17		218
18		225
19		232
20		314
21		346
22		392
23		334
24		354
25		367
26		387
27		363
28		373
29		382
30		357
31		365
32		375
33		355
34		355
35		383
36		384
37		391
38		440
39		485
40		559
41		592
42		671
43		731
44		867
45		1023
46		1187
47		1445
48		1742
49		2289
50		2814
51		3748
52		4596
53		5543
54		6620
55		7752
56		8746
57		9850
58		10530
59		10970
60		10745
61		10511
62		9994
63		9323
64		8261
65		7246
66		6412
67		5246
68		4438
69		3726
70		3043
71		2563
72		2084
73		1675
74		1399
75		1096
76		934
77		741
78		593
79		531
80		435
81		353
82		322
83		334
84		276
85		269
86		294
87		317
88		330
89		347
90		319
91		357
92		370
93		413
94		392
95		393
96		435
97		457
98		467
99		498
100		499
101		478
102		530
103		536
104		526
105		568
106		534
107		546
108		516
109		533
110		487
111		455
112		477
113		519
114		463
115		467
116		480
117		480
118		456
119		469
120		487
121		497
122		458
123		515
124		513
125		506
126		531
127		526
128		509
129		563
130		533
131		552
132		538
133		516
134		552
135		536
136		586
137		575
138		587
139		570
140		656
141		623
142		661
143		661
144		787
145		831
146		838
147		967
148		1077
149		1070
150		1248
151		1360
152		1417
153		1594
154		1705
155		1897
156		2092
157		2167
158		2264
159		2429
160		2548
161		2628
162		2635
163		2736
164		2568
165		2534
166		2504
167		2399
168		2272
169		2100
170		1959
171		1768
172		1609
173		1458
174		1319
175		1119
176		967
177		834
178		722
179		636
180		556
181		474
182		425
183		384
184		340
185		307
186		252
187		267
188		260
189		229
190		242
191		230
192		218
193		221
194		227
195		206
196		202
197		209
198		214
199		214
200		217
201		196
202		225
203		225
204		216
205		197
206		197
207		234
208		195
209		221
210		206
211		205
212		219
213		211
214		220
215		227
216		216
217		232
218		211
219		198
220		235
221		205
222		224
223		225
224		227
225		224
226		245
227		244
228		227
229		229
230		232
231		226
232		254
233		249
234		247
235		250
236		225
237		227
238		237
239		242
240		236
241		217
242		212
243		227
244		247
245		217
246		251
247		227
248		270
249		253
250		248
251		238
252		270
253		282
254		243
255		289
256		278
257		253
258		254
259		288
260		248
261		277
262		302
263		276
264		289
265		297
266		307
267		269
268		285
269		300
270		279
271		293
272		299
273		298
274		339
275		341
276		324
277		347
278		326
279		327
280		320
281		346
282		351
283		345
284		398
285		337
286		358
287		363
288		360
289		380
290		362
291		342
292		327
293		345
294		336
295		365
296		341
297		363
298		340
299		353
300		314
301		334
302		355
303		338
304		333
305		324
306		317
307		313
308		327
309		266
310		309
311		344
312		295
313		298
314		304
315		287
316		307
317		281
318		274
319		293
320		279
321		275
322		249
323		261
324		264
325		256
326		282
327		239
328		237
329		232
330		213
331		239
332		215
333		231
334		231
335		242
336		234
337		235
338		219
339		221
340		213
341		200
342		211
343		213
344		245
345		223
346		225
347		224
348		220
349		231
350		209
351		215
352		216
353		179
354		224
355		199
356		222
357		169
358		190
359		218
360		196
361		203
362		203
363		190
364		183
365		200
366		183
367		204
368		216
369		204
370		193
371		194
372		184
373		180
374		199
375		194
376		164
377		155
378		201
379		188
380		172
381		161
382		172
383		159
384		166
385		171
386		141
387		144
388		157
389		164
390		156
391		162
392		134
393		132
394		167
395		161
396		125
397		147
398		132
399		152
400		115
401		143
402		125
403		123
404		108
405		118
406		139
407		136
408		145
409		126
410		121
411		112
412		141
413		111
414		120
415		144
416		103
417		119
418		115
419		118
420		97
421		106
422		110
423		102
424		104
425		106
426		126
427		113
428		103
429		107
430		97
431		99
432		110
433		112
434		104
435		104
436		99
437		108
438		98
439		109
440		90
441		112
442		95
443		87
