Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	800
Conversion Gain:	1024
Coarse Gain:	3
Fine Gain:	61
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	242.23
Elapsed Live Time:	241.01
Start Time:	October 09, 2015, 02:58:44
End Time:	October 09, 2015, 03:02:46
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	680	682	115	-2	0	680
2	247	289	26280	20821	21	266
3	641	679	4027	1686	21	658

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		1
16		40
17		270
18		286
19		259
20		292
21		296
22		315
23		294
24		286
25		314
26		315
27		341
28		363
29		360
30		372
31		397
32		385
33		368
34		362
35		392
36		429
37		452
38		403
39		415
40		420
41		409
42		431
43		450
44		415
45		434
46		455
47		397
48		428
49		471
50		397
51		425
52		452
53		429
54		447
55		465
56		456
57		465
58		430
59		451
60		452
61		471
62		435
63		435
64		423
65		450
66		429
67		452
68		476
69		469
70		471
71		469
72		473
73		446
74		402
75		461
76		448
77		425
78		453
79		444
80		451
81		455
82		477
83		523
84		514
85		533
86		606
87		638
88		620
89		671
90		669
91		625
92		632
93		624
94		571
95		605
96		581
97		520
98		500
99		483
100		457
101		462
102		473
103		435
104		414
105		439
106		442
107		439
108		397
109		456
110		438
111		435
112		443
113		425
114		387
115		409
116		436
117		422
118		423
119		438
120		378
121		392
122		385
123		357
124		363
125		354
126		324
127		345
128		318
129		336
130		321
131		328
132		309
133		267
134		269
135		309
136		306
137		279
138		270
139		288
140		278
141		280
142		267
143		286
144		272
145		273
146		265
147		275
148		249
149		279
150		259
151		250
152		282
153		270
154		271
155		262
156		240
157		222
158		259
159		246
160		262
161		234
162		268
163		250
164		260
165		217
166		224
167		220
168		225
169		180
170		192
171		185
172		178
173		199
174		175
175		168
176		175
177		163
178		153
179		137
180		146
181		119
182		136
183		132
184		131
185		132
186		125
187		118
188		112
189		105
190		119
191		110
192		126
193		110
194		109
195		106
196		114
197		113
198		109
199		109
200		92
201		97
202		93
203		103
204		102
205		91
206		88
207		105
208		98
209		104
210		105
211		81
212		103
213		102
214		83
215		92
216		98
217		91
218		101
219		80
220		94
221		96
222		98
223		90
224		93
225		95
226		87
227		90
228		98
229		98
230		96
231		79
232		87
233		109
234		100
235		101
236		92
237		108
238		99
239		100
240		110
241		107
242		112
243		115
244		118
245		134
246		144
247		164
248		191
249		232
250		248
251		304
252		326
253		412
254		486
255		493
256		596
257		621
258		731
259		768
260		864
261		913
262		925
263		1028
264		1073
265		1072
266		1115
267		1158
268		1179
269		1091
270		1102
271		1049
272		975
273		909
274		849
275		800
276		730
277		645
278		562
279		448
280		420
281		373
282		328
283		249
284		201
285		169
286		167
287		118
288		106
289		90
290		72
291		62
292		69
293		60
294		50
295		45
296		39
297		41
298		31
299		51
300		43
301		29
302		30
303		36
304		44
305		47
306		33
307		40
308		34
309		32
310		30
311		26
312		40
313		32
314		36
315		35
316		31
317		36
318		30
319		49
320		30
321		43
322		26
323		37
324		36
325		37
326		28
327		33
328		40
329		43
330		29
331		35
332		36
333		34
334		47
335		24
336		35
337		36
338		39
339		39
340		30
341		32
342		44
343		37
344		38
345		28
346		45
347		39
348		41
349		40
350		32
351		40
352		33
353		28
354		36
355		31
356		39
357		42
358		44
359		41
360		39
361		39
362		41
363		37
364		38
365		37
366		30
367		31
368		40
369		30
370		35
371		38
372		35
373		32
374		30
375		34
376		34
377		40
378		29
379		47
380		35
381		37
382		29
383		33
384		40
385		33
386		38
387		36
388		35
389		44
390		42
391		28
392		34
393		41
394		39
395		37
396		34
397		48
398		47
399		40
400		46
401		40
402		36
403		47
404		35
405		37
406		52
407		34
408		33
409		38
410		37
411		37
412		37
413		42
414		34
415		38
416		38
417		40
418		40
419		26
420		51
421		33
422		43
423		38
424		51
425		44
426		45
427		41
428		32
429		30
430		38
431		30
432		34
433		38
434		38
435		29
436		35
437		43
438		43
439		43
440		25
441		39
442		48
443		38
444		52
445		40
446		42
447		42
448		35
449		33
450		34
451		37
452		25
453		34
454		40
455		40
456		42
