Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	800
Conversion Gain:	1024
Coarse Gain:	3
Fine Gain:	61
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	244.4
Elapsed Live Time:	242.96
Start Time:	October 09, 2015, 03:03:22
End Time:	October 09, 2015, 03:07:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	680	682	152	2	0	680
2	247	289	33317	26955	21	267
3	641	679	4839	2166	23	658

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		1
9		0
10		1
11		0
12		0
13		0
14		0
15		0
16		53
17		318
18		319
19		344
20		354
21		366
22		338
23		397
24		358
25		373
26		385
27		409
28		382
29		420
30		428
31		445
32		422
33		446
34		422
35		460
36		453
37		449
38		444
39		458
40		432
41		490
42		471
43		458
44		455
45		478
46		467
47		449
48		476
49		485
50		464
51		506
52		476
53		538
54		505
55		490
56		512
57		472
58		502
59		475
60		499
61		481
62		480
63		487
64		540
65		509
66		452
67		481
68		515
69		500
70		520
71		478
72		504
73		561
74		496
75		525
76		481
77		526
78		482
79		511
80		509
81		548
82		591
83		560
84		575
85		655
86		655
87		615
88		664
89		750
90		790
91		702
92		729
93		673
94		699
95		635
96		601
97		578
98		574
99		535
100		511
101		523
102		505
103		505
104		503
105		444
106		517
107		477
108		488
109		500
110		505
111		473
112		504
113		503
114		512
115		460
116		508
117		457
118		456
119		468
120		471
121		484
122		435
123		419
124		424
125		395
126		377
127		388
128		440
129		379
130		393
131		402
132		436
133		376
134		346
135		377
136		318
137		332
138		358
139		365
140		346
141		350
142		336
143		344
144		340
145		309
146		305
147		296
148		342
149		362
150		308
151		321
152		300
153		317
154		283
155		327
156		303
157		308
158		316
159		308
160		305
161		284
162		297
163		286
164		302
165		270
166		252
167		287
168		259
169		288
170		248
171		220
172		252
173		221
174		207
175		210
176		207
177		183
178		176
179		203
180		158
181		169
182		153
183		122
184		160
185		136
186		149
187		150
188		134
189		128
190		124
191		129
192		129
193		148
194		121
195		126
196		127
197		114
198		117
199		121
200		116
201		111
202		116
203		128
204		100
205		105
206		100
207		96
208		114
209		95
210		118
211		105
212		99
213		117
214		103
215		90
216		97
217		91
218		110
219		88
220		91
221		88
222		99
223		88
224		85
225		94
226		96
227		96
228		89
229		87
230		79
231		95
232		113
233		70
234		81
235		107
236		89
237		106
238		84
239		89
240		97
241		115
242		115
243		140
244		137
245		136
246		154
247		202
248		222
249		263
250		302
251		327
252		393
253		449
254		581
255		617
256		664
257		768
258		881
259		989
260		1070
261		1107
262		1228
263		1285
264		1406
265		1328
266		1474
267		1510
268		1461
269		1541
270		1418
271		1362
272		1352
273		1165
274		1102
275		1017
276		887
277		816
278		732
279		626
280		520
281		429
282		420
283		339
284		252
285		220
286		188
287		175
288		117
289		112
290		86
291		74
292		62
293		57
294		50
295		47
296		53
297		44
298		52
299		38
300		36
301		39
302		45
303		43
304		32
305		39
306		31
307		45
308		42
309		49
310		37
311		44
312		43
313		49
314		44
315		26
316		43
317		38
318		47
319		38
320		40
321		38
322		45
323		51
324		53
325		44
326		47
327		47
328		35
329		47
330		42
331		45
332		34
333		39
334		41
335		38
336		39
337		33
338		49
339		44
340		42
341		43
342		40
343		54
344		47
345		32
346		31
347		56
348		49
349		42
350		36
351		40
352		51
353		41
354		33
355		41
356		43
357		32
358		40
359		44
360		34
361		33
362		27
363		37
364		36
365		44
366		44
367		32
368		32
369		47
370		33
371		47
372		40
373		49
374		40
375		42
376		47
377		38
378		45
379		53
380		45
381		48
382		46
383		32
384		41
385		42
386		39
387		43
388		46
389		42
390		47
391		32
392		39
393		44
394		34
395		39
396		41
397		41
398		45
399		31
400		37
401		49
402		42
403		41
404		53
405		42
406		50
407		42
408		46
409		41
410		53
411		45
412		52
413		56
414		55
415		42
416		38
417		55
418		41
419		43
420		38
421		47
422		46
423		41
424		51
425		50
426		44
427		52
428		55
429		40
430		45
431		43
432		43
433		39
434		51
435		42
436		42
437		57
438		48
439		45
440		55
441		43
442		42
443		47
444		48
445		38
446		58
447		66
448		38
449		45
450		39
451		50
452		38
453		41
454		46
