Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	800
Conversion Gain:	1024
Coarse Gain:	3
Fine Gain:	61
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	242.79
Elapsed Live Time:	241.28
Start Time:	October 09, 2015, 02:18:23
End Time:	October 09, 2015, 02:19:23
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

2	680	682	167	4	0	680
4	247	289	35553	28908	22	267
5	641	679	5063	2078	19	659

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		1
11		1
12		0
13		1
14		0
15		0
16		52
17		321
18		335
19		349
20		353
21		392
22		410
23		387
24		414
25		408
26		419
27		459
28		444
29		409
30		447
31		432
32		422
33		485
34		451
35		486
36		466
37		502
38		493
39		499
40		532
41		508
42		497
43		501
44		493
45		531
46		500
47		514
48		509
49		495
50		494
51		525
52		510
53		515
54		497
55		523
56		522
57		478
58		496
59		480
60		522
61		513
62		517
63		519
64		543
65		525
66		505
67		534
68		494
69		496
70		500
71		515
72		482
73		504
74		505
75		510
76		527
77		521
78		558
79		505
80		526
81		552
82		561
83		566
84		574
85		651
86		638
87		651
88		726
89		675
90		712
91		734
92		776
93		707
94		707
95		657
96		692
97		648
98		553
99		594
100		538
101		541
102		523
103		530
104		522
105		511
106		498
107		507
108		499
109		530
110		519
111		485
112		492
113		534
114		513
115		551
116		500
117		498
118		492
119		512
120		449
121		475
122		452
123		417
124		462
125		423
126		453
127		382
128		406
129		374
130		398
131		412
132		373
133		400
134		402
135		403
136		391
137		346
138		331
139		331
140		351
141		370
142		336
143		328
144		314
145		365
146		348
147		352
148		333
149		334
150		359
151		343
152		323
153		376
154		341
155		323
156		343
157		355
158		339
159		330
160		335
161		335
162		306
163		306
164		308
165		300
166		287
167		294
168		271
169		257
170		251
171		266
172		237
173		264
174		235
175		198
176		187
177		217
178		217
179		205
180		172
181		192
182		164
183		182
184		153
185		165
186		189
187		163
188		145
189		161
190		150
191		140
192		150
193		136
194		159
195		126
196		120
197		134
198		154
199		114
200		121
201		126
202		99
203		105
204		125
205		96
206		118
207		97
208		122
209		122
210		91
211		102
212		90
213		102
214		95
215		94
216		111
217		88
218		86
219		113
220		97
221		110
222		99
223		106
224		92
225		98
226		83
227		98
228		85
229		97
230		103
231		87
232		93
233		71
234		82
235		79
236		92
237		105
238		84
239		94
240		91
241		92
242		109
243		109
244		139
245		142
246		154
247		165
248		199
249		219
250		280
251		295
252		346
253		442
254		488
255		580
256		664
257		760
258		883
259		989
260		1062
261		1132
262		1213
263		1339
264		1449
265		1472
266		1519
267		1506
268		1473
269		1495
270		1628
271		1511
272		1476
273		1330
274		1240
275		1138
276		1100
277		943
278		868
279		814
280		698
281		540
282		480
283		425
284		352
285		298
286		237
287		220
288		159
289		126
290		131
291		102
292		85
293		64
294		52
295		53
296		48
297		51
298		42
299		45
300		54
301		49
302		34
303		34
304		48
305		35
306		61
307		44
308		48
309		48
310		38
311		42
312		36
313		44
314		43
315		46
316		36
317		37
318		38
319		35
320		44
321		39
322		40
323		38
324		37
325		31
326		34
327		41
328		52
329		35
330		48
331		41
332		33
333		34
334		53
335		43
336		39
337		52
338		47
339		35
340		35
341		36
342		38
343		42
344		37
345		40
346		48
347		47
348		40
349		45
350		39
351		37
352		41
353		35
354		34
355		33
356		43
357		56
358		50
359		50
360		41
361		44
362		53
363		45
364		52
365		43
366		34
367		40
368		43
369		44
370		36
371		52
372		39
373		44
374		38
375		39
376		53
377		37
378		45
379		42
380		45
381		54
382		42
383		36
384		63
385		44
386		47
387		41
388		49
389		43
390		39
391		52
392		44
393		35
394		46
395		35
396		39
397		52
398		56
399		49
400		48
401		37
402		58
403		48
404		42
405		53
406		54
407		39
408		47
409		50
410		56
411		44
412		37
413		41
414		51
415		46
416		44
417		49
418		56
419		39
420		43
421		42
422		44
423		41
424		39
425		43
426		56
427		44
428		49
429		47
430		54
431		46
432		48
433		43
434		48
435		54
436		46
437		45
438		46
439		35
440		35
441		40
442		49
443		48
444		43
445		35
446		46
447		39
448		53
449		55
450		48
451		50
452		42
453		39
454		56
