Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	800
Conversion Gain:	1024
Coarse Gain:	3
Fine Gain:	61
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	154.58
Elapsed Live Time:	152.42
Start Time:	October 09, 2015, 05:05:11
End Time:	October 09, 2015, 05:07:46
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	236	297	53780	45626	21	265
2	620	695	9691	8700	33	656

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		1
12		1
13		4
14		1
15		1
16		81
17		397
18		392
19		458
20		490
21		535
22		532
23		511
24		497
25		521
26		482
27		510
28		536
29		520
30		558
31		514
32		577
33		552
34		547
35		583
36		568
37		577
38		553
39		552
40		643
41		569
42		586
43		573
44		582
45		614
46		596
47		627
48		627
49		613
50		637
51		652
52		658
53		618
54		642
55		616
56		653
57		638
58		642
59		619
60		701
61		662
62		740
63		645
64		592
65		653
66		687
67		696
68		701
69		649
70		712
71		719
72		681
73		671
74		645
75		728
76		721
77		711
78		686
79		705
80		739
81		733
82		748
83		784
84		863
85		835
86		956
87		939
88		966
89		1052
90		974
91		963
92		1044
93		909
94		987
95		889
96		842
97		849
98		840
99		771
100		750
101		701
102		734
103		723
104		773
105		731
106		716
107		763
108		734
109		721
110		683
111		766
112		729
113		710
114		710
115		673
116		652
117		695
118		648
119		658
120		624
121		663
122		648
123		629
124		617
125		613
126		583
127		623
128		575
129		606
130		538
131		517
132		526
133		570
134		592
135		519
136		519
137		549
138		541
139		542
140		500
141		564
142		524
143		523
144		530
145		518
146		500
147		517
148		505
149		507
150		504
151		478
152		459
153		466
154		452
155		502
156		483
157		466
158		504
159		434
160		472
161		469
162		490
163		451
164		452
165		426
166		435
167		395
168		422
169		400
170		369
171		383
172		351
173		371
174		350
175		332
176		312
177		301
178		331
179		304
180		276
181		264
182		281
183		252
184		237
185		238
186		229
187		231
188		206
189		205
190		216
191		232
192		208
193		220
194		189
195		212
196		193
197		191
198		186
199		199
200		160
201		175
202		170
203		174
204		191
205		170
206		176
207		156
208		165
209		183
210		179
211		172
212		172
213		173
214		168
215		162
216		158
217		167
218		167
219		157
220		201
221		164
222		161
223		175
224		174
225		165
226		170
227		147
228		191
229		189
230		195
231		167
232		170
233		181
234		185
235		175
236		185
237		195
238		206
239		222
240		235
241		266
242		229
243		249
244		293
245		317
246		303
247		378
248		414
249		481
250		542
251		601
252		746
253		791
254		961
255		1063
256		1169
257		1264
258		1463
259		1509
260		1744
261		1856
262		1890
263		1917
264		2089
265		2131
266		2186
267		2205
268		2123
269		2150
270		2015
271		1934
272		1875
273		1738
274		1587
275		1454
276		1298
277		1088
278		981
279		871
280		699
281		601
282		552
283		455
284		358
285		312
286		263
287		243
288		186
289		165
290		125
291		113
292		92
293		83
294		89
295		64
296		89
297		77
298		71
299		84
300		82
301		71
302		69
303		87
304		70
305		52
306		70
307		70
308		65
309		78
310		70
311		61
312		56
313		82
314		84
315		79
316		68
317		80
318		69
319		83
320		72
321		68
322		69
323		77
324		59
325		86
326		69
327		67
328		75
329		69
330		77
331		81
332		70
333		72
334		78
335		69
336		74
337		85
338		73
339		68
340		78
341		95
342		90
343		62
344		73
345		68
346		71
347		69
348		52
349		62
350		77
351		85
352		76
353		75
354		70
355		64
356		72
357		56
358		69
359		76
360		67
361		77
362		77
363		82
364		72
365		54
366		63
367		53
368		74
369		75
370		67
371		63
372		62
373		70
374		73
375		55
376		65
377		73
378		76
379		61
380		71
381		75
382		53
383		77
384		64
385		69
386		71
387		54
388		56
389		73
390		64
391		64
392		76
393		68
394		65
395		74
396		70
397		81
398		70
399		67
400		81
401		68
402		73
403		64
404		64
405		58
406		66
407		73
408		83
409		70
410		66
411		91
412		73
413		87
414		78
415		68
416		68
417		75
418		64
419		79
420		88
421		61
422		71
423		71
424		57
425		75
426		67
427		55
428		63
429		91
430		74
431		84
432		75
433		67
434		67
435		67
436		75
437		77
438		76
439		70
440		81
441		66
442		87
443		78
444		77
445		71
446		65
447		73
448		73
449		78
450		87
451		83
452		71
453		97
454		82
455		77
456		90
